pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001215_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001215,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001215_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001215_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001075_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001075,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001075_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001075_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001300_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001300,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001300_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001300_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001815_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001815,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001815_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001815_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001203_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001203,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001203_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001203_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001795_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001795,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001795_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001795_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001784_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001784,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001784_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001784_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001420_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001420,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001420_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001420_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001531_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001531,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001531_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001531_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001756_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001756,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001756_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001756_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001497_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001497,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001497_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001497_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001772_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001772,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001772_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001772_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001563_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001563,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001563_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001563_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001567_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001567,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001567_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001567_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001748_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001748,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001748_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001748_roll_1000_01.png
sd300b_detector_only_joint_500_v1_plain_roll_genuine_00001003_01,sd300b,detector_only_joint_500_v1_plain_roll_genuine,00001003,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_01.png
