pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_detector_only_joint_500_v1_impostor_01_00001215_to_00001075,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001215,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001215_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001075_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001075_to_00001300,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001075,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001075_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001300_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001300_to_00001815,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001300,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001300_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001815_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001815_to_00001203,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001815,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001815_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001203_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001203_to_00001795,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001203,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001203_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001795_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001795_to_00001784,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001795,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001795_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001784_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001784_to_00001420,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001784,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001784_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001420_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001420_to_00001531,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001420,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001420_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001531_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001531_to_00001756,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001531,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001531_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001756_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001756_to_00001497,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001756,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001756_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001497_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001497_to_00001772,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001497,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001497_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001772_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001772_to_00001563,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001772,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001772_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001563_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001563_to_00001567,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001563,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001563_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001567_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001567_to_00001748,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001567,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001567_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001748_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001748_to_00001003,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001748,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001748_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001003_to_00001524,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001003,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001524_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001524_to_00001320,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001524,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001524_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001320_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001320_to_00001665,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001320,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001320_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001665_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001665_to_00001871,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001665,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001665_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001871_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001871_to_00001644,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001871,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001871_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001644_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001644_to_00001475,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001644,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001644_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001475_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001475_to_00001562,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001475,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001475_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001562_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001562_to_00001472,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001562,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001562_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001472_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001472_to_00001370,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001472,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001472_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001370_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001370_to_00001291,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001370,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001370_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001291_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001291_to_00001791,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001291,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001291_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001791_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001791_to_00001585,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001791,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001791_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001585_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001585_to_00001015,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001585,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001585_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001015_to_00001207,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001015,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001015_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001207_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001207_to_00001774,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001207,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001207_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001774_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001774_to_00001876,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001774,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001774_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001876_roll_1000_01.png
sd300b_detector_only_joint_500_v1_impostor_01_00001876_to_00001139,sd300b,detector_only_joint_500_v1_plain_roll_impostor,00001876,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001876_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001139_roll_1000_01.png
