pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_detector_only_joint_500_v1_plain_self_00001215_01,sd300b,detector_only_joint_500_v1_plain_self,00001215,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001215_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001215_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001075_01,sd300b,detector_only_joint_500_v1_plain_self,00001075,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001075_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001075_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001300_01,sd300b,detector_only_joint_500_v1_plain_self,00001300,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001300_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001300_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001815_01,sd300b,detector_only_joint_500_v1_plain_self,00001815,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001815_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001815_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001203_01,sd300b,detector_only_joint_500_v1_plain_self,00001203,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001203_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001203_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001795_01,sd300b,detector_only_joint_500_v1_plain_self,00001795,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001795_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001795_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001784_01,sd300b,detector_only_joint_500_v1_plain_self,00001784,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001784_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001784_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001420_01,sd300b,detector_only_joint_500_v1_plain_self,00001420,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001420_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001420_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001531_01,sd300b,detector_only_joint_500_v1_plain_self,00001531,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001531_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001531_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001756_01,sd300b,detector_only_joint_500_v1_plain_self,00001756,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001756_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001756_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001497_01,sd300b,detector_only_joint_500_v1_plain_self,00001497,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001497_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001497_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001772_01,sd300b,detector_only_joint_500_v1_plain_self,00001772,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001772_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001772_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001563_01,sd300b,detector_only_joint_500_v1_plain_self,00001563,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001563_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001563_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001567_01,sd300b,detector_only_joint_500_v1_plain_self,00001567,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001567_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001567_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001748_01,sd300b,detector_only_joint_500_v1_plain_self,00001748,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001748_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001748_plain_1000_11.png
sd300b_detector_only_joint_500_v1_plain_self_00001003_01,sd300b,detector_only_joint_500_v1_plain_self,00001003,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png
