pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_detector_only_joint_500_v1_roll_self_00001215_01,sd300b,detector_only_joint_500_v1_roll_self,00001215,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001215_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001215_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001075_01,sd300b,detector_only_joint_500_v1_roll_self,00001075,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001075_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001075_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001300_01,sd300b,detector_only_joint_500_v1_roll_self,00001300,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001300_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001300_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001815_01,sd300b,detector_only_joint_500_v1_roll_self,00001815,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001815_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001815_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001203_01,sd300b,detector_only_joint_500_v1_roll_self,00001203,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001203_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001203_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001795_01,sd300b,detector_only_joint_500_v1_roll_self,00001795,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001795_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001795_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001784_01,sd300b,detector_only_joint_500_v1_roll_self,00001784,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001784_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001784_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001420_01,sd300b,detector_only_joint_500_v1_roll_self,00001420,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001420_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001420_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001531_01,sd300b,detector_only_joint_500_v1_roll_self,00001531,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001531_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001531_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001756_01,sd300b,detector_only_joint_500_v1_roll_self,00001756,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001756_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001756_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001497_01,sd300b,detector_only_joint_500_v1_roll_self,00001497,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001497_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001497_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001772_01,sd300b,detector_only_joint_500_v1_roll_self,00001772,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001772_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001772_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001563_01,sd300b,detector_only_joint_500_v1_roll_self,00001563,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001563_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001563_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001567_01,sd300b,detector_only_joint_500_v1_roll_self,00001567,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001567_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001567_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001748_01,sd300b,detector_only_joint_500_v1_roll_self,00001748,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001748_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001748_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001003_01,sd300b,detector_only_joint_500_v1_roll_self,00001003,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001524_01,sd300b,detector_only_joint_500_v1_roll_self,00001524,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001524_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001524_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001320_01,sd300b,detector_only_joint_500_v1_roll_self,00001320,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001320_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001320_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001665_01,sd300b,detector_only_joint_500_v1_roll_self,00001665,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001665_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001665_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001871_01,sd300b,detector_only_joint_500_v1_roll_self,00001871,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001871_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001871_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001644_01,sd300b,detector_only_joint_500_v1_roll_self,00001644,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001644_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001644_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001475_01,sd300b,detector_only_joint_500_v1_roll_self,00001475,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001475_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001475_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001562_01,sd300b,detector_only_joint_500_v1_roll_self,00001562,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001562_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001562_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001472_01,sd300b,detector_only_joint_500_v1_roll_self,00001472,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001472_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001472_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001370_01,sd300b,detector_only_joint_500_v1_roll_self,00001370,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001370_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001370_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001291_01,sd300b,detector_only_joint_500_v1_roll_self,00001291,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001291_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001291_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001791_01,sd300b,detector_only_joint_500_v1_roll_self,00001791,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001791_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001791_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001585_01,sd300b,detector_only_joint_500_v1_roll_self,00001585,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001585_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001585_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001015_01,sd300b,detector_only_joint_500_v1_roll_self,00001015,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001207_01,sd300b,detector_only_joint_500_v1_roll_self,00001207,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001207_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001207_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001774_01,sd300b,detector_only_joint_500_v1_roll_self,00001774,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001774_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001774_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001876_01,sd300b,detector_only_joint_500_v1_roll_self,00001876,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001876_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001876_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001139_01,sd300b,detector_only_joint_500_v1_roll_self,00001139,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001139_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001139_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001525_01,sd300b,detector_only_joint_500_v1_roll_self,00001525,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001525_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001525_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001047_01,sd300b,detector_only_joint_500_v1_roll_self,00001047,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001047_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001047_roll_1000_01.png
sd300b_detector_only_joint_500_v1_roll_self_00001152_01,sd300b,detector_only_joint_500_v1_roll_self,00001152,1,1000,1,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001152_roll_1000_01.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001152_roll_1000_01.png
