pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001215_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001215,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001215_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001215_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001075_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001075,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001075_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001075_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001300_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001300,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001300_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001300_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001815_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001815,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001815_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001815_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001203_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001203,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001203_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001203_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001795_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001795,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001795_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001795_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001784_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001784,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001784_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001784_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001420_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001420,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001420_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001420_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001531_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001531,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001531_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001531_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001756_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001756,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001756_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001756_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001497_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001497,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001497_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001497_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001772_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001772,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001772_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001772_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001563_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001563,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001563_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001563_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001567_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001567,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001567_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001567_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001748_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001748,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001748_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001748_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001003_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001003,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001524_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001524,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001524_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001524_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001320_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001320,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001320_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001320_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001665_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001665,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001665_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001665_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001871_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001871,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001871_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001871_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001644_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001644,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001644_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001644_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001475_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001475,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001475_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001475_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001562_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001562,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001562_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001562_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001472_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001472,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001472_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001472_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001370_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001370,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001370_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001370_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001291_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001291,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001291_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001291_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001791_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001791,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001791_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001791_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001585_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001585,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001585_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001585_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001015_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001015,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001015_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001015_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001207_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001207,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001207_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001207_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001774_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001774,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001774_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001774_roll_2000_01.png
sd300c_detector_only_joint_500_v1_plain_roll_genuine_00001876_01,sd300c,detector_only_joint_500_v1_plain_roll_genuine,00001876,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001876_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001876_roll_2000_01.png
