pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300c_plain_self_00001000_01,sd300c,plain_self,00001000,1,2000,11,11,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_11.png
sd300c_plain_self_00001000_02,sd300c,plain_self,00001000,2,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_02.png
sd300c_plain_self_00001000_03,sd300c,plain_self,00001000,3,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_03.png
sd300c_plain_self_00001000_04,sd300c,plain_self,00001000,4,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_04.png
sd300c_plain_self_00001000_05,sd300c,plain_self,00001000,5,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_05.png
sd300c_plain_self_00001000_06,sd300c,plain_self,00001000,6,2000,12,12,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_12.png
sd300c_plain_self_00001000_07,sd300c,plain_self,00001000,7,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_07.png
sd300c_plain_self_00001000_08,sd300c,plain_self,00001000,8,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_08.png
sd300c_plain_self_00001000_09,sd300c,plain_self,00001000,9,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_09.png
sd300c_plain_self_00001000_10,sd300c,plain_self,00001000,10,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_10.png
sd300c_plain_self_00001001_02,sd300c,plain_self,00001001,2,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_02.png
sd300c_plain_self_00001001_03,sd300c,plain_self,00001001,3,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_03.png
sd300c_plain_self_00001001_04,sd300c,plain_self,00001001,4,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_04.png
sd300c_plain_self_00001001_05,sd300c,plain_self,00001001,5,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_05.png
sd300c_plain_self_00001001_07,sd300c,plain_self,00001001,7,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_07.png
sd300c_plain_self_00001001_08,sd300c,plain_self,00001001,8,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_08.png
sd300c_plain_self_00001001_09,sd300c,plain_self,00001001,9,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_09.png
sd300c_plain_self_00001001_10,sd300c,plain_self,00001001,10,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_10.png
sd300c_plain_self_00001002_01,sd300c,plain_self,00001002,1,2000,11,11,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_11.png
sd300c_plain_self_00001002_02,sd300c,plain_self,00001002,2,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_02.png
sd300c_plain_self_00001002_03,sd300c,plain_self,00001002,3,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_03.png
sd300c_plain_self_00001002_04,sd300c,plain_self,00001002,4,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_04.png
sd300c_plain_self_00001002_05,sd300c,plain_self,00001002,5,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_05.png
sd300c_plain_self_00001002_06,sd300c,plain_self,00001002,6,2000,12,12,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_12.png
sd300c_plain_self_00001002_07,sd300c,plain_self,00001002,7,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_07.png
sd300c_plain_self_00001002_08,sd300c,plain_self,00001002,8,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_08.png
sd300c_plain_self_00001002_09,sd300c,plain_self,00001002,9,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_09.png
sd300c_plain_self_00001002_10,sd300c,plain_self,00001002,10,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_10.png
sd300c_plain_self_00001003_01,sd300c,plain_self,00001003,1,2000,11,11,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_11.png
sd300c_plain_self_00001003_02,sd300c,plain_self,00001003,2,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_02.png
sd300c_plain_self_00001003_03,sd300c,plain_self,00001003,3,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_03.png
sd300c_plain_self_00001003_04,sd300c,plain_self,00001003,4,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_04.png
sd300c_plain_self_00001003_05,sd300c,plain_self,00001003,5,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_05.png
sd300c_plain_self_00001003_06,sd300c,plain_self,00001003,6,2000,12,12,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_12.png
