dataset,subject_id,canonical_finger_position,sourceafis_included,sift_included,membership
sd300b,00001000,1,true,true,both
sd300b,00001000,2,true,true,both
sd300b,00001000,3,true,true,both
sd300b,00001000,4,true,true,both
sd300b,00001000,5,true,true,both
sd300b,00001000,6,true,true,both
sd300b,00001000,7,true,true,both
sd300b,00001000,8,true,true,both
sd300b,00001000,9,true,true,both
sd300b,00001000,10,true,true,both
sd300b,00001001,2,true,true,both
sd300b,00001001,3,true,true,both
sd300b,00001001,4,true,true,both
sd300b,00001001,5,true,true,both
sd300b,00001001,7,true,true,both
sd300b,00001001,8,true,true,both
sd300b,00001001,9,true,true,both
sd300b,00001001,10,true,true,both
sd300b,00001002,1,true,true,both
sd300b,00001002,2,true,true,both
sd300b,00001002,3,true,true,both
sd300b,00001002,4,true,true,both
sd300b,00001002,5,true,true,both
sd300b,00001002,6,true,true,both
sd300b,00001002,7,true,true,both
sd300b,00001002,8,true,true,both
sd300b,00001002,9,true,true,both
sd300b,00001002,10,true,true,both
sd300b,00001003,1,true,true,both
sd300b,00001003,2,true,true,both
sd300b,00001003,3,true,true,both
sd300b,00001003,4,true,true,both
sd300b,00001003,5,true,true,both
sd300b,00001003,6,true,true,both
sd300b,00001003,7,true,true,both
sd300b,00001003,8,true,true,both
sd300b,00001003,9,true,true,both
sd300b,00001003,10,true,true,both
sd300b,00001004,1,true,true,both
sd300b,00001004,2,true,true,both
sd300b,00001004,3,true,true,both
sd300b,00001004,4,true,true,both
sd300b,00001004,5,true,true,both
sd300b,00001004,6,true,true,both
sd300b,00001004,7,true,true,both
sd300b,00001004,8,true,true,both
sd300b,00001004,9,true,true,both
sd300b,00001004,10,true,true,both
sd300b,00001005,1,true,true,both
sd300b,00001005,4,true,true,both
sd300b,00001005,5,true,true,both
sd300b,00001005,6,true,true,both
sd300b,00001005,7,true,true,both
sd300b,00001005,8,true,true,both
sd300b,00001005,9,true,true,both
sd300b,00001005,10,true,true,both
sd300b,00001006,1,true,true,both
sd300b,00001006,2,true,true,both
sd300b,00001006,3,true,true,both
sd300b,00001006,4,true,true,both
sd300b,00001006,5,true,true,both
sd300b,00001006,6,true,true,both
sd300b,00001006,7,true,true,both
sd300b,00001006,8,true,true,both
sd300b,00001006,9,true,true,both
sd300b,00001006,10,true,true,both
sd300b,00001007,1,true,true,both
sd300b,00001007,2,true,true,both
sd300b,00001007,3,true,true,both
sd300b,00001007,4,true,true,both
sd300b,00001007,5,true,true,both
sd300b,00001007,6,true,true,both
sd300b,00001007,7,true,true,both
sd300b,00001007,8,true,true,both
sd300b,00001007,9,true,true,both
sd300b,00001007,10,true,true,both
sd300b,00001008,1,true,true,both
sd300b,00001008,2,true,true,both
sd300b,00001008,3,true,true,both
