dataset,negative_pair_id,shared_accuracy_pair_id,shared_raw_score,cold_pair_raw_score,raw_score_text_equal,raw_score_abs_delta,status_equal,error_code_equal,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,exact_reproducibility
sd300c,sd300c_plain_roll_next_subject_impostor_01_00001088_00001089,shared_imp_evaluation_01_00001088_00001089,0.9732877528959234,0.9732877528959234,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_01_00001469_00001470,shared_imp_evaluation_01_00001469_00001470,0.0,0.0,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_01_00001636_00001637,shared_imp_evaluation_01_00001636_00001637,0.00584365018076612,0.00584365018076612,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_01_00001641_00001642,shared_imp_evaluation_01_00001641_00001642,6.6173542143589295,6.6173542143589295,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_01_00001648_00001649,shared_imp_evaluation_01_00001648_00001649,1.7745456800546187,1.7745456800546187,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_01_00001719_00001720,shared_imp_evaluation_01_00001719_00001720,0.27743016382197505,0.27743016382197505,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_02_00001036_00001037,shared_imp_evaluation_02_00001036_00001037,0.5469687651477022,0.5469687651477022,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_02_00001152_00001153,shared_imp_evaluation_02_00001152_00001153,8.437952339636588,8.437952339636588,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_02_00001177_00001178,shared_imp_development_02_00001177_00001178,2.5623446804917918,2.5623446804917918,true,0.0,true,true,true,true,true,true
sd300c,sd300c_plain_roll_next_subject_impostor_02_00001185_00001186,shared_imp_evaluation_02_00001185_00001186,7.133676035138052,7.133676035138052,true,0.0,true,true,true,true,true,true
