dataset,pair_id,subject_id,canonical_finger_position,primary_status,derived_status,status_equal,primary_error_code,derived_error_code,error_code_equal,primary_raw_score,derived_raw_score,raw_score_text_equal,raw_score_abs_delta,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,reproducible
sd300b,sd300b_plain_roll_00001000_01,00001000,1,ok,ok,true,,,true,110.01934110762956,110.01934110762956,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_02,00001000,2,ok,ok,true,,,true,57.36656979331658,57.36656979331658,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_03,00001000,3,ok,ok,true,,,true,83.32405743647807,83.32405743647807,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_04,00001000,4,ok,ok,true,,,true,38.36792507271839,38.36792507271839,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_05,00001000,5,ok,ok,true,,,true,5.649330144421114,5.649330144421114,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_06,00001000,6,ok,ok,true,,,true,71.41245985515198,71.41245985515198,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_07,00001000,7,ok,ok,true,,,true,43.581667023227666,43.581667023227666,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_08,00001000,8,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_09,00001000,9,ok,ok,true,,,true,21.708974366931777,21.708974366931777,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001000_10,00001000,10,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001001_02,00001001,2,ok,ok,true,,,true,56.125004416688085,56.125004416688085,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001001_03,00001001,3,ok,ok,true,,,true,3.3264420218528152,3.3264420218528152,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001001_04,00001001,4,ok,ok,true,,,true,230.79374515091553,230.79374515091553,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001001_05,00001001,5,ok,ok,true,,,true,70.81980339148356,70.81980339148356,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001001_07,00001001,7,ok,ok,true,,,true,117.0198493027443,117.0198493027443,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001001_08,00001001,8,ok,ok,true,,,true,185.73217505659233,185.73217505659233,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001001_09,00001001,9,ok,ok,true,,,true,204.652001070008,204.652001070008,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001001_10,00001001,10,ok,ok,true,,,true,94.62523876952368,94.62523876952368,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_01,00001002,1,ok,ok,true,,,true,43.514635700411304,43.514635700411304,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_02,00001002,2,ok,ok,true,,,true,104.57600752468991,104.57600752468991,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_03,00001002,3,ok,ok,true,,,true,55.57992086772236,55.57992086772236,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_04,00001002,4,ok,ok,true,,,true,70.67584453620049,70.67584453620049,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_05,00001002,5,ok,ok,true,,,true,103.85711358856504,103.85711358856504,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_06,00001002,6,ok,ok,true,,,true,210.72249934120197,210.72249934120197,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_07,00001002,7,ok,ok,true,,,true,20.396854154353793,20.396854154353793,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_08,00001002,8,ok,ok,true,,,true,136.56461588726717,136.56461588726717,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_09,00001002,9,ok,ok,true,,,true,0.9554483430185323,0.9554483430185323,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001002_10,00001002,10,ok,ok,true,,,true,96.80026843269418,96.80026843269418,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_01,00001003,1,ok,ok,true,,,true,143.45638038740793,143.45638038740793,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_02,00001003,2,ok,ok,true,,,true,11.69303480128347,11.69303480128347,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_03,00001003,3,ok,ok,true,,,true,85.04960976640385,85.04960976640385,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_04,00001003,4,ok,ok,true,,,true,37.45046771614406,37.45046771614406,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_05,00001003,5,ok,ok,true,,,true,117.48363012742192,117.48363012742192,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_06,00001003,6,ok,ok,true,,,true,122.33423472785269,122.33423472785269,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_07,00001003,7,ok,ok,true,,,true,44.693646067912454,44.693646067912454,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_08,00001003,8,ok,ok,true,,,true,36.29778067458034,36.29778067458034,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_09,00001003,9,ok,ok,true,,,true,35.74280272021393,35.74280272021393,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001003_10,00001003,10,ok,ok,true,,,true,7.2077986566405325,7.2077986566405325,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_01,00001004,1,ok,ok,true,,,true,135.4670374066883,135.4670374066883,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_02,00001004,2,ok,ok,true,,,true,113.42835263435012,113.42835263435012,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_03,00001004,3,ok,ok,true,,,true,84.30878383507027,84.30878383507027,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_04,00001004,4,ok,ok,true,,,true,62.58844088179844,62.58844088179844,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_05,00001004,5,ok,ok,true,,,true,87.62066002564202,87.62066002564202,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_06,00001004,6,ok,ok,true,,,true,103.35174799322414,103.35174799322414,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_07,00001004,7,ok,ok,true,,,true,18.095383376910874,18.095383376910874,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_08,00001004,8,ok,ok,true,,,true,47.38121210831652,47.38121210831652,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_09,00001004,9,ok,ok,true,,,true,50.318931666661115,50.318931666661115,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001004_10,00001004,10,ok,ok,true,,,true,2.580366112019896,2.580366112019896,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001005_01,00001005,1,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001005_04,00001005,4,ok,ok,true,,,true,172.176684773443,172.176684773443,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001005_05,00001005,5,ok,ok,true,,,true,94.07868653105294,94.07868653105294,true,0.0,true,true,true,true
sd300b,sd300b_plain_roll_00001005_06,00001005,6,ok,ok,true,,,true,119.2214989052725,119.2214989052725,true,0.0,true,true,true,true
