dataset,subject_id,canonical_finger_position,plain_self_pair_id,roll_self_pair_id,base_plain_roll_pair_id,plain_self_decision,roll_self_decision,plain_self_status,roll_self_status,plain_self_raw_score,roll_self_raw_score,plain_self_keypoint_count_a,plain_self_keypoint_count_b,plain_self_candidate_match_count,plain_self_geometric_inlier_count,plain_self_inlier_ratio,plain_self_geometric_model_status,roll_self_keypoint_count_a,roll_self_keypoint_count_b,roll_self_candidate_match_count,roll_self_geometric_inlier_count,roll_self_inlier_ratio,roll_self_geometric_model_status
sd300b,00001000,1,sd300b_plain_self_00001000_01,sd300b_roll_self_00001000_01,sd300b_plain_roll_00001000_01,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001000,2,sd300b_plain_self_00001000_02,sd300b_roll_self_00001000_02,sd300b_plain_roll_00001000_02,accepted,accepted,ok,ok,2780.0,3000.0,2780,2780,2780,2780,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001000,3,sd300b_plain_self_00001000_03,sd300b_roll_self_00001000_03,sd300b_plain_roll_00001000_03,accepted,accepted,ok,ok,2211.0,3000.0,2211,2211,2211,2211,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001000,4,sd300b_plain_self_00001000_04,sd300b_roll_self_00001000_04,sd300b_plain_roll_00001000_04,accepted,accepted,ok,ok,2589.0,3001.0,2589,2589,2589,2589,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001000,5,sd300b_plain_self_00001000_05,sd300b_roll_self_00001000_05,sd300b_plain_roll_00001000_05,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001000,6,sd300b_plain_self_00001000_06,sd300b_roll_self_00001000_06,sd300b_plain_roll_00001000_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001000,7,sd300b_plain_self_00001000_07,sd300b_roll_self_00001000_07,sd300b_plain_roll_00001000_07,accepted,accepted,ok,ok,2362.0,3000.0,2362,2362,2362,2362,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001000,8,sd300b_plain_self_00001000_08,sd300b_roll_self_00001000_08,sd300b_plain_roll_00001000_08,accepted,accepted,ok,ok,2292.0,3000.0,2292,2292,2292,2292,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001000,9,sd300b_plain_self_00001000_09,sd300b_roll_self_00001000_09,sd300b_plain_roll_00001000_09,accepted,accepted,ok,ok,2855.0,3000.0,2855,2855,2855,2855,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001000,10,sd300b_plain_self_00001000_10,sd300b_roll_self_00001000_10,sd300b_plain_roll_00001000_10,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001001,2,sd300b_plain_self_00001001_02,sd300b_roll_self_00001001_02,sd300b_plain_roll_00001001_02,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001001,3,sd300b_plain_self_00001001_03,sd300b_roll_self_00001001_03,sd300b_plain_roll_00001001_03,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001001,4,sd300b_plain_self_00001001_04,sd300b_roll_self_00001001_04,sd300b_plain_roll_00001001_04,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001001,5,sd300b_plain_self_00001001_05,sd300b_roll_self_00001001_05,sd300b_plain_roll_00001001_05,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001001,7,sd300b_plain_self_00001001_07,sd300b_roll_self_00001001_07,sd300b_plain_roll_00001001_07,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001001,8,sd300b_plain_self_00001001_08,sd300b_roll_self_00001001_08,sd300b_plain_roll_00001001_08,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001001,9,sd300b_plain_self_00001001_09,sd300b_roll_self_00001001_09,sd300b_plain_roll_00001001_09,accepted,accepted,ok,ok,3001.0,3000.0,3001,3001,3001,3001,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001001,10,sd300b_plain_self_00001001_10,sd300b_roll_self_00001001_10,sd300b_plain_roll_00001001_10,accepted,accepted,ok,ok,2997.0,3000.0,2997,2997,2997,2997,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001002,1,sd300b_plain_self_00001002_01,sd300b_roll_self_00001002_01,sd300b_plain_roll_00001002_01,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001002,2,sd300b_plain_self_00001002_02,sd300b_roll_self_00001002_02,sd300b_plain_roll_00001002_02,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001002,3,sd300b_plain_self_00001002_03,sd300b_roll_self_00001002_03,sd300b_plain_roll_00001002_03,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001002,4,sd300b_plain_self_00001002_04,sd300b_roll_self_00001002_04,sd300b_plain_roll_00001002_04,accepted,accepted,ok,ok,1961.0,3000.0,1961,1961,1961,1961,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001002,5,sd300b_plain_self_00001002_05,sd300b_roll_self_00001002_05,sd300b_plain_roll_00001002_05,accepted,accepted,ok,ok,1806.0,3000.0,1806,1806,1806,1806,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001002,6,sd300b_plain_self_00001002_06,sd300b_roll_self_00001002_06,sd300b_plain_roll_00001002_06,accepted,accepted,ok,ok,3000.0,3000.0,3000,3000,3000,3000,1.0,success,3000,3000,3000,3000,1.0,success
sd300b,00001002,7,sd300b_plain_self_00001002_07,sd300b_roll_self_00001002_07,sd300b_plain_roll_00001002_07,accepted,accepted,ok,ok,3000.0,3001.0,3000,3000,3000,3000,1.0,success,3001,3001,3001,3001,1.0,success
sd300b,00001002,8,sd300b_plain_self_00001002_08,sd300b_roll_self_00001002_08,sd300b_plain_roll_00001002_08,accepted,accepted,ok,ok,3001.0,3002.0,3001,3001,3001,3001,1.0,success,3002,3002,3002,3002,1.0,success
