dataset,subject_id,canonical_finger_position,plain_self_pair_id,roll_self_pair_id,base_plain_roll_pair_id,plain_self_decision,roll_self_decision,plain_self_status,roll_self_status,plain_self_raw_score,roll_self_raw_score,plain_self_keypoint_count_a,plain_self_keypoint_count_b,plain_self_candidate_match_count,plain_self_geometric_inlier_count,plain_self_inlier_ratio,plain_self_geometric_model_status,roll_self_keypoint_count_a,roll_self_keypoint_count_b,roll_self_candidate_match_count,roll_self_geometric_inlier_count,roll_self_inlier_ratio,roll_self_geometric_model_status,reason_flags
sd300c,00001001,1,,sd300c_roll_self_00001001_01,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001001,6,,sd300c_roll_self_00001001_06,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001005,2,,sd300c_roll_self_00001005_02,,,accepted,,ok,,2622.0,,,,,,,2622,2622,2622,2622,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001005,3,,sd300c_roll_self_00001005_03,,,accepted,,ok,,2627.0,,,,,,,2627,2627,2627,2627,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001040,5,,sd300c_roll_self_00001040_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001040,10,,sd300c_roll_self_00001040_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001045,10,,sd300c_roll_self_00001045_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001050,10,,sd300c_roll_self_00001050_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001051,2,,sd300c_roll_self_00001051_02,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001051,3,,sd300c_roll_self_00001051_03,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001055,5,,sd300c_roll_self_00001055_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001064,2,,sd300c_roll_self_00001064_02,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001064,3,,sd300c_roll_self_00001064_03,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001064,4,,sd300c_roll_self_00001064_04,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001083,1,,sd300c_roll_self_00001083_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001083,6,,sd300c_roll_self_00001083_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001090,1,,sd300c_roll_self_00001090_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001090,6,,sd300c_roll_self_00001090_06,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001090,10,,sd300c_roll_self_00001090_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001142,2,,sd300c_roll_self_00001142_02,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001160,1,,sd300c_roll_self_00001160_01,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001160,6,,sd300c_roll_self_00001160_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001165,1,,sd300c_roll_self_00001165_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001165,6,,sd300c_roll_self_00001165_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001200,5,,sd300c_roll_self_00001200_05,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001215,10,,sd300c_roll_self_00001215_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001217,5,,sd300c_roll_self_00001217_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001228,5,,sd300c_roll_self_00001228_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001231,7,,sd300c_roll_self_00001231_07,,,accepted,,ok,,1394.0,,,,,,,1394,1394,1394,1394,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001269,5,,sd300c_roll_self_00001269_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001272,5,,sd300c_roll_self_00001272_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001289,5,,sd300c_roll_self_00001289_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001310,5,,sd300c_roll_self_00001310_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001323,1,,sd300c_roll_self_00001323_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001323,6,,sd300c_roll_self_00001323_06,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001329,1,,sd300c_roll_self_00001329_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001329,6,,sd300c_roll_self_00001329_06,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001335,5,,sd300c_roll_self_00001335_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001335,10,,sd300c_roll_self_00001335_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001356,1,,sd300c_roll_self_00001356_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001356,6,,sd300c_roll_self_00001356_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001362,3,,sd300c_roll_self_00001362_03,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001374,5,,sd300c_roll_self_00001374_05,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001383,10,,sd300c_roll_self_00001383_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001405,1,,sd300c_roll_self_00001405_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001405,6,,sd300c_roll_self_00001405_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001417,1,,sd300c_roll_self_00001417_01,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001417,6,,sd300c_roll_self_00001417_06,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001437,1,,sd300c_roll_self_00001437_01,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001437,3,,sd300c_roll_self_00001437_03,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001437,4,,sd300c_roll_self_00001437_04,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001437,6,,sd300c_roll_self_00001437_06,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001437,7,,sd300c_roll_self_00001437_07,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001437,8,,sd300c_roll_self_00001437_08,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001452,5,,sd300c_roll_self_00001452_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001472,10,,sd300c_roll_self_00001472_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001476,3,sd300c_plain_self_00001476_03,,,accepted,,ok,,3000.0,,3000,3000,3000,3000,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300c,00001476,4,sd300c_plain_self_00001476_04,,,accepted,,ok,,3000.0,,3000,3000,3000,3000,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300c,00001477,3,sd300c_plain_self_00001477_03,,,accepted,,ok,,3000.0,,3000,3000,3000,3000,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
sd300c,00001519,5,,sd300c_roll_self_00001519_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001539,2,,sd300c_roll_self_00001539_02,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001539,3,,sd300c_roll_self_00001539_03,,,accepted,,ok,,2369.0,,,,,,,2369,2369,2369,2369,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001539,4,,sd300c_roll_self_00001539_04,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001539,5,,sd300c_roll_self_00001539_05,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001539,7,,sd300c_roll_self_00001539_07,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001539,8,,sd300c_roll_self_00001539_08,,,accepted,,ok,,2472.0,,,,,,,2472,2472,2472,2472,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001539,9,,sd300c_roll_self_00001539_09,,,accepted,,ok,,2938.0,,,,,,,2938,2938,2938,2938,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001572,2,,sd300c_roll_self_00001572_02,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001572,3,,sd300c_roll_self_00001572_03,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001572,4,,sd300c_roll_self_00001572_04,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001572,5,,sd300c_roll_self_00001572_05,,,accepted,,ok,,1998.0,,,,,,,1998,1998,1998,1998,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001575,5,,sd300c_roll_self_00001575_05,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001575,10,,sd300c_roll_self_00001575_10,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001623,3,,sd300c_roll_self_00001623_03,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001623,4,,sd300c_roll_self_00001623_04,,,accepted,,ok,,3001.0,,,,,,,3001,3001,3001,3001,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001623,7,,sd300c_roll_self_00001623_07,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001623,8,,sd300c_roll_self_00001623_08,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001623,9,,sd300c_roll_self_00001623_09,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001652,7,,sd300c_roll_self_00001652_07,,,accepted,,ok,,3000.0,,,,,,,3000,3000,3000,3000,1.0,success,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001653,2,sd300c_plain_self_00001653_02,,,accepted,,ok,,3000.0,,3000,3000,3000,3000,1.0,success,,,,,,,missing_roll_self_identity;missing_plain_roll_pair
