pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_plain_roll_00001000_01,sd300b,plain_roll,00001000,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_01.png
sd300b_plain_roll_00001000_02,sd300b,plain_roll,00001000,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_02.png
sd300b_plain_roll_00001000_03,sd300b,plain_roll,00001000,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_03.png
sd300b_plain_roll_00001000_04,sd300b,plain_roll,00001000,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_04.png
sd300b_plain_roll_00001000_05,sd300b,plain_roll,00001000,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_05.png
sd300b_plain_roll_00001000_06,sd300b,plain_roll,00001000,6,1000,12,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_06.png
sd300b_plain_roll_00001000_07,sd300b,plain_roll,00001000,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_07.png
sd300b_plain_roll_00001000_08,sd300b,plain_roll,00001000,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_08.png
sd300b_plain_roll_00001000_09,sd300b,plain_roll,00001000,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_09.png
sd300b_plain_roll_00001000_10,sd300b,plain_roll,00001000,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_10.png
sd300b_plain_roll_00001001_02,sd300b,plain_roll,00001001,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_02.png
sd300b_plain_roll_00001001_03,sd300b,plain_roll,00001001,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_03.png
sd300b_plain_roll_00001001_04,sd300b,plain_roll,00001001,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_04.png
sd300b_plain_roll_00001001_05,sd300b,plain_roll,00001001,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_05.png
sd300b_plain_roll_00001001_07,sd300b,plain_roll,00001001,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_07.png
sd300b_plain_roll_00001001_08,sd300b,plain_roll,00001001,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_08.png
sd300b_plain_roll_00001001_09,sd300b,plain_roll,00001001,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_09.png
sd300b_plain_roll_00001001_10,sd300b,plain_roll,00001001,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_10.png
sd300b_plain_roll_00001002_01,sd300b,plain_roll,00001002,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_01.png
sd300b_plain_roll_00001002_02,sd300b,plain_roll,00001002,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_02.png
sd300b_plain_roll_00001002_03,sd300b,plain_roll,00001002,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_03.png
sd300b_plain_roll_00001002_04,sd300b,plain_roll,00001002,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_04.png
sd300b_plain_roll_00001002_05,sd300b,plain_roll,00001002,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_05.png
