dataset,subject_id,canonical_finger_position,plain_self_status,plain_self_raw_score,roll_self_status,roll_self_raw_score,base_plain_roll_pair_id,reason_flags
sd300c,00001001,1,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001001,6,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001005,2,,,ok,465.39323784339325,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001005,3,,,ok,699.9576219726795,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001019,5,ok,0.0,ok,41.88229363871244,sd300c_plain_roll_00001019_05,plain_self_below_40
sd300c,00001019,7,ok,0.0,ok,839.8589997826866,sd300c_plain_roll_00001019_07,plain_self_below_40
sd300c,00001019,10,ok,0.0,ok,385.1795219001631,sd300c_plain_roll_00001019_10,plain_self_below_40
sd300c,00001021,5,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001021_05,plain_self_below_40
sd300c,00001040,2,ok,0.0,ok,1177.9539965186484,sd300c_plain_roll_00001040_02,plain_self_below_40
sd300c,00001040,5,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001040,10,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001044,2,ok,16.586865026205977,ok,1177.9539965186484,sd300c_plain_roll_00001044_02,plain_self_below_40
sd300c,00001044,9,ok,16.586865026205977,ok,1177.9539965186484,sd300c_plain_roll_00001044_09,plain_self_below_40
sd300c,00001045,10,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001050,7,ok,16.586865026205977,ok,1177.9539965186484,sd300c_plain_roll_00001050_07,plain_self_below_40
sd300c,00001050,8,ok,16.586865026205977,ok,1166.1001890502716,sd300c_plain_roll_00001050_08,plain_self_below_40
sd300c,00001050,9,ok,23.165117663467225,ok,641.6653812185099,sd300c_plain_roll_00001050_09,plain_self_below_40
sd300c,00001050,10,,,ok,1154.2463823054504,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001051,2,,,ok,1142.392574837074,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001051,3,,,ok,1177.9539965186484,,missing_plain_self_identity;missing_plain_roll_pair
sd300c,00001052,4,ok,31.89454412241004,ok,606.690036766008,sd300c_plain_roll_00001052_04,plain_self_below_40
sd300c,00001054,7,ok,0.0,ok,1142.392574837074,sd300c_plain_roll_00001054_07,plain_self_below_40
