subject_id,canonical_finger_position,b_keypoints_a,b_keypoints_b,c_keypoints_a,c_keypoints_b,b_descriptors_a,b_descriptors_b,c_descriptors_a,c_descriptors_b,b_cap_a,b_cap_b,c_cap_a,c_cap_b,b_scale_distribution_a,b_scale_distribution_b,c_scale_distribution_a,c_scale_distribution_b,b_median_keypoint_size_a,b_median_keypoint_size_b,c_median_keypoint_size_a,c_median_keypoint_size_b,b_mutual_matches,c_mutual_matches,b_ransac_input,c_ransac_input,b_score,c_score,score_delta_c_minus_b,b_decision,c_decision,b_stage,c_stage,stage_transition
00001000,1,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:2133;1:329;2:344;3:136;4:58,0:2228;1:269;2:321;3:126;4:56,0:2051;1:218;2:407;3:206;4:118,0:2169;1:234;2:379;3:150;4:68,4.000000000000001,4.000000000000001,2.8284271247461903,4.000000000000001,6,11,6,11,2,2,0,rejected,rejected,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers -> valid_model_but_0_to_3_inliers
00001000,2,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:1828;1:330;2:524;3:233;4:85,0:2030;1:318;2:419;3:165;4:68,0:1867;1:316;2:487;3:212;4:118,0:2108;1:232;2:389;3:169;4:102,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,7,7,7,7,2,2,0,rejected,rejected,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers -> valid_model_but_0_to_3_inliers
00001000,3,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:1617;1:338;2:606;3:311;4:128,0:2062;1:346;2:381;3:162;4:49,0:1084;1:585;2:813;3:352;4:166,0:2108;1:262;2:359;3:176;4:95,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,10,8,10,8,6,2,-4,accepted,rejected,accepted_4_or_more_inliers,valid_model_but_0_to_3_inliers,accepted_4_or_more_inliers -> valid_model_but_0_to_3_inliers
00001000,4,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:1818;1:279;2:550;3:241;4:112,0:2052;1:351;2:417;3:128;4:52,0:696;1:1096;2:801;3:314;4:93,0:1999;1:266;2:424;3:195;4:116,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,0,5,0,5,0,2,2,rejected,rejected,insufficient_mutual_matches,valid_model_but_0_to_3_inliers,insufficient_mutual_matches -> valid_model_but_0_to_3_inliers
00001000,5,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:1992;1:301;2:459;3:191;4:57,0:1941;1:381;2:430;3:179;4:69,0:1964;1:370;2:397;3:172;4:97,0:2036;1:250;2:403;3:208;4:103,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,2,8,2,8,0,2,2,rejected,rejected,insufficient_mutual_matches,valid_model_but_0_to_3_inliers,insufficient_mutual_matches -> valid_model_but_0_to_3_inliers
00001000,6,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:2221;1:263;2:331;3:133;4:52,0:2072;1:315;2:381;3:169;4:63,0:2005;1:256;2:416;3:217;4:106,0:2261;1:192;2:345;3:130;4:72,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,9,3,9,3,2,2,0,rejected,rejected,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers -> valid_model_but_0_to_3_inliers
00001000,7,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:1797;1:337;2:497;3:267;4:102,0:2119;1:327;2:353;3:128;4:73,0:1940;1:267;2:460;3:200;4:133,0:2229;1:243;2:324;3:132;4:72,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,7,10,7,10,2,2,0,rejected,rejected,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers -> valid_model_but_0_to_3_inliers
00001000,8,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:1373;1:500;2:626;3:356;4:145,0:2144;1:311;2:353;3:135;4:57,0:402;1:1029;2:907;3:470;4:192,0:2247;1:199;2:334;3:139;4:81,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,2,4,2,4,0,2,2,rejected,rejected,insufficient_mutual_matches,valid_model_but_0_to_3_inliers,insufficient_mutual_matches -> valid_model_but_0_to_3_inliers
00001000,9,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:1550;1:507;2:569;3:266;4:108,0:2012;1:342;2:415;3:156;4:75,0:288;1:1086;2:989;3:440;4:197,0:2145;1:221;2:352;3:176;4:106,4.000000000000001,4.000000000000001,4.000000000000001,4.000000000000001,2,4,2,4,0,2,2,rejected,rejected,insufficient_mutual_matches,valid_model_but_0_to_3_inliers,insufficient_mutual_matches -> valid_model_but_0_to_3_inliers
00001000,10,3000,3000,3000,3000,3000,3000,3000,3000,True,True,True,True,0:1828;1:490;2:526;3:137;4:19,0:2117;1:291;2:370;3:157;4:65,0:552;1:1282;2:814;3:301;4:51,0:2167;1:236;2:373;3:154;4:70,4.000000000000001,2.8284271247461903,2.8284271247461903,4.000000000000001,8,3,8,3,2,2,0,rejected,rejected,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers,valid_model_but_0_to_3_inliers -> valid_model_but_0_to_3_inliers
