dataset,subject_id,canonical_finger_position,harrisz_descriptors_a,harrisz_descriptors_b,sift_descriptors_a,sift_descriptors_b,harrisz_mutual_matches,sift_mutual_matches,harrisz_ransac_inputs,sift_ransac_inputs,harrisz_inliers,sift_inliers
sd300b,00001000,1,3000,3000,3000,3000,6,3,6,3,2,2
sd300b,00001000,2,3000,3000,2780,3000,7,2,7,2,2,0
sd300b,00001000,3,3000,3000,2211,3000,10,30,10,30,6,16
sd300b,00001000,4,3000,3000,2589,3001,0,10,0,10,0,6
sd300b,00001000,5,3000,3000,3000,3000,2,2,2,2,0,0
sd300b,00001000,6,3000,3000,3000,3000,9,1,9,1,2,0
sd300b,00001000,7,3000,3000,2362,3000,7,5,7,5,2,2
sd300b,00001000,8,3000,3000,2292,3000,2,3,2,3,0,2
sd300b,00001000,9,3000,3000,2855,3000,2,2,2,2,0,0
sd300b,00001000,10,3000,3000,3000,3000,8,2,8,2,2,0
sd300b,00001001,2,3000,3000,3000,3000,5,9,5,9,2,3
sd300b,00001001,3,3000,3000,3000,3000,1,6,1,6,0,2
sd300b,00001001,4,3000,3000,3000,3000,3,8,3,8,2,4
sd300b,00001001,5,3000,3000,3000,3000,4,8,4,8,2,6
sd300b,00001001,7,3000,3000,3000,3001,6,21,6,21,2,10
sd300b,00001001,8,3000,3000,3000,3000,6,41,6,41,2,26
sd300b,00001001,9,3000,3000,3001,3000,3,13,3,13,2,8
sd300b,00001001,10,3000,3000,2997,3000,0,4,0,4,0,3
sd300b,00001002,1,3000,3000,3000,3001,9,19,9,19,5,9
sd300b,00001002,2,3000,3000,3000,3000,5,0,5,0,2,0
sd300b,00001002,3,3000,3000,3000,3000,4,6,4,6,2,2
sd300b,00001002,4,3000,3000,1961,3000,1,15,1,15,0,6
sd300b,00001002,5,3000,3000,1806,3000,5,23,5,23,2,13
sd300b,00001002,6,3000,3000,3000,3000,5,41,5,41,3,12
sd300b,00001002,7,3000,3000,3000,3001,6,5,6,5,2,3
sd300b,00001002,8,3000,3000,3001,3002,8,25,8,25,2,14
sd300b,00001002,9,3000,3000,3001,1831,4,6,4,6,2,4
sd300b,00001002,10,3000,3000,3000,1804,2,5,2,5,0,2
sd300b,00001003,1,3000,3000,3001,3000,4,55,4,55,3,29
sd300b,00001003,2,3000,3000,3000,3000,5,3,5,3,2,2
sd300b,00001003,3,3000,3000,2399,3000,2,4,2,4,0,2
sd300b,00001003,4,3000,3000,2480,3000,0,3,0,3,0,3
sd300b,00001003,5,3000,3000,3000,3000,4,4,4,4,3,3
sd300b,00001003,6,3000,3000,3000,3000,12,48,12,48,5,19
sd300b,00001003,7,3000,3000,3000,3000,2,8,2,8,0,2
sd300b,00001003,8,3000,3000,3000,3001,1,3,1,3,0,2
sd300b,00001003,9,3000,3000,3000,3000,1,2,1,2,0,0
sd300b,00001003,10,3000,3000,3000,3000,1,1,1,1,0,0
sd300b,00001004,1,3000,3000,3000,3000,3,10,3,10,2,5
sd300b,00001004,2,3000,3000,3000,3000,3,8,3,8,2,2
sd300b,00001004,3,3000,3000,3000,3000,3,4,3,4,2,2
sd300b,00001004,4,3000,3000,3001,3000,3,3,3,3,2,2
sd300b,00001004,5,3000,3000,1800,3001,2,2,2,2,0,0
sd300b,00001004,6,3000,3000,3000,3000,5,12,5,12,3,8
sd300b,00001004,7,3000,3000,1713,3000,6,1,6,1,2,0
sd300b,00001004,8,3000,3000,2615,3000,3,6,3,6,2,2
sd300b,00001004,9,3000,3000,3000,3000,1,3,1,3,0,2
sd300b,00001004,10,3000,3000,1354,3000,1,1,1,1,0,0
sd300b,00001005,1,3000,3000,1269,1201,5,26,5,26,3,5
sd300b,00001005,4,3000,3000,3000,3000,4,6,4,6,2,3
sd300b,00001005,5,3000,3000,3000,3001,1,15,1,15,0,5
sd300b,00001005,6,3000,3000,3000,3000,5,33,5,33,2,10
sd300b,00001005,7,3000,3000,3001,3000,3,13,3,13,2,4
sd300b,00001005,8,3000,3000,3000,3000,6,1,6,1,2,0
sd300b,00001005,9,3000,3000,3000,3001,3,40,3,40,2,15
sd300b,00001005,10,3000,3000,3000,3001,4,0,4,0,2,0
sd300b,00001006,1,3000,3000,3000,3001,20,49,20,49,4,17
sd300b,00001006,2,3000,3000,3000,3000,6,26,6,26,2,10
sd300b,00001006,3,3000,3000,3000,3000,14,85,14,85,3,30
sd300b,00001006,4,3000,3000,3000,3000,4,17,4,17,2,11
sd300b,00001006,5,3000,3000,3000,3000,5,13,5,13,2,7
sd300b,00001006,6,3000,3000,3000,3000,23,40,23,40,6,16
sd300b,00001006,7,3000,3000,3000,3000,9,26,9,26,2,11
sd300b,00001006,8,3000,3000,3001,3000,5,24,5,24,2,6
sd300b,00001006,9,3000,3000,3001,3000,12,62,12,62,4,23
sd300b,00001006,10,3000,3000,1808,3001,4,1,4,1,2,0
sd300b,00001007,1,3000,3000,3000,3001,9,25,9,25,3,7
sd300b,00001007,2,3000,3000,2476,3000,4,5,4,5,2,2
sd300b,00001007,3,3000,3000,2523,3000,3,4,3,4,2,2
sd300b,00001007,4,3000,3000,1377,3001,3,4,3,4,2,2
sd300b,00001007,5,3000,3000,2079,3001,3,0,3,0,2,0
sd300b,00001007,6,3000,3000,3001,3001,3,12,3,12,2,5
sd300b,00001007,7,3000,3000,2685,3000,1,8,1,8,0,3
sd300b,00001007,8,3000,3000,2072,3000,2,4,2,4,0,2
sd300b,00001007,9,3000,3000,1849,3000,2,1,2,1,0,0
sd300b,00001007,10,3000,3000,1515,3001,2,0,2,0,0,0
sd300b,00001008,1,3000,3000,3000,3000,11,27,11,27,3,9
sd300b,00001008,2,3000,3000,3001,3000,9,21,9,21,2,12
sd300b,00001008,3,3000,3000,3001,3000,10,23,10,23,2,12
sd300b,00001008,4,3000,3000,3000,3000,7,18,7,18,3,12
sd300b,00001008,5,3000,3000,3000,3000,3,7,3,7,2,5
sd300b,00001008,6,3000,3000,3000,3002,12,39,12,39,2,17
sd300b,00001008,7,3000,3000,3000,3000,8,13,8,13,2,9
sd300b,00001008,8,3000,3000,3000,3000,3,4,3,4,2,2
sd300b,00001008,9,3000,3000,3000,3001,8,4,8,4,2,2
sd300b,00001008,10,3000,3000,2193,3000,3,1,3,1,2,0
sd300b,00001009,1,3000,3000,3000,3000,10,37,10,37,5,21
sd300b,00001009,2,3000,3000,3000,3000,2,5,2,5,0,3
sd300b,00001009,3,3000,3000,3000,3000,10,34,10,34,3,13
sd300b,00001009,4,3000,3000,3000,3000,6,57,6,57,2,30
sd300b,00001009,5,3000,3000,2231,3000,3,1,3,1,2,0
sd300b,00001009,6,3000,3000,3000,3000,11,20,11,20,2,9
sd300b,00001009,7,3000,3000,3000,3001,2,17,2,17,0,12
sd300b,00001009,8,3000,3000,3000,3001,10,24,10,24,4,9
sd300b,00001009,9,3000,3000,3000,3000,8,28,8,28,4,12
sd300b,00001009,10,3000,3000,3000,3000,2,1,2,1,0,0
sd300b,00001010,1,3000,3000,3000,3001,14,21,14,21,3,8
sd300b,00001010,2,3000,3000,3000,3002,4,18,4,18,2,6
sd300b,00001010,3,3000,3000,3000,3000,13,65,13,65,3,21
sd300b,00001010,4,3000,3000,3001,3001,11,73,11,73,3,22
sd300b,00001010,5,3000,3000,3000,3001,8,20,8,20,4,8
sd300b,00001010,6,3000,3000,3000,3000,9,50,9,50,4,15
sd300b,00001010,7,3000,3000,3000,3001,6,8,6,8,2,4
sd300b,00001010,8,3000,3000,3000,3000,9,20,9,20,3,9
sd300b,00001010,9,3000,3000,3001,3001,12,10,12,10,2,5
sd300b,00001010,10,2501,3000,795,3001,0,1,0,1,0,0
sd300b,00001011,1,3000,3000,3000,3001,23,20,23,20,2,10
sd300b,00001011,2,3000,3000,3000,3000,10,43,10,43,4,27
sd300b,00001011,3,3000,3000,3000,3001,12,28,12,28,3,10
sd300b,00001011,4,3000,3000,3000,3000,12,43,12,43,3,20
sd300b,00001011,5,3000,3000,2251,3000,3,7,3,7,2,2
sd300b,00001011,6,3000,3000,3000,3000,23,56,23,56,4,16
sd300b,00001011,7,3000,3000,3001,3000,18,74,18,74,5,24
sd300b,00001011,8,3000,3000,3000,3000,13,17,13,17,2,8
sd300b,00001011,9,3000,3000,3000,3000,8,20,8,20,2,6
