dataset,class,metric,unit,available,source,notes,count,mean,median,p5,p25,p75,p95,zero_count,minimum,maximum
sd300b,plain_self,final_keypoints_a,keypoints,true,prepare_a_diagnostics.final_keypoint_count,,500,2996.962,3000.0,3000.0,3000.0,3000.0,3000.0,0,1980.0,3000.0
sd300b,plain_self,final_keypoints_b,keypoints,true,prepare_b_diagnostics.final_keypoint_count,,500,2996.962,3000.0,3000.0,3000.0,3000.0,3000.0,0,1980.0,3000.0
sd300b,plain_self,descriptor_count_a,descriptors,true,prepare_a_diagnostics.descriptor_count,,500,2996.962,3000.0,3000.0,3000.0,3000.0,3000.0,0,1980.0,3000.0
sd300b,plain_self,descriptor_count_b,descriptors,true,prepare_b_diagnostics.descriptor_count,,500,2996.962,3000.0,3000.0,3000.0,3000.0,3000.0,0,1980.0,3000.0
sd300b,plain_self,cap_active_a,boolean,true,derived from frozen cap diagnostics,,500,0.996,1.0,1.0,1.0,1.0,1.0,2,0.0,1.0
sd300b,plain_self,cap_active_b,boolean,true,derived from frozen cap diagnostics,,500,0.996,1.0,1.0,1.0,1.0,1.0,2,0.0,1.0
sd300b,plain_self,cap_active_count,representations_per_pair,true,sum of side flags,,500,1.992,2.0,2.0,2.0,2.0,2.0,2,0.0,2.0
sd300b,plain_self,candidates_before_cap_a,candidates,true,prepare_a_diagnostics.candidates_after_duplicate_removal,,500,12426.57,10317.5,5350.3,8175.0,13996.5,27015.199999999993,0,1980.0,36063.0
sd300b,plain_self,candidates_before_cap_b,candidates,true,prepare_b_diagnostics.candidates_after_duplicate_removal,,500,12426.57,10317.5,5350.3,8175.0,13996.5,27015.199999999993,0,1980.0,36063.0
sd300b,plain_self,candidate_to_final_ratio_a,ratio,true,candidates_before_cap/final,,500,4.143202666666666,3.439166666666667,1.7834333333333334,2.7249999999999996,4.6655,9.005066666666664,0,1.0,12.021
sd300b,plain_self,candidate_to_final_ratio_b,ratio,true,candidates_before_cap/final,,500,4.143202666666666,3.439166666666667,1.7834333333333334,2.7249999999999996,4.6655,9.005066666666664,0,1.0,12.021
sd300b,plain_self,median_keypoint_size_a,native_pixels,true,derived from scale index and frozen mapping,,500,3.8476955262170054,4.000000000000001,2.8284271247461903,4.000000000000001,4.000000000000001,4.000000000000001,0,2.8284271247461903,4.000000000000001
sd300b,plain_self,median_keypoint_size_b,native_pixels,true,derived from scale index and frozen mapping,,500,3.8476955262170054,4.000000000000001,2.8284271247461903,4.000000000000001,4.000000000000001,4.000000000000001,0,2.8284271247461903,4.000000000000001
sd300b,plain_self,orientation_count_a,orientations,true,prepare_a_diagnostics.orientation_count,,500,2996.962,3000.0,3000.0,3000.0,3000.0,3000.0,0,1980.0,3000.0
