section_number,section,dataset,metric,value
1,Record counts,sd300b,plain_records,500
1,Record counts,sd300b,roll_records,500
1,Record counts,sd300c,plain_records,500
1,Record counts,sd300c,roll_records,500
2,PLAIN self-comparisons,sd300b,accepted,500
2,PLAIN self-comparisons,sd300b,rejected,0
2,PLAIN self-comparisons,sd300b,failures,0
2,PLAIN self-comparisons,sd300b,removed,0
2,PLAIN self-comparisons,sd300b,remaining,500
2,PLAIN self-comparisons,sd300c,accepted,500
2,PLAIN self-comparisons,sd300c,rejected,0
2,PLAIN self-comparisons,sd300c,failures,0
2,PLAIN self-comparisons,sd300c,removed,0
2,PLAIN self-comparisons,sd300c,remaining,500
3,ROLL self-comparisons,sd300b,accepted,500
3,ROLL self-comparisons,sd300b,rejected,0
3,ROLL self-comparisons,sd300b,failures,0
3,ROLL self-comparisons,sd300b,removed,0
3,ROLL self-comparisons,sd300b,remaining,500
3,ROLL self-comparisons,sd300c,accepted,500
3,ROLL self-comparisons,sd300c,rejected,0
3,ROLL self-comparisons,sd300c,failures,0
3,ROLL self-comparisons,sd300c,removed,0
3,ROLL self-comparisons,sd300c,remaining,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,survivors,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,excluded_after_self,0
4,PLAIN-to-corresponding-ROLL record matching,sd300b,ground_truth_same_subject_same_finger,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,ground_truth_wrong,0
4,PLAIN-to-corresponding-ROLL record matching,sd300b,harriszplus_classified_matching,64
4,PLAIN-to-corresponding-ROLL record matching,sd300b,harriszplus_classified_non_matching,436
4,PLAIN-to-corresponding-ROLL record matching,sd300b,failures,0
4,PLAIN-to-corresponding-ROLL record matching,sd300c,survivors,500
4,PLAIN-to-corresponding-ROLL record matching,sd300c,excluded_after_self,0
4,PLAIN-to-corresponding-ROLL record matching,sd300c,ground_truth_same_subject_same_finger,500
4,PLAIN-to-corresponding-ROLL record matching,sd300c,ground_truth_wrong,0
4,PLAIN-to-corresponding-ROLL record matching,sd300c,harriszplus_classified_matching,1
4,PLAIN-to-corresponding-ROLL record matching,sd300c,harriszplus_classified_non_matching,499
4,PLAIN-to-corresponding-ROLL record matching,sd300c,failures,0
5,PLAIN versus corresponding ROLL,sd300b,total,500
5,PLAIN versus corresponding ROLL,sd300b,accepted,64
5,PLAIN versus corresponding ROLL,sd300b,rejected,436
5,PLAIN versus corresponding ROLL,sd300b,failures,0
5,PLAIN versus corresponding ROLL,sd300b,acceptance_percentage,12.8
5,PLAIN versus corresponding ROLL,sd300b,mean_score,2.148
5,PLAIN versus corresponding ROLL,sd300b,median_score,2.0
5,PLAIN versus corresponding ROLL,sd300b,mean_method_compare_time_ms,20.5200232
5,PLAIN versus corresponding ROLL,sd300b,mean_total_pair_time_ms,1759.3075245999999
5,PLAIN versus corresponding ROLL,sd300b,mean_keypoint_count_a,2996.962
5,PLAIN versus corresponding ROLL,sd300b,mean_keypoint_count_b,3000.0
5,PLAIN versus corresponding ROLL,sd300b,mean_mutual_match_count,6.032
5,PLAIN versus corresponding ROLL,sd300b,mean_geometric_inlier_count,2.148
5,PLAIN versus corresponding ROLL,sd300c,total,500
5,PLAIN versus corresponding ROLL,sd300c,accepted,1
5,PLAIN versus corresponding ROLL,sd300c,rejected,499
5,PLAIN versus corresponding ROLL,sd300c,failures,0
5,PLAIN versus corresponding ROLL,sd300c,acceptance_percentage,0.2
5,PLAIN versus corresponding ROLL,sd300c,mean_score,1.472
5,PLAIN versus corresponding ROLL,sd300c,median_score,2.0
5,PLAIN versus corresponding ROLL,sd300c,mean_method_compare_time_ms,17.8040674
5,PLAIN versus corresponding ROLL,sd300c,mean_total_pair_time_ms,4326.448917600001
5,PLAIN versus corresponding ROLL,sd300c,mean_keypoint_count_a,3000.0
5,PLAIN versus corresponding ROLL,sd300c,mean_keypoint_count_b,3000.0
5,PLAIN versus corresponding ROLL,sd300c,mean_mutual_match_count,4.212
5,PLAIN versus corresponding ROLL,sd300c,mean_geometric_inlier_count,1.472
6,PLAIN versus next subject's ROLL,sd300b,total,500
6,PLAIN versus next subject's ROLL,sd300b,incorrectly_accepted,3
6,PLAIN versus next subject's ROLL,sd300b,correctly_rejected,497
6,PLAIN versus next subject's ROLL,sd300b,failures,0
6,PLAIN versus next subject's ROLL,sd300b,false_match_percentage,0.6
6,PLAIN versus next subject's ROLL,sd300b,mean_score,1.058
6,PLAIN versus next subject's ROLL,sd300b,median_score,2.0
6,PLAIN versus next subject's ROLL,sd300b,mean_method_compare_time_ms,20.7832174
6,PLAIN versus next subject's ROLL,sd300b,mean_total_pair_time_ms,1757.314248
6,PLAIN versus next subject's ROLL,sd300c,total,500
6,PLAIN versus next subject's ROLL,sd300c,incorrectly_accepted,0
6,PLAIN versus next subject's ROLL,sd300c,correctly_rejected,500
6,PLAIN versus next subject's ROLL,sd300c,failures,0
6,PLAIN versus next subject's ROLL,sd300c,false_match_percentage,0.0
6,PLAIN versus next subject's ROLL,sd300c,mean_score,1.13
6,PLAIN versus next subject's ROLL,sd300c,median_score,2.0
6,PLAIN versus next subject's ROLL,sd300c,mean_method_compare_time_ms,17.3037924
6,PLAIN versus next subject's ROLL,sd300c,mean_total_pair_time_ms,4332.735633
