negative_pair_id,dataset,protocol,canonical_finger_position,subject_id_a,subject_id_b,selection_index_a,selection_index_b,plain_group_index,roll_group_index,shift,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b,source_plain_roll_pair_id_a,source_plain_roll_pair_id_b
sd300b_plain_roll_next_subject_impostor_01_00001000_00001002,sd300b,plain_roll_next_subject_impostor,1,00001000,00001002,1,19,0,1,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_01.png,sd300b_plain_roll_00001000_01,sd300b_plain_roll_00001002_01
sd300b_plain_roll_next_subject_impostor_01_00001002_00001003,sd300b,plain_roll_next_subject_impostor,1,00001002,00001003,19,29,1,2,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_01.png,sd300b_plain_roll_00001002_01,sd300b_plain_roll_00001003_01
sd300b_plain_roll_next_subject_impostor_01_00001003_00001004,sd300b,plain_roll_next_subject_impostor,1,00001003,00001004,29,39,2,3,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_01.png,sd300b_plain_roll_00001003_01,sd300b_plain_roll_00001004_01
sd300b_plain_roll_next_subject_impostor_01_00001004_00001005,sd300b,plain_roll_next_subject_impostor,1,00001004,00001005,39,49,3,4,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001005_roll_1000_01.png,sd300b_plain_roll_00001004_01,sd300b_plain_roll_00001005_01
sd300b_plain_roll_next_subject_impostor_01_00001005_00001006,sd300b,plain_roll_next_subject_impostor,1,00001005,00001006,49,57,4,5,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001005_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001006_roll_1000_01.png,sd300b_plain_roll_00001005_01,sd300b_plain_roll_00001006_01
sd300b_plain_roll_next_subject_impostor_01_00001006_00001007,sd300b,plain_roll_next_subject_impostor,1,00001006,00001007,57,67,5,6,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001006_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001007_roll_1000_01.png,sd300b_plain_roll_00001006_01,sd300b_plain_roll_00001007_01
sd300b_plain_roll_next_subject_impostor_01_00001007_00001008,sd300b,plain_roll_next_subject_impostor,1,00001007,00001008,67,77,6,7,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001007_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001008_roll_1000_01.png,sd300b_plain_roll_00001007_01,sd300b_plain_roll_00001008_01
sd300b_plain_roll_next_subject_impostor_01_00001008_00001009,sd300b,plain_roll_next_subject_impostor,1,00001008,00001009,77,87,7,8,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001008_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001009_roll_1000_01.png,sd300b_plain_roll_00001008_01,sd300b_plain_roll_00001009_01
sd300b_plain_roll_next_subject_impostor_01_00001009_00001010,sd300b,plain_roll_next_subject_impostor,1,00001009,00001010,87,97,8,9,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001009_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001010_roll_1000_01.png,sd300b_plain_roll_00001009_01,sd300b_plain_roll_00001010_01
sd300b_plain_roll_next_subject_impostor_01_00001010_00001011,sd300b,plain_roll_next_subject_impostor,1,00001010,00001011,97,107,9,10,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001010_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001011_roll_1000_01.png,sd300b_plain_roll_00001010_01,sd300b_plain_roll_00001011_01
sd300b_plain_roll_next_subject_impostor_01_00001011_00001012,sd300b,plain_roll_next_subject_impostor,1,00001011,00001012,107,117,10,11,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001011_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001012_roll_1000_01.png,sd300b_plain_roll_00001011_01,sd300b_plain_roll_00001012_01
sd300b_plain_roll_next_subject_impostor_01_00001012_00001013,sd300b,plain_roll_next_subject_impostor,1,00001012,00001013,117,127,11,12,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001012_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001013_roll_1000_01.png,sd300b_plain_roll_00001012_01,sd300b_plain_roll_00001013_01
sd300b_plain_roll_next_subject_impostor_01_00001013_00001014,sd300b,plain_roll_next_subject_impostor,1,00001013,00001014,127,137,12,13,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001013_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001014_roll_1000_01.png,sd300b_plain_roll_00001013_01,sd300b_plain_roll_00001014_01
sd300b_plain_roll_next_subject_impostor_01_00001014_00001015,sd300b,plain_roll_next_subject_impostor,1,00001014,00001015,137,147,13,14,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001014_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_01.png,sd300b_plain_roll_00001014_01,sd300b_plain_roll_00001015_01
sd300b_plain_roll_next_subject_impostor_01_00001015_00001016,sd300b,plain_roll_next_subject_impostor,1,00001015,00001016,147,157,14,15,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001015_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001016_roll_1000_01.png,sd300b_plain_roll_00001015_01,sd300b_plain_roll_00001016_01
sd300b_plain_roll_next_subject_impostor_01_00001016_00001017,sd300b,plain_roll_next_subject_impostor,1,00001016,00001017,157,167,15,16,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001016_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001017_roll_1000_01.png,sd300b_plain_roll_00001016_01,sd300b_plain_roll_00001017_01
sd300b_plain_roll_next_subject_impostor_01_00001017_00001018,sd300b,plain_roll_next_subject_impostor,1,00001017,00001018,167,177,16,17,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001017_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001018_roll_1000_01.png,sd300b_plain_roll_00001017_01,sd300b_plain_roll_00001018_01
sd300b_plain_roll_next_subject_impostor_01_00001018_00001019,sd300b,plain_roll_next_subject_impostor,1,00001018,00001019,177,187,17,18,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001018_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_01.png,sd300b_plain_roll_00001018_01,sd300b_plain_roll_00001019_01
sd300b_plain_roll_next_subject_impostor_01_00001019_00001020,sd300b,plain_roll_next_subject_impostor,1,00001019,00001020,187,194,18,19,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001020_roll_1000_01.png,sd300b_plain_roll_00001019_01,sd300b_plain_roll_00001020_01
