pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300c_plain_roll_next_subject_impostor_01_00001000_00001002,sd300c,plain_roll_next_subject_impostor,00001000,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001002_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001002_00001003,sd300c,plain_roll_next_subject_impostor,00001002,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001003_00001004,sd300c,plain_roll_next_subject_impostor,00001003,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001004_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001004_00001005,sd300c,plain_roll_next_subject_impostor,00001004,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001004_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001005_00001006,sd300c,plain_roll_next_subject_impostor,00001005,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001006_00001007,sd300c,plain_roll_next_subject_impostor,00001006,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001007_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001007_00001008,sd300c,plain_roll_next_subject_impostor,00001007,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001007_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001008_00001009,sd300c,plain_roll_next_subject_impostor,00001008,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001009_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001009_00001010,sd300c,plain_roll_next_subject_impostor,00001009,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001009_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001010_roll_2000_01.png
sd300c_plain_roll_next_subject_impostor_01_00001010_00001011,sd300c,plain_roll_next_subject_impostor,00001010,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001010_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_01.png
