section_number,section,dataset,metric,value
1,Record counts,sd300b,plain_records,500
1,Record counts,sd300b,roll_records,500
1,Record counts,sd300c,plain_records,500
1,Record counts,sd300c,roll_records,500
2,PLAIN self-comparisons,sd300b,accepted,500
2,PLAIN self-comparisons,sd300b,rejected,0
2,PLAIN self-comparisons,sd300b,failures,0
2,PLAIN self-comparisons,sd300b,removed,0
2,PLAIN self-comparisons,sd300b,remaining,500
2,PLAIN self-comparisons,sd300c,accepted,500
2,PLAIN self-comparisons,sd300c,rejected,0
2,PLAIN self-comparisons,sd300c,failures,0
2,PLAIN self-comparisons,sd300c,removed,0
2,PLAIN self-comparisons,sd300c,remaining,500
3,ROLL self-comparisons,sd300b,accepted,500
3,ROLL self-comparisons,sd300b,rejected,0
3,ROLL self-comparisons,sd300b,failures,0
3,ROLL self-comparisons,sd300b,removed,0
3,ROLL self-comparisons,sd300b,remaining,500
3,ROLL self-comparisons,sd300c,accepted,500
3,ROLL self-comparisons,sd300c,rejected,0
3,ROLL self-comparisons,sd300c,failures,0
3,ROLL self-comparisons,sd300c,removed,0
3,ROLL self-comparisons,sd300c,remaining,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,survivors,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,excluded_after_self,0
4,PLAIN-to-corresponding-ROLL record matching,sd300b,ground_truth_same_subject_same_finger,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,ground_truth_wrong,0
4,PLAIN-to-corresponding-ROLL record matching,sd300b,harriszplus_classified_matching,63
4,PLAIN-to-corresponding-ROLL record matching,sd300b,harriszplus_classified_non_matching,437
4,PLAIN-to-corresponding-ROLL record matching,sd300b,failures,0
4,PLAIN-to-corresponding-ROLL record matching,sd300c,survivors,500
4,PLAIN-to-corresponding-ROLL record matching,sd300c,excluded_after_self,0
4,PLAIN-to-corresponding-ROLL record matching,sd300c,ground_truth_same_subject_same_finger,500
4,PLAIN-to-corresponding-ROLL record matching,sd300c,ground_truth_wrong,0
4,PLAIN-to-corresponding-ROLL record matching,sd300c,harriszplus_classified_matching,40
4,PLAIN-to-corresponding-ROLL record matching,sd300c,harriszplus_classified_non_matching,460
4,PLAIN-to-corresponding-ROLL record matching,sd300c,failures,0
5,PLAIN versus corresponding ROLL,sd300b,total,500
5,PLAIN versus corresponding ROLL,sd300b,accepted,63
5,PLAIN versus corresponding ROLL,sd300b,rejected,437
5,PLAIN versus corresponding ROLL,sd300b,failures,0
5,PLAIN versus corresponding ROLL,sd300b,acceptance_percentage,12.6
5,PLAIN versus corresponding ROLL,sd300b,mean_score,2.142
5,PLAIN versus corresponding ROLL,sd300b,median_score,2.0
5,PLAIN versus corresponding ROLL,sd300b,mean_method_compare_time_ms,22.095900399999998
5,PLAIN versus corresponding ROLL,sd300b,mean_total_pair_time_ms,4233.5601852
5,PLAIN versus corresponding ROLL,sd300b,mean_keypoint_count_a,2996.8
5,PLAIN versus corresponding ROLL,sd300b,mean_keypoint_count_b,3000.0
5,PLAIN versus corresponding ROLL,sd300b,mean_mutual_match_count,6.014
5,PLAIN versus corresponding ROLL,sd300b,mean_geometric_inlier_count,2.142
5,PLAIN versus corresponding ROLL,sd300c,total,500
5,PLAIN versus corresponding ROLL,sd300c,accepted,40
5,PLAIN versus corresponding ROLL,sd300c,rejected,460
5,PLAIN versus corresponding ROLL,sd300c,failures,0
5,PLAIN versus corresponding ROLL,sd300c,acceptance_percentage,8.0
5,PLAIN versus corresponding ROLL,sd300c,mean_score,1.032
5,PLAIN versus corresponding ROLL,sd300c,median_score,0.0
5,PLAIN versus corresponding ROLL,sd300c,mean_method_compare_time_ms,17.464633799999998
5,PLAIN versus corresponding ROLL,sd300c,mean_total_pair_time_ms,2704.7881944
5,PLAIN versus corresponding ROLL,sd300c,mean_keypoint_count_a,2999.18
5,PLAIN versus corresponding ROLL,sd300c,mean_keypoint_count_b,3000.0
5,PLAIN versus corresponding ROLL,sd300c,mean_mutual_match_count,2.414
5,PLAIN versus corresponding ROLL,sd300c,mean_geometric_inlier_count,1.032
6,PLAIN versus next subject's ROLL,sd300b,total,500
6,PLAIN versus next subject's ROLL,sd300b,incorrectly_accepted,1
6,PLAIN versus next subject's ROLL,sd300b,correctly_rejected,499
6,PLAIN versus next subject's ROLL,sd300b,failures,0
6,PLAIN versus next subject's ROLL,sd300b,false_match_percentage,0.2
6,PLAIN versus next subject's ROLL,sd300b,mean_score,1.022
6,PLAIN versus next subject's ROLL,sd300b,median_score,2.0
6,PLAIN versus next subject's ROLL,sd300b,mean_method_compare_time_ms,23.746240399999998
6,PLAIN versus next subject's ROLL,sd300b,mean_total_pair_time_ms,1905.2687231999998
6,PLAIN versus next subject's ROLL,sd300c,total,500
6,PLAIN versus next subject's ROLL,sd300c,incorrectly_accepted,1
6,PLAIN versus next subject's ROLL,sd300c,correctly_rejected,499
6,PLAIN versus next subject's ROLL,sd300c,failures,0
6,PLAIN versus next subject's ROLL,sd300c,false_match_percentage,0.2
6,PLAIN versus next subject's ROLL,sd300c,mean_score,0.126
6,PLAIN versus next subject's ROLL,sd300c,median_score,0.0
6,PLAIN versus next subject's ROLL,sd300c,mean_method_compare_time_ms,17.4069864
6,PLAIN versus next subject's ROLL,sd300c,mean_total_pair_time_ms,2701.0406758
