dataset,metric,value
sd300b,base_plain_records,500
sd300b,base_roll_records,500
sd300b,plain_self_accepted,500
sd300b,plain_self_rejected,0
sd300b,plain_self_failures,0
sd300b,roll_self_accepted,500
sd300b,roll_self_rejected,0
sd300b,roll_self_failures,0
sd300b,survivors,500
sd300b,excluded,0
sd300b,genuine_total,500
sd300b,genuine_accepted,284
sd300b,genuine_rejected,216
sd300b,genuine_failures,0
sd300b,negative_total,500
sd300b,negative_incorrectly_accepted,14
sd300b,negative_correctly_rejected,486
sd300b,negative_failures,0
sd300c,base_plain_records,500
sd300c,base_roll_records,500
sd300c,plain_self_accepted,500
sd300c,plain_self_rejected,0
sd300c,plain_self_failures,0
sd300c,roll_self_accepted,500
sd300c,roll_self_rejected,0
sd300c,roll_self_failures,0
sd300c,survivors,500
sd300c,excluded,0
sd300c,genuine_total,500
sd300c,genuine_accepted,271
sd300c,genuine_rejected,229
sd300c,genuine_failures,0
sd300c,negative_total,500
sd300c,negative_incorrectly_accepted,15
sd300c,negative_correctly_rejected,485
sd300c,negative_failures,0
