pair_id,negative_pair_id,dataset,protocol,pair_label,subject_id,canonical_finger_position,subject_id_a,subject_id_b,ppi,path_a,path_b,raw_frgp_a,raw_frgp_b,source_plain_pair_id,source_roll_pair_id,plain_group_index,roll_group_index,shift
sd300b_plain_roll_next_subject_impostor_01_00001000_00001002,sd300b_plain_roll_next_subject_impostor_01_00001000_00001002,sd300b,plain_roll_next_subject_impostor,impostor,00001000,1,00001000,00001002,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_01.png,11,1,sd300b_plain_roll_00001000_01,sd300b_plain_roll_00001002_01,0,1,1
sd300b_plain_roll_next_subject_impostor_01_00001002_00001003,sd300b_plain_roll_next_subject_impostor_01_00001002_00001003,sd300b,plain_roll_next_subject_impostor,impostor,00001002,1,00001002,00001003,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_01.png,11,1,sd300b_plain_roll_00001002_01,sd300b_plain_roll_00001003_01,1,2,1
sd300b_plain_roll_next_subject_impostor_01_00001003_00001004,sd300b_plain_roll_next_subject_impostor_01_00001003_00001004,sd300b,plain_roll_next_subject_impostor,impostor,00001003,1,00001003,00001004,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_01.png,11,1,sd300b_plain_roll_00001003_01,sd300b_plain_roll_00001004_01,2,3,1
sd300b_plain_roll_next_subject_impostor_01_00001004_00001005,sd300b_plain_roll_next_subject_impostor_01_00001004_00001005,sd300b,plain_roll_next_subject_impostor,impostor,00001004,1,00001004,00001005,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001005_roll_1000_01.png,11,1,sd300b_plain_roll_00001004_01,sd300b_plain_roll_00001005_01,3,4,1
sd300b_plain_roll_next_subject_impostor_01_00001005_00001006,sd300b_plain_roll_next_subject_impostor_01_00001005_00001006,sd300b,plain_roll_next_subject_impostor,impostor,00001005,1,00001005,00001006,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001005_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001006_roll_1000_01.png,11,1,sd300b_plain_roll_00001005_01,sd300b_plain_roll_00001006_01,4,5,1
sd300b_plain_roll_next_subject_impostor_01_00001006_00001007,sd300b_plain_roll_next_subject_impostor_01_00001006_00001007,sd300b,plain_roll_next_subject_impostor,impostor,00001006,1,00001006,00001007,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001006_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001007_roll_1000_01.png,11,1,sd300b_plain_roll_00001006_01,sd300b_plain_roll_00001007_01,5,6,1
sd300b_plain_roll_next_subject_impostor_01_00001007_00001008,sd300b_plain_roll_next_subject_impostor_01_00001007_00001008,sd300b,plain_roll_next_subject_impostor,impostor,00001007,1,00001007,00001008,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001007_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001008_roll_1000_01.png,11,1,sd300b_plain_roll_00001007_01,sd300b_plain_roll_00001008_01,6,7,1
sd300b_plain_roll_next_subject_impostor_01_00001008_00001009,sd300b_plain_roll_next_subject_impostor_01_00001008_00001009,sd300b,plain_roll_next_subject_impostor,impostor,00001008,1,00001008,00001009,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001008_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001009_roll_1000_01.png,11,1,sd300b_plain_roll_00001008_01,sd300b_plain_roll_00001009_01,7,8,1
sd300b_plain_roll_next_subject_impostor_01_00001009_00001010,sd300b_plain_roll_next_subject_impostor_01_00001009_00001010,sd300b,plain_roll_next_subject_impostor,impostor,00001009,1,00001009,00001010,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001009_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001010_roll_1000_01.png,11,1,sd300b_plain_roll_00001009_01,sd300b_plain_roll_00001010_01,8,9,1
sd300b_plain_roll_next_subject_impostor_01_00001010_00001011,sd300b_plain_roll_next_subject_impostor_01_00001010_00001011,sd300b,plain_roll_next_subject_impostor,impostor,00001010,1,00001010,00001011,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001010_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001011_roll_1000_01.png,11,1,sd300b_plain_roll_00001010_01,sd300b_plain_roll_00001011_01,9,10,1
