section_number,section,dataset,metric,value
1,Record counts,sd300b,plain_records,500
1,Record counts,sd300b,roll_records,500
1,Record counts,sd300c,plain_records,500
1,Record counts,sd300c,roll_records,500
2,PLAIN self-comparisons,sd300b,accepted,500
2,PLAIN self-comparisons,sd300b,rejected,0
2,PLAIN self-comparisons,sd300b,failures,0
2,PLAIN self-comparisons,sd300b,removed,0
2,PLAIN self-comparisons,sd300b,remaining,500
2,PLAIN self-comparisons,sd300c,accepted,500
2,PLAIN self-comparisons,sd300c,rejected,0
2,PLAIN self-comparisons,sd300c,failures,0
2,PLAIN self-comparisons,sd300c,removed,0
2,PLAIN self-comparisons,sd300c,remaining,500
3,ROLL self-comparisons,sd300b,accepted,500
3,ROLL self-comparisons,sd300b,rejected,0
3,ROLL self-comparisons,sd300b,failures,0
3,ROLL self-comparisons,sd300b,removed,0
3,ROLL self-comparisons,sd300b,remaining,500
3,ROLL self-comparisons,sd300c,accepted,500
3,ROLL self-comparisons,sd300c,rejected,0
3,ROLL self-comparisons,sd300c,failures,0
3,ROLL self-comparisons,sd300c,removed,0
3,ROLL self-comparisons,sd300c,remaining,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,survivors,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,ground_truth_same_subject_same_finger,500
4,PLAIN-to-corresponding-ROLL record matching,sd300b,ground_truth_wrong,0
4,PLAIN-to-corresponding-ROLL record matching,sd300b,sift_classified_matching,284
4,PLAIN-to-corresponding-ROLL record matching,sd300b,sift_classified_non_matching,216
4,PLAIN-to-corresponding-ROLL record matching,sd300c,survivors,500
4,PLAIN-to-corresponding-ROLL record matching,sd300c,ground_truth_same_subject_same_finger,500
4,PLAIN-to-corresponding-ROLL record matching,sd300c,ground_truth_wrong,0
4,PLAIN-to-corresponding-ROLL record matching,sd300c,sift_classified_matching,271
4,PLAIN-to-corresponding-ROLL record matching,sd300c,sift_classified_non_matching,229
5,PLAIN versus corresponding ROLL,sd300b,total,500
5,PLAIN versus corresponding ROLL,sd300b,accepted,284
5,PLAIN versus corresponding ROLL,sd300b,rejected,216
5,PLAIN versus corresponding ROLL,sd300b,failures,0
5,PLAIN versus corresponding ROLL,sd300b,acceptance_percentage,56.8
5,PLAIN versus corresponding ROLL,sd300b,mean_comparison_time_ms,22.7717952
5,PLAIN versus corresponding ROLL,sd300c,total,500
5,PLAIN versus corresponding ROLL,sd300c,accepted,271
5,PLAIN versus corresponding ROLL,sd300c,rejected,229
5,PLAIN versus corresponding ROLL,sd300c,failures,0
5,PLAIN versus corresponding ROLL,sd300c,acceptance_percentage,54.2
5,PLAIN versus corresponding ROLL,sd300c,mean_comparison_time_ms,23.885775600000002
6,PLAIN versus next subject's ROLL,joint,pairing_method,"next surviving subject within the same canonical finger position, circular shift by one"
6,PLAIN versus next subject's ROLL,sd300b,total,500
6,PLAIN versus next subject's ROLL,sd300b,incorrectly_accepted,14
6,PLAIN versus next subject's ROLL,sd300b,correctly_rejected,486
6,PLAIN versus next subject's ROLL,sd300b,failures,0
6,PLAIN versus next subject's ROLL,sd300b,false_match_percentage,2.8
6,PLAIN versus next subject's ROLL,sd300b,mean_comparison_time_ms,23.119792399999998
6,PLAIN versus next subject's ROLL,sd300c,total,500
6,PLAIN versus next subject's ROLL,sd300c,incorrectly_accepted,15
6,PLAIN versus next subject's ROLL,sd300c,correctly_rejected,485
6,PLAIN versus next subject's ROLL,sd300c,failures,0
6,PLAIN versus next subject's ROLL,sd300c,false_match_percentage,3.0
6,PLAIN versus next subject's ROLL,sd300c,mean_comparison_time_ms,23.7859946
