negative_pair_id,dataset,protocol,pair_label,canonical_finger_position,subject_id_a,subject_id_b,ppi,path_a,path_b,raw_frgp_a,raw_frgp_b,source_plain_pair_id,source_roll_pair_id,plain_group_index,roll_group_index,shift
sd300c_plain_roll_next_subject_impostor_01_00001000_00001002,sd300c,plain_roll_next_subject_impostor,impostor,1,00001000,00001002,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001002_roll_2000_01.png,11,1,sd300c_plain_roll_00001000_01,sd300c_plain_roll_00001002_01,0,1,1
sd300c_plain_roll_next_subject_impostor_01_00001002_00001003,sd300c,plain_roll_next_subject_impostor,impostor,1,00001002,00001003,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001002_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_01.png,11,1,sd300c_plain_roll_00001002_01,sd300c_plain_roll_00001003_01,1,2,1
sd300c_plain_roll_next_subject_impostor_01_00001003_00001004,sd300c,plain_roll_next_subject_impostor,impostor,1,00001003,00001004,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001004_roll_2000_01.png,11,1,sd300c_plain_roll_00001003_01,sd300c_plain_roll_00001004_01,2,3,1
sd300c_plain_roll_next_subject_impostor_01_00001004_00001005,sd300c,plain_roll_next_subject_impostor,impostor,1,00001004,00001005,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001004_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_01.png,11,1,sd300c_plain_roll_00001004_01,sd300c_plain_roll_00001005_01,3,4,1
sd300c_plain_roll_next_subject_impostor_01_00001005_00001006,sd300c,plain_roll_next_subject_impostor,impostor,1,00001005,00001006,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001006_roll_2000_01.png,11,1,sd300c_plain_roll_00001005_01,sd300c_plain_roll_00001006_01,4,5,1
sd300c_plain_roll_next_subject_impostor_01_00001006_00001007,sd300c,plain_roll_next_subject_impostor,impostor,1,00001006,00001007,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001006_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001007_roll_2000_01.png,11,1,sd300c_plain_roll_00001006_01,sd300c_plain_roll_00001007_01,5,6,1
sd300c_plain_roll_next_subject_impostor_01_00001007_00001008,sd300c,plain_roll_next_subject_impostor,impostor,1,00001007,00001008,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001007_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001008_roll_2000_01.png,11,1,sd300c_plain_roll_00001007_01,sd300c_plain_roll_00001008_01,6,7,1
sd300c_plain_roll_next_subject_impostor_01_00001008_00001009,sd300c,plain_roll_next_subject_impostor,impostor,1,00001008,00001009,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001008_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001009_roll_2000_01.png,11,1,sd300c_plain_roll_00001008_01,sd300c_plain_roll_00001009_01,7,8,1
sd300c_plain_roll_next_subject_impostor_01_00001009_00001010,sd300c,plain_roll_next_subject_impostor,impostor,1,00001009,00001010,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001009_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001010_roll_2000_01.png,11,1,sd300c_plain_roll_00001009_01,sd300c_plain_roll_00001010_01,8,9,1
sd300c_plain_roll_next_subject_impostor_01_00001010_00001011,sd300c,plain_roll_next_subject_impostor,impostor,1,00001010,00001011,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001010_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001011_roll_2000_01.png,11,1,sd300c_plain_roll_00001010_01,sd300c_plain_roll_00001011_01,9,10,1
sd300c_plain_roll_next_subject_impostor_01_00001011_00001012,sd300c,plain_roll_next_subject_impostor,impostor,1,00001011,00001012,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001011_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001012_roll_2000_01.png,11,1,sd300c_plain_roll_00001011_01,sd300c_plain_roll_00001012_01,10,11,1
sd300c_plain_roll_next_subject_impostor_01_00001012_00001013,sd300c,plain_roll_next_subject_impostor,impostor,1,00001012,00001013,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001012_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001013_roll_2000_01.png,11,1,sd300c_plain_roll_00001012_01,sd300c_plain_roll_00001013_01,11,12,1
sd300c_plain_roll_next_subject_impostor_01_00001013_00001014,sd300c,plain_roll_next_subject_impostor,impostor,1,00001013,00001014,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001013_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001014_roll_2000_01.png,11,1,sd300c_plain_roll_00001013_01,sd300c_plain_roll_00001014_01,12,13,1
sd300c_plain_roll_next_subject_impostor_01_00001014_00001015,sd300c,plain_roll_next_subject_impostor,impostor,1,00001014,00001015,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001014_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001015_roll_2000_01.png,11,1,sd300c_plain_roll_00001014_01,sd300c_plain_roll_00001015_01,13,14,1
sd300c_plain_roll_next_subject_impostor_01_00001015_00001016,sd300c,plain_roll_next_subject_impostor,impostor,1,00001015,00001016,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001015_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001016_roll_2000_01.png,11,1,sd300c_plain_roll_00001015_01,sd300c_plain_roll_00001016_01,14,15,1
sd300c_plain_roll_next_subject_impostor_01_00001016_00001017,sd300c,plain_roll_next_subject_impostor,impostor,1,00001016,00001017,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001016_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001017_roll_2000_01.png,11,1,sd300c_plain_roll_00001016_01,sd300c_plain_roll_00001017_01,15,16,1
sd300c_plain_roll_next_subject_impostor_01_00001017_00001018,sd300c,plain_roll_next_subject_impostor,impostor,1,00001017,00001018,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001017_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001018_roll_2000_01.png,11,1,sd300c_plain_roll_00001017_01,sd300c_plain_roll_00001018_01,16,17,1
sd300c_plain_roll_next_subject_impostor_01_00001018_00001019,sd300c,plain_roll_next_subject_impostor,impostor,1,00001018,00001019,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001018_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001019_roll_2000_01.png,11,1,sd300c_plain_roll_00001018_01,sd300c_plain_roll_00001019_01,17,18,1
sd300c_plain_roll_next_subject_impostor_01_00001019_00001020,sd300c,plain_roll_next_subject_impostor,impostor,1,00001019,00001020,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001019_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001020_roll_2000_01.png,11,1,sd300c_plain_roll_00001019_01,sd300c_plain_roll_00001020_01,18,19,1
sd300c_plain_roll_next_subject_impostor_01_00001020_00001021,sd300c,plain_roll_next_subject_impostor,impostor,1,00001020,00001021,2000,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001020_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001021_roll_2000_01.png,11,1,sd300c_plain_roll_00001020_01,sd300c_plain_roll_00001021_01,19,20,1
