condition,dataset,role,pilot_pair_id,reference_pair_id,reference_kind,pilot_raw_score,reference_raw_score,raw_score_abs_delta,raw_score_equal,status_equal,error_code_equal,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,exact_reproducibility
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_01,sd300b_plain_self_00001000_01,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_02,sd300b_plain_self_00001000_02,canonical_primary_v2,198.64435184859735,198.64435184859735,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_03,sd300b_plain_self_00001000_03,canonical_primary_v2,326.8872815077707,326.8872815077707,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_04,sd300b_plain_self_00001000_04,canonical_primary_v2,303.57038520610286,303.57038520610286,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_05,sd300b_plain_self_00001000_05,canonical_primary_v2,653.3238293693438,653.3238293693438,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_06,sd300b_plain_self_00001000_06,canonical_primary_v2,1026.3941705578072,1026.3941705578072,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_07,sd300b_plain_self_00001000_07,canonical_primary_v2,408.496418201831,408.496418201831,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_08,sd300b_plain_self_00001000_08,canonical_primary_v2,315.2288333569368,315.2288333569368,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_09,sd300b_plain_self_00001000_09,canonical_primary_v2,513.4224519211136,513.4224519211136,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001000_10,sd300b_plain_self_00001000_10,canonical_primary_v2,793.225207179351,793.225207179351,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001001_02,sd300b_plain_self_00001001_02,canonical_primary_v2,1061.369515010309,1061.369515010309,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001001_03,sd300b_plain_self_00001001_03,canonical_primary_v2,723.2745182743473,723.2745182743473,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001001_04,sd300b_plain_self_00001001_04,canonical_primary_v2,863.1758960843549,863.1758960843549,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001001_05,sd300b_plain_self_00001001_05,canonical_primary_v2,501.7640037702798,501.7640037702798,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001001_07,sd300b_plain_self_00001001_07,canonical_primary_v2,839.8589997826866,839.8589997826866,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001001_08,sd300b_plain_self_00001001_08,canonical_primary_v2,781.5667590285171,781.5667590285171,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001001_09,sd300b_plain_self_00001001_09,canonical_primary_v2,641.6653812185099,641.6653812185099,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001001_10,sd300b_plain_self_00001001_10,canonical_primary_v2,385.1795219001631,385.1795219001631,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_01,sd300b_plain_self_00001002_01,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_02,sd300b_plain_self_00001002_02,canonical_primary_v2,303.57038520610286,303.57038520610286,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_03,sd300b_plain_self_00001002_03,canonical_primary_v2,560.0562438008951,560.0562438008951,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_04,sd300b_plain_self_00001002_04,canonical_primary_v2,221.96124815026528,221.96124815026528,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_05,sd300b_plain_self_00001002_05,canonical_primary_v2,291.9119366934916,291.9119366934916,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_06,sd300b_plain_self_00001002_06,canonical_primary_v2,723.2745182743473,723.2745182743473,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_07,sd300b_plain_self_00001002_07,canonical_primary_v2,455.1302108051667,455.1302108051667,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_08,sd300b_plain_self_00001002_08,canonical_primary_v2,478.44710710683466,478.44710710683466,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_09,sd300b_plain_self_00001002_09,canonical_primary_v2,571.7146919517289,571.7146919517289,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001002_10,sd300b_plain_self_00001002_10,canonical_primary_v2,385.1795219001631,385.1795219001631,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_01,sd300b_plain_self_00001003_01,canonical_primary_v2,1049.711066859475,1049.711066859475,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_02,sd300b_plain_self_00001003_02,canonical_primary_v2,350.20417780943853,350.20417780943853,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_03,sd300b_plain_self_00001003_03,canonical_primary_v2,699.9576219726795,699.9576219726795,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_04,sd300b_plain_self_00001003_04,canonical_primary_v2,583.37314046434,583.37314046434,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_05,sd300b_plain_self_00001003_05,canonical_primary_v2,676.6407256710116,676.6407256710116,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_06,sd300b_plain_self_00001003_06,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_07,sd300b_plain_self_00001003_07,canonical_primary_v2,385.1795219001631,385.1795219001631,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_08,sd300b_plain_self_00001003_08,canonical_primary_v2,560.0562438008951,560.0562438008951,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_09,sd300b_plain_self_00001003_09,canonical_primary_v2,653.3238293693438,653.3238293693438,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001003_10,sd300b_plain_self_00001003_10,canonical_primary_v2,525.0809000719476,525.0809000719476,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_01,sd300b_plain_self_00001004_01,canonical_primary_v2,1154.2463823054504,1154.2463823054504,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_02,sd300b_plain_self_00001004_02,canonical_primary_v2,431.81331450349893,431.81331450349893,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_03,sd300b_plain_self_00001004_03,canonical_primary_v2,548.3977963736156,548.3977963736156,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_04,sd300b_plain_self_00001004_04,canonical_primary_v2,478.44710710683466,478.44710710683466,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_05,sd300b_plain_self_00001004_05,canonical_primary_v2,350.20417780943853,350.20417780943853,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_06,sd300b_plain_self_00001004_06,canonical_primary_v2,1177.9539965186484,1177.9539965186484,0.0,true,true,true,true,true,true,true
sd300b/plain_self,sd300b,self,sd300b_plain_self_00001004_07,sd300b_plain_self_00001004_07,canonical_primary_v2,186.98590369776346,186.98590369776346,0.0,true,true,true,true,true,true,true
