pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,benchmark_contract_version,result_schema_version,config_hash,implementation_hash,manifest_sha256,score_direction,score_semantics,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,method_prepare_a_ms,method_prepare_b_ms,method_compare_ms,total_ms,prepare_a_diagnostics,prepare_b_diagnostics,compare_diagnostics,status,error_code,error_message
sd300b_plain_roll_00001000_01,sd300b,plain_roll,00001000,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,110.01934110762956,218.8333,274.0309,18.9705,201.201,247.5341,16.6247,511.9063,{},{},{},ok,,
sd300b_plain_roll_00001000_02,sd300b,plain_roll,00001000,2,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,57.36656979331658,47.7411,211.6976,4.5243,41.9108,192.1922,2.611,264.036,{},{},{},ok,,
sd300b_plain_roll_00001000_03,sd300b,plain_roll,00001000,3,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,83.32405743647807,42.5689,245.8179,5.77,37.446,220.1054,3.8641,294.2371,{},{},{},ok,,
sd300b_plain_roll_00001000_04,sd300b,plain_roll,00001000,4,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,38.36792507271839,47.5103,206.6531,3.3554,43.1628,186.0896,1.8132,257.5942,{},{},{},ok,,
sd300b_plain_roll_00001000_05,sd300b,plain_roll,00001000,5,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,5.649330144421114,57.0358,184.3381,5.6666,51.2148,165.1735,4.0286,247.1363,{},{},{},ok,,
sd300b_plain_roll_00001000_06,sd300b,plain_roll,00001000,6,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,71.41245985515198,137.3858,249.8024,11.6287,124.6359,226.3179,9.7627,398.8933,{},{},{},ok,,
sd300b_plain_roll_00001000_07,sd300b,plain_roll,00001000,7,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,43.581667023227666,58.9919,245.7489,3.6524,53.3629,225.764,2.5208,308.4555,{},{},{},ok,,
sd300b_plain_roll_00001000_08,sd300b,plain_roll,00001000,8,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,31.9153,222.3286,2.6103,28.6094,201.6575,1.5155,256.9266,{},{},{},ok,,
sd300b_plain_roll_00001000_09,sd300b,plain_roll,00001000,9,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,21.708974366931777,48.7794,191.2612,3.9502,44.9692,169.3985,2.6484,244.061,{},{},{},ok,,
sd300b_plain_roll_00001000_10,sd300b,plain_roll,00001000,10,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,88a9863087803997cb6b7fec03e8f4f17a815dca3e7e3f540c30cf45f2a73390,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,62.3831,201.0517,6.8775,44.7826,180.7526,5.4607,270.3821,{},{},{},ok,,
