pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,benchmark_contract_version,result_schema_version,config_hash,implementation_hash,manifest_sha256,score_direction,score_semantics,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,method_prepare_a_ms,method_prepare_b_ms,method_compare_ms,total_ms,prepare_a_diagnostics,prepare_b_diagnostics,compare_diagnostics,status,error_code,error_message
sd300b_plain_self_00001000_01,sd300b,plain_self,00001000,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,1177.9539965186484,231.3546,265.1448,28.6995,212.0795,244.071,26.2008,525.2676,{},{},{},ok,,
sd300b_plain_self_00001000_02,sd300b,plain_self,00001000,2,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,198.64435184859735,59.0083,48.1685,3.4996,48.2484,41.2512,1.8206,110.741,{},{},{},ok,,
sd300b_plain_self_00001000_03,sd300b,plain_self,00001000,3,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,326.8872815077707,29.6247,26.8849,4.3157,24.6269,23.1898,2.9213,60.9082,{},{},{},ok,,
sd300b_plain_self_00001000_04,sd300b,plain_self,00001000,4,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,303.57038520610286,34.7241,44.7306,3.4722,29.3238,39.6128,1.7864,82.9799,{},{},{},ok,,
sd300b_plain_self_00001000_05,sd300b,plain_self,00001000,5,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,653.3238293693438,49.4983,49.0781,6.1749,42.7085,43.2132,4.7308,104.8141,{},{},{},ok,,
sd300b_plain_self_00001000_06,sd300b,plain_self,00001000,6,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,1026.3941705578072,118.1319,120.7217,12.0344,103.54,107.7823,10.3149,250.9654,{},{},{},ok,,
sd300b_plain_self_00001000_07,sd300b,plain_self,00001000,7,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,408.496418201831,47.0413,46.7542,3.6218,40.1432,41.3476,2.4729,97.477,{},{},{},ok,,
sd300b_plain_self_00001000_08,sd300b,plain_self,00001000,8,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,315.2288333569368,28.247,28.529,2.593,23.9767,25.251,1.5708,59.4367,{},{},{},ok,,
sd300b_plain_self_00001000_09,sd300b,plain_self,00001000,9,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,513.4224519211136,38.993,38.8806,5.4455,33.5084,33.7663,3.8858,83.3828,{},{},{},ok,,
sd300b_plain_self_00001000_10,sd300b,plain_self,00001000,10,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b08f663f6018e7d212d9b8034cbf72597e27a69d491e805d8ec6bd894dc8c202,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,793.225207179351,50.7709,59.326,8.4472,44.9474,53.7216,6.8864,118.6078,{},{},{},ok,,
