pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,benchmark_contract_version,result_schema_version,config_hash,implementation_hash,manifest_sha256,score_direction,score_semantics,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,method_prepare_a_ms,method_prepare_b_ms,method_compare_ms,total_ms,prepare_a_diagnostics,prepare_b_diagnostics,compare_diagnostics,status,error_code,error_message
sd300c_plain_self_00001000_01,sd300c,plain_self,00001000,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,1107.797666607576,306.7944,296.6621,26.4984,252.934,246.9298,23.8524,630.0218,{},{},{},ok,,
sd300c_plain_self_00001000_02,sd300c,plain_self,00001000,2,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,221.96124815026528,132.2747,126.0586,3.7506,91.2961,90.7644,2.0484,262.1451,{},{},{},ok,,
sd300c_plain_self_00001000_03,sd300c,plain_self,00001000,3,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,326.8872815077707,85.6536,65.6068,5.3725,71.2345,52.9321,3.6524,156.6934,{},{},{},ok,,
sd300c_plain_self_00001000_04,sd300c,plain_self,00001000,4,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,315.2288333569368,79.6695,83.8611,3.4707,62.581,69,1.7326,167.0616,{},{},{},ok,,
sd300c_plain_self_00001000_05,sd300c,plain_self,00001000,5,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,630.006933067676,115.5884,105.6284,6.8701,85.5282,86.4253,5.1959,228.1671,{},{},{},ok,,
sd300c_plain_self_00001000_06,sd300c,plain_self,00001000,6,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,944.7850331401922,275.22,268.8866,11.1655,217.0943,220.2732,9.421,555.358,{},{},{},ok,,
sd300c_plain_self_00001000_07,sd300c,plain_self,00001000,7,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,396.8379700509971,115.0838,101.8846,4.0798,84.5813,83.2651,2.7547,221.1656,{},{},{},ok,,
sd300c_plain_self_00001000_08,sd300c,plain_self,00001000,8,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,338.5457296586046,52.1161,48.1339,2.8133,41.0577,39.6929,1.6295,103.1292,{},{},{},ok,,
sd300c_plain_self_00001000_09,sd300c,plain_self,00001000,9,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,431.81331450349893,71.2591,74.2995,3.8603,56.239,61.6381,2.5827,149.4911,{},{},{},ok,,
sd300c_plain_self_00001000_10,sd300c,plain_self,00001000,10,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,4bdd7485759425135b71461f136bd4f285e046ab68db55f9b2af3bd1f0ffc30d,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,804.8836553301849,127.3052,107.3001,8.0026,85.7169,89.2687,6.8173,242.6797,{},{},{},ok,,
