dataset,protocol,pair_id,subject_id,canonical_finger_position,strata,primary_status,rerun_status,status_equal,primary_error_code,rerun_error_code,error_code_equal,primary_raw_score,rerun_raw_score,raw_score_text_equal,raw_score_abs_delta,raw_score_within_tolerance,prepare_a_diagnostics_equal,prepare_b_diagnostics_equal,compare_diagnostics_equal,primary_method_compare_ms,rerun_method_compare_ms,primary_compare_ms,rerun_compare_ms,primary_total_ms,rerun_total_ms,reproducible
sd300b,plain_self,sd300b_plain_self_00001001_10,00001001,10,deterministic_positive_sample,ok,ok,true,,,true,385.1795219001631,385.1795219001631,true,0.0,true,true,true,true,2.3307,7.7654,3.2937,9.1587,99.6746,145.7416,true
sd300b,plain_self,sd300b_plain_self_00001004_10,00001004,10,deterministic_positive_sample,ok,ok,true,,,true,233.61969630109917,233.61969630109917,true,0.0,true,true,true,true,1.0094,3.3036,1.7794,4.6896,81.9262,96.0917,true
sd300b,plain_self,sd300b_plain_self_00001006_08,00001006,8,deterministic_positive_sample,ok,ok,true,,,true,455.1302108051667,455.1302108051667,true,0.0,true,true,true,true,3.3211,5.7631,4.094,7.218,108.3083,137.957,true
sd300b,plain_self,sd300b_plain_self_00001016_09,00001016,9,deterministic_positive_sample,ok,ok,true,,,true,408.496418201831,408.496418201831,true,0.0,true,true,true,true,2.6215,4.3552,3.224,5.6953,110.8142,136.3667,true
sd300b,plain_self,sd300b_plain_self_00001019_01,00001019,1,low_positive_both_resolutions,ok,ok,true,,,true,54.38764445112881,54.38764445112881,true,0.0,true,true,true,true,0.1948,0.8539,0.6867,1.8671,184.4287,218.7561,true
sd300b,plain_self,sd300b_plain_self_00001019_04,00001019,4,low_positive_both_resolutions,ok,ok,true,,,true,41.88229363871244,41.88229363871244,true,0.0,true,true,true,true,0.2086,0.423,0.7069,1.5584,68.1584,81.7522,true
sd300b,plain_self,sd300b_plain_self_00001019_05,00001019,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.112,0.2463,0.5234,1.0319,61.9806,71.0513,true
sd300b,plain_self,sd300b_plain_self_00001019_07,00001019,7,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0738,0.2617,0.5423,1.213,85.6759,93.8353,true
sd300b,plain_self,sd300b_plain_self_00001019_10,00001019,10,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0652,0.1803,0.5333,1.1171,59.1173,64.5084,true
sd300b,plain_self,sd300b_plain_self_00001021_05,00001021,5,self_zero_both_resolutions,ok,ok,true,,,true,0.0,0.0,true,0.0,true,true,true,true,0.0549,0.2012,0.5475,1.0075,59.6012,61.6503,true
