pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_plain_roll_00001000_08,sd300b,plain_roll,00001000,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_08.png
sd300b_plain_roll_00001000_10,sd300b,plain_roll,00001000,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_10.png
sd300b_plain_roll_00001001_05,sd300b,plain_roll,00001001,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_05.png
sd300b_plain_roll_00001004_09,sd300b,plain_roll,00001004,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_09.png
sd300b_plain_roll_00001005_01,sd300b,plain_roll,00001005,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001005_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001005_roll_1000_01.png
sd300b_plain_roll_00001007_10,sd300b,plain_roll,00001007,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001007_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001007_roll_1000_10.png
sd300b_plain_roll_00001010_02,sd300b,plain_roll,00001010,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001010_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001010_roll_1000_02.png
sd300b_plain_roll_00001010_06,sd300b,plain_roll,00001010,6,1000,12,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001010_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001010_roll_1000_06.png
sd300b_plain_roll_00001010_10,sd300b,plain_roll,00001010,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001010_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001010_roll_1000_10.png
sd300b_plain_roll_00001013_05,sd300b,plain_roll,00001013,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001013_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001013_roll_1000_05.png
sd300b_plain_roll_00001015_02,sd300b,plain_roll,00001015,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001015_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_02.png
sd300b_plain_roll_00001015_04,sd300b,plain_roll,00001015,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001015_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_04.png
sd300b_plain_roll_00001015_07,sd300b,plain_roll,00001015,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001015_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001015_roll_1000_07.png
sd300b_plain_roll_00001018_01,sd300b,plain_roll,00001018,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001018_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001018_roll_1000_01.png
sd300b_plain_roll_00001018_02,sd300b,plain_roll,00001018,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001018_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001018_roll_1000_02.png
sd300b_plain_roll_00001019_01,sd300b,plain_roll,00001019,1,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_01.png
