pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_plain_self_00001001_10,sd300b,plain_self,00001001,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_10.png
sd300b_plain_self_00001004_10,sd300b,plain_self,00001004,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_10.png
sd300b_plain_self_00001006_08,sd300b,plain_self,00001006,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001006_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001006_plain_1000_08.png
sd300b_plain_self_00001016_09,sd300b,plain_self,00001016,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001016_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001016_plain_1000_09.png
sd300b_plain_self_00001019_01,sd300b,plain_self,00001019,1,1000,11,11,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_11.png
sd300b_plain_self_00001019_04,sd300b,plain_self,00001019,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_04.png
sd300b_plain_self_00001019_05,sd300b,plain_self,00001019,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_05.png
sd300b_plain_self_00001019_07,sd300b,plain_self,00001019,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_07.png
sd300b_plain_self_00001019_10,sd300b,plain_self,00001019,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001019_plain_1000_10.png
sd300b_plain_self_00001021_05,sd300b,plain_self,00001021,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001021_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001021_plain_1000_05.png
