pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300b_roll_self_00001002_06,sd300b,roll_self,00001002,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_06.png
sd300b_roll_self_00001002_09,sd300b,roll_self,00001002,9,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_09.png
sd300b_roll_self_00001019_05,sd300b,roll_self,00001019,5,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_05.png
sd300b_roll_self_00001019_08,sd300b,roll_self,00001019,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_08.png
sd300b_roll_self_00001019_10,sd300b,roll_self,00001019,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001019_roll_1000_10.png
sd300b_roll_self_00001024_08,sd300b,roll_self,00001024,8,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001024_roll_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001024_roll_1000_08.png
sd300b_roll_self_00001034_04,sd300b,roll_self,00001034,4,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001034_roll_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001034_roll_1000_04.png
sd300b_roll_self_00001052_07,sd300b,roll_self,00001052,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001052_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001052_roll_1000_07.png
sd300b_roll_self_00001054_03,sd300b,roll_self,00001054,3,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001054_roll_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001054_roll_1000_03.png
sd300b_roll_self_00001063_07,sd300b,roll_self,00001063,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001063_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001063_roll_1000_07.png
sd300b_roll_self_00001080_02,sd300b,roll_self,00001080,2,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001080_roll_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001080_roll_1000_02.png
sd300b_roll_self_00001081_10,sd300b,roll_self,00001081,10,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001081_roll_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001081_roll_1000_10.png
sd300b_roll_self_00001085_06,sd300b,roll_self,00001085,6,1000,6,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001085_roll_1000_06.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001085_roll_1000_06.png
sd300b_roll_self_00001085_07,sd300b,roll_self,00001085,7,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001085_roll_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001085_roll_1000_07.png
