pair_id,dataset,protocol,subject_id,canonical_finger_position,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b
sd300c_plain_roll_00001000_08,sd300c,plain_roll,00001000,8,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001000_roll_2000_08.png
sd300c_plain_roll_00001000_10,sd300c,plain_roll,00001000,10,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001000_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001000_roll_2000_10.png
sd300c_plain_roll_00001001_05,sd300c,plain_roll,00001001,5,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001001_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001001_roll_2000_05.png
sd300c_plain_roll_00001004_09,sd300c,plain_roll,00001004,9,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001004_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001004_roll_2000_09.png
sd300c_plain_roll_00001005_01,sd300c,plain_roll,00001005,1,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_01.png
sd300c_plain_roll_00001007_10,sd300c,plain_roll,00001007,10,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001007_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001007_roll_2000_10.png
sd300c_plain_roll_00001010_02,sd300c,plain_roll,00001010,2,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001010_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001010_roll_2000_02.png
sd300c_plain_roll_00001010_06,sd300c,plain_roll,00001010,6,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001010_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001010_roll_2000_06.png
sd300c_plain_roll_00001010_10,sd300c,plain_roll,00001010,10,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001010_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001010_roll_2000_10.png
sd300c_plain_roll_00001013_05,sd300c,plain_roll,00001013,5,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001013_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001013_roll_2000_05.png
sd300c_plain_roll_00001015_02,sd300c,plain_roll,00001015,2,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001015_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001015_roll_2000_02.png
