protocol,subject_id,canonical_finger_position,strata,sd300b_pair_id,sd300c_pair_id,sd300b_primary_raw_score,sd300c_primary_raw_score
plain_self,00001001,10,deterministic_positive_sample,sd300b_plain_self_00001001_10,sd300c_plain_self_00001001_10,385.1795219001631,373.5210741111065
plain_self,00001004,10,deterministic_positive_sample,sd300b_plain_self_00001004_10,sd300c_plain_self_00001004_10,233.61969630109917,233.61969630109917
plain_self,00001006,8,deterministic_positive_sample,sd300b_plain_self_00001006_08,sd300c_plain_self_00001006_08,455.1302108051667,408.496418201831
plain_self,00001016,9,deterministic_positive_sample,sd300b_plain_self_00001016_09,sd300c_plain_self_00001016_09,408.496418201831,385.1795219001631
plain_self,00001019,1,low_positive_both_resolutions,sd300b_plain_self_00001019_01,sd300c_plain_self_00001019_01,54.38764445112881,128.69366294359375
plain_self,00001019,4,low_positive_both_resolutions,sd300b_plain_self_00001019_04,sd300c_plain_self_00001019_04,41.88229363871244,54.38764445112881
plain_self,00001019,5,self_zero_both_resolutions,sd300b_plain_self_00001019_05,sd300c_plain_self_00001019_05,0.0,0.0
plain_self,00001019,7,self_zero_both_resolutions,sd300b_plain_self_00001019_07,sd300c_plain_self_00001019_07,0.0,0.0
plain_self,00001019,10,self_zero_both_resolutions,sd300b_plain_self_00001019_10,sd300c_plain_self_00001019_10,0.0,0.0
plain_self,00001021,5,self_zero_both_resolutions,sd300b_plain_self_00001021_05,sd300c_plain_self_00001021_05,0.0,0.0
plain_self,00001027,4,deterministic_positive_sample,sd300b_plain_self_00001027_04,sd300c_plain_self_00001027_04,560.0562438008951,560.0562438008951
plain_self,00001030,10,deterministic_positive_sample,sd300b_plain_self_00001030_10,sd300c_plain_self_00001030_10,606.690036766008,571.7146919517289
plain_self,00001040,2,self_zero_both_resolutions,sd300b_plain_self_00001040_02,sd300c_plain_self_00001040_02,0.0,0.0
plain_self,00001040,6,deterministic_positive_sample,sd300b_plain_self_00001040_06,sd300c_plain_self_00001040_06,851.5174479335209,699.9576219726795
plain_self,00001044,2,self_zero_sd300b_only,sd300b_plain_self_00001044_02,sd300c_plain_self_00001044_02,0.0,16.586865026205977
plain_self,00001044,9,self_zero_sd300b_only,sd300b_plain_self_00001044_09,sd300c_plain_self_00001044_09,0.0,16.586865026205977
plain_self,00001047,2,low_positive_both_resolutions,sd300b_plain_self_00001047_02,sd300c_plain_self_00001047_02,31.89454412241004,41.88229363871244
plain_self,00001050,7,low_positive_both_resolutions,sd300b_plain_self_00001050_07,sd300c_plain_self_00001050_07,23.165117663467225,16.586865026205977
plain_self,00001050,8,self_zero_sd300b_only,sd300b_plain_self_00001050_08,sd300c_plain_self_00001050_08,0.0,16.586865026205977
plain_self,00001050,9,low_positive_both_resolutions,sd300b_plain_self_00001050_09,sd300c_plain_self_00001050_09,54.38764445112881,23.165117663467225
plain_self,00001052,4,low_positive_both_resolutions,sd300b_plain_self_00001052_04,sd300c_plain_self_00001052_04,16.586865026205977,31.89454412241004
plain_self,00001054,7,self_zero_both_resolutions,sd300b_plain_self_00001054_07,sd300c_plain_self_00001054_07,0.0,0.0
plain_self,00001059,1,low_positive_both_resolutions,sd300b_plain_self_00001059_01,sd300c_plain_self_00001059_01,41.88229363871244,16.586865026205977
plain_self,00001059,6,self_zero_both_resolutions,sd300b_plain_self_00001059_06,sd300c_plain_self_00001059_06,0.0,0.0
plain_self,00001061,5,deterministic_positive_sample,sd300b_plain_self_00001061_05,sd300c_plain_self_00001061_05,431.81331450349893,420.1548663526649
plain_self,00001063,4,self_zero_both_resolutions,sd300b_plain_self_00001063_04,sd300c_plain_self_00001063_04,0.0,0.0
