pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300b_plain_roll_00001000_01,sd300b,plain_roll,00001000,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,110.019341,735.1274,484.6636,82.6566,1302.4689,ok,,
sd300b_plain_roll_00001000_02,sd300b,plain_roll,00001000,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,57.3665698,72.7717,301.0105,4.1886,377.9879,ok,,
sd300b_plain_roll_00001000_03,sd300b,plain_roll,00001000,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,83.3240574,38.0502,267.4577,4.9327,310.4592,ok,,
sd300b_plain_roll_00001000_04,sd300b,plain_roll,00001000,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,38.3679251,45.6382,265.5984,5.1021,316.3539,ok,,
sd300b_plain_roll_00001000_05,sd300b,plain_roll,00001000,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,5.64933014,57.0876,210.7675,9.1423,277.024,ok,,
sd300b_plain_roll_00001000_06,sd300b,plain_roll,00001000,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,71.4124599,131.9123,254.1251,11.6562,397.7085,ok,,
sd300b_plain_roll_00001000_07,sd300b,plain_roll,00001000,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,43.581667,51.4684,224.6965,3.2282,279.4085,ok,,
sd300b_plain_roll_00001000_08,sd300b,plain_roll,00001000,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,0,30.5438,234.1612,2.5214,267.2445,ok,,
sd300b_plain_roll_00001000_09,sd300b,plain_roll,00001000,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,21.7089744,42.4813,215.5256,4.2673,262.2897,ok,,
sd300b_plain_roll_00001000_10,sd300b,plain_roll,00001000,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,0,54.5962,224.964,7.5907,287.1661,ok,,
sd300b_plain_roll_00001001_02,sd300b,plain_roll,00001001,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,56.1250044,86.0221,245.9386,12.3269,344.3048,ok,,
sd300b_plain_roll_00001001_03,sd300b,plain_roll,00001001,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,3.32644202,82.4911,219.5824,6.4023,308.4913,ok,,
sd300b_plain_roll_00001001_04,sd300b,plain_roll,00001001,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,230.793745,86.7342,215.4276,9.0632,311.2407,ok,,
sd300b_plain_roll_00001001_05,sd300b,plain_roll,00001001,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,70.8198034,52.1964,207.9805,4.9088,265.1029,ok,,
sd300b_plain_roll_00001001_07,sd300b,plain_roll,00001001,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,117.019849,84.8333,210.8121,8.663,304.3234,ok,,
sd300b_plain_roll_00001001_08,sd300b,plain_roll,00001001,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,185.732175,82.2522,241.875,7.1948,331.3368,ok,,
sd300b_plain_roll_00001001_09,sd300b,plain_roll,00001001,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,204.652001,78.8223,230.7818,6.603,316.2305,ok,,
sd300b_plain_roll_00001001_10,sd300b,plain_roll,00001001,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,94.6252388,49.1965,200.4491,2.9925,252.6522,ok,,
sd300b_plain_roll_00001002_01,sd300b,plain_roll,00001002,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,43.5146357,169.1803,186.1277,17.6898,373.0141,ok,,
sd300b_plain_roll_00001002_02,sd300b,plain_roll,00001002,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,104.576008,74.204,182.6598,2.2932,259.1725,ok,,
sd300b_plain_roll_00001002_03,sd300b,plain_roll,00001002,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,55.5799209,69.4702,207.118,4.4067,281.0115,ok,,
sd300b_plain_roll_00001002_04,sd300b,plain_roll,00001002,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,70.6758445,50.2459,184.2801,1.6673,236.208,ok,,
sd300b_plain_roll_00001002_05,sd300b,plain_roll,00001002,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,103.857114,54.1339,155.5385,2.2982,211.9842,ok,,
sd300b_plain_roll_00001002_06,sd300b,plain_roll,00001002,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,210.722499,133.7207,187.3302,6.4486,327.5311,ok,,
sd300b_plain_roll_00001002_07,sd300b,plain_roll,00001002,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,20.3968542,69.2805,175.8088,2.9792,248.0838,ok,,
sd300b_plain_roll_00001002_08,sd300b,plain_roll,00001002,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,136.564616,71.9114,181.0222,3.521,256.4686,ok,,
sd300b_plain_roll_00001002_09,sd300b,plain_roll,00001002,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,0.955448343,93.7901,166.6866,3.9356,264.4271,ok,,
sd300b_plain_roll_00001002_10,sd300b,plain_roll,00001002,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,96.8002684,69.3103,143.514,2.8306,215.6682,ok,,
sd300b_plain_roll_00001003_01,sd300b,plain_roll,00001003,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,143.45638,110.5424,254.0297,12.0834,376.6702,ok,,
sd300b_plain_roll_00001003_02,sd300b,plain_roll,00001003,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,11.6930348,45.7034,276.7234,2.6286,325.0691,ok,,
sd300b_plain_roll_00001003_03,sd300b,plain_roll,00001003,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,85.0496098,57.6563,298.777,5.93,362.3806,ok,,
sd300b_plain_roll_00001003_04,sd300b,plain_roll,00001003,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,37.4504677,49.0917,260.5343,4.4133,314.0538,ok,,
sd300b_plain_roll_00001003_05,sd300b,plain_roll,00001003,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,117.48363,56.9428,222.9525,5.3564,285.2662,ok,,
sd300b_plain_roll_00001003_06,sd300b,plain_roll,00001003,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,122.334235,133.17,243.0408,14.2844,390.5102,ok,,
sd300b_plain_roll_00001003_07,sd300b,plain_roll,00001003,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,44.6936461,45.8259,245.8227,2.6956,294.3581,ok,,
sd300b_plain_roll_00001003_08,sd300b,plain_roll,00001003,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,36.2977807,39.5613,280.1005,3.8646,323.54,ok,,
sd300b_plain_roll_00001003_09,sd300b,plain_roll,00001003,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,35.7428027,58.5017,245.7344,4.7972,309.0475,ok,,
sd300b_plain_roll_00001003_10,sd300b,plain_roll,00001003,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,7.20779866,41.2426,218.4158,3.5828,263.2588,ok,,
sd300b_plain_roll_00001004_01,sd300b,plain_roll,00001004,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,135.467037,172.2775,233.748,14.9182,420.9592,ok,,
sd300b_plain_roll_00001004_02,sd300b,plain_roll,00001004,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,113.428353,49.0015,223.6018,2.9082,275.5261,ok,,
sd300b_plain_roll_00001004_03,sd300b,plain_roll,00001004,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,84.3087838,58.5138,253.936,4.0829,316.5476,ok,,
sd300b_plain_roll_00001004_04,sd300b,plain_roll,00001004,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,62.5884409,48.6137,217.6346,3.8016,270.0634,ok,,
sd300b_plain_roll_00001004_05,sd300b,plain_roll,00001004,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,364a3f08998c501eca69fb4ebb54809645a1429791b1a71e5b1b20c52b6c8551,87.62066,46.0936,211.6835,2.3557,260.1463,ok,,
