pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300b_plain_self_00001000_01,sd300b,plain_self,00001000,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,1177.954,230.7681,239.8084,26.0272,496.6293,ok,,
sd300b_plain_self_00001000_02,sd300b,plain_self,00001000,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,198.644352,61.2547,68.7671,1.9882,132.0267,ok,,
sd300b_plain_self_00001000_03,sd300b,plain_self,00001000,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,326.887282,37.5285,37.1269,3.124,77.8004,ok,,
sd300b_plain_self_00001000_04,sd300b,plain_self,00001000,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,303.570385,48.2804,47.1401,2.8771,98.3148,ok,,
sd300b_plain_self_00001000_05,sd300b,plain_self,00001000,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,653.323829,64.1267,63.9621,7.7332,135.8389,ok,,
sd300b_plain_self_00001000_06,sd300b,plain_self,00001000,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,1026.39417,145.3119,134.7153,15.707,295.7538,ok,,
sd300b_plain_self_00001000_07,sd300b,plain_self,00001000,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,408.496418,59.1172,56.2575,3.7496,119.142,ok,,
sd300b_plain_self_00001000_08,sd300b,plain_self,00001000,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,315.228833,31.795,32.0131,2.6382,66.4626,ok,,
sd300b_plain_self_00001000_09,sd300b,plain_self,00001000,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,513.422452,44.5968,42.2749,5.104,91.9921,ok,,
sd300b_plain_self_00001000_10,sd300b,plain_self,00001000,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,793.225207,57.203,55.136,8.0981,120.453,ok,,
sd300b_plain_self_00001001_02,sd300b,plain_self,00001001,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,1061.36952,87.2209,96.6895,13.693,197.6195,ok,,
sd300b_plain_self_00001001_03,sd300b,plain_self,00001001,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,723.274518,86.5149,83.7397,7.5704,177.844,ok,,
sd300b_plain_self_00001001_04,sd300b,plain_self,00001001,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,863.175896,95.8843,98.6709,10.3218,204.9031,ok,,
sd300b_plain_self_00001001_05,sd300b,plain_self,00001001,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,501.764004,55.0057,56.185,4.9201,116.1266,ok,,
sd300b_plain_self_00001001_07,sd300b,plain_self,00001001,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,839.859,87.0446,86.7225,10.4199,184.2055,ok,,
sd300b_plain_self_00001001_08,sd300b,plain_self,00001001,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,781.566759,97.2732,91.2694,10.521,199.0855,ok,,
sd300b_plain_self_00001001_09,sd300b,plain_self,00001001,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,641.665381,90.1166,83.255,5.9662,179.3559,ok,,
sd300b_plain_self_00001001_10,sd300b,plain_self,00001001,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,385.179522,50.5106,48.9453,3.1403,102.6143,ok,,
sd300b_plain_self_00001002_01,sd300b,plain_self,00001002,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,1177.954,176.702,182.108,23.8592,382.6864,ok,,
sd300b_plain_self_00001002_02,sd300b,plain_self,00001002,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,303.570385,74.874,75.0224,2.4459,152.3627,ok,,
sd300b_plain_self_00001002_03,sd300b,plain_self,00001002,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,560.056244,86.1582,75.01,5.538,166.7271,ok,,
sd300b_plain_self_00001002_04,sd300b,plain_self,00001002,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,221.961248,55.9572,53.1177,1.5243,110.6159,ok,,
sd300b_plain_self_00001002_05,sd300b,plain_self,00001002,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,291.911937,58.4565,57.4513,2.3238,118.2463,ok,,
sd300b_plain_self_00001002_06,sd300b,plain_self,00001002,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,723.274518,135.865,135.7941,8.6897,280.3651,ok,,
sd300b_plain_self_00001002_07,sd300b,plain_self,00001002,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,455.130211,75.3401,76.053,4.1248,155.5352,ok,,
sd300b_plain_self_00001002_08,sd300b,plain_self,00001002,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,478.447107,76.8017,99.2467,4.5624,180.6271,ok,,
sd300b_plain_self_00001002_09,sd300b,plain_self,00001002,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,571.714692,78.2033,76.5975,6.2737,161.0928,ok,,
sd300b_plain_self_00001002_10,sd300b,plain_self,00001002,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,385.179522,72.4327,74.0357,3.3526,149.8381,ok,,
sd300b_plain_self_00001003_01,sd300b,plain_self,00001003,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,1049.71107,123.8899,115.1154,14.5418,253.5662,ok,,
sd300b_plain_self_00001003_02,sd300b,plain_self,00001003,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,350.204178,48.5067,50.2521,2.8543,101.6289,ok,,
sd300b_plain_self_00001003_03,sd300b,plain_self,00001003,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,699.957622,61.7461,60.9826,7.6499,130.3958,ok,,
sd300b_plain_self_00001003_04,sd300b,plain_self,00001003,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,583.37314,59.0289,51.4798,6.3829,116.9086,ok,,
sd300b_plain_self_00001003_05,sd300b,plain_self,00001003,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,676.640726,58.4044,55.7615,6.8646,121.0464,ok,,
sd300b_plain_self_00001003_06,sd300b,plain_self,00001003,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,982f8e8204893e787c8debff5b8d281e3c22da15faad0a469e894f3d656a69eb,1177.954,142.4747,143.6824,17.5577,303.7317,ok,,
