pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300b_roll_self_00001000_01,sd300b,roll_self,00001000,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1177.954,230.5577,229.5426,20.8118,480.9294,ok,,
sd300b_roll_self_00001000_02,sd300b,roll_self,00001000,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1118.68496,213.6262,215.468,17.385,446.4948,ok,,
sd300b_roll_self_00001000_03,sd300b,roll_self,00001000,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1177.954,227.3198,224.9847,18.505,470.8298,ok,,
sd300b_roll_self_00001000_04,sd300b,roll_self,00001000,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1177.954,239.9413,238.5945,17.7913,496.3426,ok,,
sd300b_roll_self_00001000_05,sd300b,roll_self,00001000,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1177.954,205.8244,206.6214,16.4546,428.9151,ok,,
sd300b_roll_self_00001000_06,sd300b,roll_self,00001000,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1177.954,257.7475,248.3006,18.2039,524.2673,ok,,
sd300b_roll_self_00001000_07,sd300b,roll_self,00001000,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1177.954,220.762,220.9203,17.8418,459.5401,ok,,
sd300b_roll_self_00001000_08,sd300b,roll_self,00001000,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1177.954,234.6488,239.4927,18.086,492.2469,ok,,
sd300b_roll_self_00001000_09,sd300b,roll_self,00001000,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1177.954,215.442,226.9573,17.1555,459.5762,ok,,
sd300b_roll_self_00001000_10,sd300b,roll_self,00001000,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,6f227b44b4870f93b35b3791c992f3f4e6fc52d60a4be7f21fe107fed20d9cc6,1106.83115,220.6383,219.0674,17.1948,456.916,ok,,
