pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_plain_roll_00001000_01,sd300c,plain_roll,00001000,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,135.022886,300.9291,486.5392,12.4286,799.9121,ok,,
sd300c_plain_roll_00001000_02,sd300c,plain_roll,00001000,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,48.1729156,96.5729,446.9261,1.615,545.1322,ok,,
sd300c_plain_roll_00001000_03,sd300c,plain_roll,00001000,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,69.0382498,61.0921,510.8203,1.6681,573.5942,ok,,
sd300c_plain_roll_00001000_04,sd300c,plain_roll,00001000,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,57.0575762,93.7586,480.2186,1.6269,575.619,ok,,
sd300c_plain_roll_00001000_05,sd300c,plain_roll,00001000,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,4.24250114,103.051,462.6264,4.7062,570.4014,ok,,
sd300c_plain_roll_00001000_06,sd300c,plain_roll,00001000,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,106.020822,303.2932,518.3945,8.7242,830.4347,ok,,
sd300c_plain_roll_00001000_07,sd300c,plain_roll,00001000,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,46.5887953,118.8014,483.6678,2.2957,604.7863,ok,,
sd300c_plain_roll_00001000_08,sd300c,plain_roll,00001000,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,1.16557823,57.2693,479.1568,1.693,538.1401,ok,,
sd300c_plain_roll_00001000_09,sd300c,plain_roll,00001000,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,33.8161656,79.5092,443.4811,2.28,525.2863,ok,,
sd300c_plain_roll_00001000_10,sd300c,plain_roll,00001000,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,0.356860668,105.1515,487.3652,6.0262,598.5643,ok,,
sd300c_plain_roll_00001001_02,sd300c,plain_roll,00001001,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,65.1190655,168.8288,501.3839,11.5089,681.7403,ok,,
sd300c_plain_roll_00001001_03,sd300c,plain_roll,00001001,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,63.5438752,164.0238,482.8886,6.1134,653.0447,ok,,
sd300c_plain_roll_00001001_04,sd300c,plain_roll,00001001,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,222.383285,179.6272,479.5213,7.9375,667.104,ok,,
sd300c_plain_roll_00001001_05,sd300c,plain_roll,00001001,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,65.4611129,132.5005,470.865,3.5165,606.9005,ok,,
sd300c_plain_roll_00001001_07,sd300c,plain_roll,00001001,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,156.611815,165.1091,475.9028,6.7049,647.7363,ok,,
sd300c_plain_roll_00001001_08,sd300c,plain_roll,00001001,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,201.926154,203.7907,509.9119,5.8808,719.6007,ok,,
sd300c_plain_roll_00001001_09,sd300c,plain_roll,00001001,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,183.73758,167.7076,480.1457,5.1659,653.0355,ok,,
sd300c_plain_roll_00001001_10,sd300c,plain_roll,00001001,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,94.1123025,97.4055,453.5457,2.1181,553.0853,ok,,
sd300c_plain_roll_00001002_01,sd300c,plain_roll,00001002,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,0.595877134,314.2872,425.8397,7.3782,747.5247,ok,,
sd300c_plain_roll_00001002_02,sd300c,plain_roll,00001002,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,121.144951,154.5969,422.7985,1.5038,578.9187,ok,,
sd300c_plain_roll_00001002_03,sd300c,plain_roll,00001002,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,61.4397061,137.7751,452.5822,3.4401,593.8155,ok,,
sd300c_plain_roll_00001002_04,sd300c,plain_roll,00001002,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,74.2799503,100.4603,448.1636,1.0035,549.6426,ok,,
sd300c_plain_roll_00001002_05,sd300c,plain_roll,00001002,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,157.879183,123.7877,413.6298,1.6598,539.0905,ok,,
sd300c_plain_roll_00001002_06,sd300c,plain_roll,00001002,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,196.237358,294.1048,437.8641,4.4599,736.453,ok,,
sd300c_plain_roll_00001002_07,sd300c,plain_roll,00001002,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,50.5895538,156.4852,414.6465,2.3817,573.5305,ok,,
sd300c_plain_roll_00001002_08,sd300c,plain_roll,00001002,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,117.937035,149.7007,430.2248,2.8079,582.7499,ok,,
sd300c_plain_roll_00001002_09,sd300c,plain_roll,00001002,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,1.71748115,139.3662,419.8771,2.5967,561.8542,ok,,
sd300c_plain_roll_00001002_10,sd300c,plain_roll,00001002,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,163.028726,141.2675,368.4153,2.1532,511.8498,ok,,
sd300c_plain_roll_00001003_01,sd300c,plain_roll,00001003,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,151.838157,235.7225,548.7301,7.4967,791.9708,ok,,
sd300c_plain_roll_00001003_02,sd300c,plain_roll,00001003,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,42b157f7a741f9c0cd0810df5384ca0edd29323cbb6a0f2d0034683012cd5044,2.06031508,94.8333,567.5171,1.6854,664.0514,ok,,
