pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_plain_self_00001000_01,sd300c,plain_self,00001000,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,1107.79767,281.6618,281.5816,14.7981,578.0562,ok,,
sd300c_plain_self_00001000_02,sd300c,plain_self,00001000,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,221.961248,91.4176,93.4324,1.1422,186.0061,ok,,
sd300c_plain_self_00001000_03,sd300c,plain_self,00001000,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,326.887282,58.1186,59.4473,2.2434,119.8223,ok,,
sd300c_plain_self_00001000_04,sd300c,plain_self,00001000,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,315.228833,74.0238,71.2255,1.9115,147.1743,ok,,
sd300c_plain_self_00001000_05,sd300c,plain_self,00001000,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,630.006933,104.9064,100.8902,5.1528,210.9634,ok,,
sd300c_plain_self_00001000_06,sd300c,plain_self,00001000,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,944.785033,271.8617,271.9459,10.5867,554.4087,ok,,
sd300c_plain_self_00001000_07,sd300c,plain_self,00001000,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,396.83797,102.7939,103.7262,2.9063,209.4409,ok,,
sd300c_plain_self_00001000_08,sd300c,plain_self,00001000,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,338.54573,57.0653,54.2351,2.1564,113.4703,ok,,
sd300c_plain_self_00001000_09,sd300c,plain_self,00001000,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,431.813315,77.3969,76.6848,3.1139,157.2095,ok,,
sd300c_plain_self_00001000_10,sd300c,plain_self,00001000,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,804.883655,102.4109,100.4811,7.6829,210.5888,ok,,
sd300c_plain_self_00001001_02,sd300c,plain_self,00001001,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,1131.3202,165.1791,163.731,14.382,343.3077,ok,,
sd300c_plain_self_00001001_03,sd300c,plain_self,00001001,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,769.908311,159.9561,159.5413,7.36,326.8725,ok,,
sd300c_plain_self_00001001_04,sd300c,plain_self,00001001,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,909.809689,176.7245,173.9766,9.1903,359.9059,ok,,
sd300c_plain_self_00001001_05,sd300c,plain_self,00001001,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,583.37314,105.7556,106.7028,4.839,217.3113,ok,,
sd300c_plain_self_00001001_07,sd300c,plain_self,00001001,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,816.542103,158.8358,158.4319,10.434,327.7162,ok,,
sd300c_plain_self_00001001_08,sd300c,plain_self,00001001,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,b80e3978fad60a4977d959286d8ab5bf342577da44e487e7abe22ce0063ad004,769.908311,173.7367,170.785,7.3558,351.8918,ok,,
