pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,config_hash,manifest_sha256,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,total_ms,status,error_code,error_message
sd300c_roll_self_00001000_01,sd300c,roll_self,00001000,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,1118.4619,810.4975,81.9135,2010.9105,ok,,
sd300c_roll_self_00001000_02,sd300c,roll_self,00001000,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,570.8413,517.4232,30.3164,1118.6129,ok,,
sd300c_roll_self_00001000_03,sd300c,roll_self,00001000,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,524.607,493.9506,21.6878,1040.2779,ok,,
sd300c_roll_self_00001000_04,sd300c,roll_self,00001000,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,524.1128,513.3012,22.7757,1060.2247,ok,,
sd300c_roll_self_00001000_05,sd300c,roll_self,00001000,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,498.1137,468.8545,18.0393,985.0365,ok,,
sd300c_roll_self_00001000_06,sd300c,roll_self,00001000,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,538.9849,528.2547,20.4551,1087.7257,ok,,
sd300c_roll_self_00001000_07,sd300c,roll_self,00001000,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,483.6304,465.8393,17.2249,966.7207,ok,,
sd300c_roll_self_00001000_08,sd300c,roll_self,00001000,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,493.927,492.6043,18.4745,1005.0391,ok,,
sd300c_roll_self_00001000_09,sd300c,roll_self,00001000,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,465.9183,465.6623,20.819,952.4303,ok,,
sd300c_roll_self_00001000_10,sd300c,roll_self,00001000,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,488.682,490.9954,19.7717,999.4753,ok,,
sd300c_roll_self_00001001_01,sd300c,roll_self,00001001,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,572.2457,581.8441,18.6064,1172.725,ok,,
sd300c_roll_self_00001001_02,sd300c,roll_self,00001001,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1166.10019,520.7007,508.6948,17.7174,1047.1431,ok,,
sd300c_roll_self_00001001_03,sd300c,roll_self,00001001,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,503.6066,503.4903,16.8041,1023.9258,ok,,
sd300c_roll_self_00001001_04,sd300c,roll_self,00001001,4,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1035.70831,506.7583,500.2627,17.8189,1024.8704,ok,,
sd300c_roll_self_00001001_05,sd300c,roll_self,00001001,5,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1012.0007,493.3571,489.6217,17.959,1000.9611,ok,,
sd300c_roll_self_00001001_06,sd300c,roll_self,00001001,6,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,538.0011,530.3771,17.4803,1085.8877,ok,,
sd300c_roll_self_00001001_07,sd300c,roll_self,00001001,7,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,500.9649,505.3431,18.2052,1024.5386,ok,,
sd300c_roll_self_00001001_08,sd300c,roll_self,00001001,8,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,520.3687,518.0028,18.2059,1056.6008,ok,,
sd300c_roll_self_00001001_09,sd300c,roll_self,00001001,9,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1177.954,488.971,490.6771,18.6615,998.3377,ok,,
sd300c_roll_self_00001001_10,sd300c,roll_self,00001001,10,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,1012.34357,462.3356,458.8738,16.6076,937.8487,ok,,
sd300c_roll_self_00001002_01,sd300c,roll_self,00001002,1,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,734.932966,445.4852,428.9041,8.9206,883.3289,ok,,
sd300c_roll_self_00001002_02,sd300c,roll_self,00001002,2,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,536.739348,427.9029,428.0835,5.2356,861.2561,ok,,
sd300c_roll_self_00001002_03,sd300c,roll_self,00001002,3,sourceafis,3.18.1,64bd0cbef20f418b1d8042dce4020289860fe9a9fe4e4371d627edbc46cda531,7f8f24c54b3ffa32992db6070b690c797dc18a142485fc0d71124ad8aeddb6c4,874.834344,463.3675,454.6993,10.4547,928.5491,ok,,
