threshold,true_accept_count,false_nonmatch_count,false_accept_count,true_nonmatch_count,genuine_scores_at_threshold,impostor_scores_at_threshold,genuine_failure_count,impostor_failure_count,tar,fnmr,far
101,0,6881,0,68810,0,0,1,10,0.0,1.0,0.0
100,1,6880,0,68810,1,0,1,10,0.00014532771399505885,0.9998546722860049,0.0
94,2,6879,0,68810,1,0,1,10,0.0002906554279901177,0.9997093445720099,0.0
91,3,6878,0,68810,1,0,1,10,0.0004359831419851766,0.9995640168580148,0.0
82,4,6877,0,68810,1,0,1,10,0.0005813108559802354,0.9994186891440198,0.0
80,6,6875,0,68810,2,0,1,10,0.0008719662839703532,0.9991280337160297,0.0
78,7,6874,0,68810,1,0,1,10,0.001017293997965412,0.9989827060020345,0.0
75,8,6873,0,68810,1,0,1,10,0.0011626217119604708,0.9988373782880395,0.0
74,9,6872,0,68810,1,0,1,10,0.0013079494259555296,0.9986920505740444,0.0
72,10,6871,0,68810,1,0,1,10,0.0014532771399505887,0.9985467228600494,0.0
71,11,6870,0,68810,1,0,1,10,0.0015986048539456475,0.9984013951460543,0.0
66,12,6869,0,68810,1,0,1,10,0.0017439325679407063,0.9982560674320593,0.0
65,13,6868,0,68810,1,0,1,10,0.0018892602819357651,0.9981107397180642,0.0
63,14,6867,0,68810,1,0,1,10,0.002034587995930824,0.9979654120040692,0.0
55,15,6866,0,68810,1,0,1,10,0.002179915709925883,0.9978200842900741,0.0
54,18,6863,0,68810,3,0,1,10,0.0026158988519110592,0.997384101148089,0.0
53,19,6862,0,68810,1,0,1,10,0.0027612265659061183,0.9972387734340938,0.0
52,20,6861,0,68810,1,0,1,10,0.0029065542799011773,0.9970934457200988,0.0
51,21,6860,0,68810,1,0,1,10,0.003051881993896236,0.9969481180061037,0.0
50,22,6859,0,68810,1,0,1,10,0.003197209707891295,0.9968027902921087,0.0
49,24,6857,0,68810,2,0,1,10,0.0034878651358814126,0.9965121348641186,0.0
48,29,6852,1,68809,5,1,1,10,0.004214503705856707,0.9957854962941433,1.4532771399505886e-05
47,32,6849,1,68809,3,0,1,10,0.004650486847841883,0.9953495131521581,1.4532771399505886e-05
46,33,6848,1,68809,1,0,1,10,0.004795814561836942,0.995204185438163,1.4532771399505886e-05
45,36,6845,1,68809,3,0,1,10,0.0052317977038221185,0.9947682022961779,1.4532771399505886e-05
44,40,6841,1,68809,4,0,1,10,0.005813108559802355,0.9941868914401977,1.4532771399505886e-05
43,42,6839,1,68809,2,0,1,10,0.006103763987792472,0.9938962360122076,1.4532771399505886e-05
42,46,6835,3,68807,4,2,1,10,0.006685074843772707,0.9933149251562273,4.359831419851766e-05
41,47,6834,3,68807,1,0,1,10,0.006830402557767766,0.9931695974422322,4.359831419851766e-05
40,53,6828,3,68807,6,0,1,10,0.0077023688417381195,0.9922976311582619,4.359831419851766e-05
39,55,6826,3,68807,2,0,1,10,0.007993024269728238,0.9920069757302717,4.359831419851766e-05
38,60,6821,3,68807,5,0,1,10,0.008719662839703532,0.9912803371602965,4.359831419851766e-05
37,66,6815,3,68807,6,0,1,10,0.009591629123673884,0.9904083708763262,4.359831419851766e-05
36,72,6809,3,68807,6,0,1,10,0.010463595407644237,0.9895364045923558,4.359831419851766e-05
35,79,6802,3,68807,7,0,1,10,0.01148088940560965,0.9885191105943903,4.359831419851766e-05
34,85,6796,4,68806,6,1,1,10,0.012352855689580004,0.98764714431042,5.8131085598023545e-05
33,88,6793,4,68806,3,0,1,10,0.01278883883156518,0.9872111611684348,5.8131085598023545e-05
32,101,6780,4,68806,13,0,1,10,0.014678099113500945,0.9853219008864991,5.8131085598023545e-05
31,111,6770,5,68805,10,1,1,10,0.016131376253451533,0.9838686237465485,7.266385699752942e-05
30,120,6761,5,68805,9,0,1,10,0.017439325679407064,0.9825606743205929,7.266385699752942e-05
29,133,6748,7,68803,13,2,1,10,0.019328585961342827,0.9806714140386572,0.0001017293997965412
28,146,6735,7,68803,13,0,1,10,0.021217846243278594,0.9787821537567214,0.0001017293997965412
27,160,6721,10,68800,14,3,1,10,0.02325243423920942,0.9767475657607906,0.00014532771399505885
26,180,6701,11,68799,20,1,1,10,0.026158988519110596,0.9738410114808894,0.00015986048539456474
25,200,6681,15,68795,20,4,1,10,0.029065542799011773,0.9709344572009883,0.0002179915709925883
24,222,6659,17,68793,22,2,1,10,0.03226275250690307,0.967737247493097,0.0002470571137916001
23,242,6639,18,68792,20,1,1,10,0.035169306786804244,0.9648306932131958,0.00026158988519110597
22,274,6607,22,68788,32,4,1,10,0.039819793634646126,0.9601802063653538,0.0003197209707891295
21,304,6577,25,68785,30,3,1,10,0.04417962505449789,0.9558203749455021,0.00036331928498764716
20,338,6543,27,68783,34,2,1,10,0.04912076733032989,0.9508792326696701,0.0003923848277866589
19,372,6509,30,68780,34,3,1,10,0.0540619096061619,0.9459380903938381,0.0004359831419851766
18,429,6452,38,68772,57,8,1,10,0.06234558930388025,0.9376544106961198,0.0005522453131812236
17,484,6397,46,68764,55,8,1,10,0.07033861357360849,0.9296613864263915,0.0006685074843772708
16,561,6320,59,68751,77,13,1,10,0.08152884755122802,0.918471152448772,0.0008574335125708473
15,641,6240,82,68728,80,23,1,10,0.09315506467083273,0.9068449353291673,0.0011916872547594827
14,717,6164,99,68711,76,17,1,10,0.1041999709344572,0.8958000290655428,0.0014387443685510827
13,804,6077,122,68688,87,23,1,10,0.11684348205202733,0.8831565179479727,0.001772998110739718
12,917,5964,156,68654,113,34,1,10,0.13326551373346898,0.866734486266531,0.0022671123383229182
11,1047,5834,190,68620,130,34,1,10,0.15215811655282663,0.8478418834471734,0.0027612265659061183
10,1199,5682,238,68572,152,48,1,10,0.17424792908007558,0.8257520709199244,0.0034587995930824007
9,1381,5500,304,68506,182,66,1,10,0.20069757302717628,0.7993024269728237,0.004417962505449789
8,1597,5284,386,68424,216,82,1,10,0.23208835925010898,0.767911640749891,0.005609649760209272
7,1888,4993,502,68308,291,116,1,10,0.2743787240226711,0.7256212759773288,0.007295451242551955
6,2219,4662,633,68177,331,131,1,10,0.3224821973550356,0.6775178026449644,0.009199244295887225
5,2633,4248,818,67992,414,185,1,10,0.38264787094899,0.61735212905101,0.011887807004795815
4,3155,3726,1248,67562,522,430,1,10,0.4585089376544107,0.5414910623455893,0.018136898706583346
3,3875,3006,3880,64930,720,2632,1,10,0.563144891730853,0.4368551082691469,0.056387153030082834
2,5110,1771,15583,53227,1235,11703,1,10,0.7426246185147508,0.25737538148524924,0.22646417671850022
0,6881,0,68810,0,1771,53227,1,10,1.0,0.0,1.0
