threshold,true_accept_count,false_nonmatch_count,false_accept_count,true_nonmatch_count,genuine_scores_at_threshold,impostor_scores_at_threshold,genuine_failure_count,impostor_failure_count,tar,fnmr,far
106,0,6882,0,68820,0,0,0,0,0.0,1.0,0.0
105,1,6881,0,68820,1,0,0,0,0.00014530659691950015,0.9998546934030805,0.0
85,2,6880,0,68820,1,0,0,0,0.0002906131938390003,0.999709386806161,0.0
79,3,6879,0,68820,1,0,0,0,0.00043591979075850045,0.9995640802092415,0.0
76,4,6878,0,68820,1,0,0,0,0.0005812263876780006,0.999418773612322,0.0
74,5,6877,0,68820,1,0,0,0,0.0007265329845975008,0.9992734670154025,0.0
72,6,6876,0,68820,1,0,0,0,0.0008718395815170009,0.999128160418483,0.0
71,7,6875,0,68820,1,0,0,0,0.001017146178436501,0.9989828538215635,0.0
67,8,6874,0,68820,1,0,0,0,0.0011624527753560012,0.998837547224644,0.0
65,9,6873,0,68820,1,0,0,0,0.0013077593722755014,0.9986922406277245,0.0
61,11,6871,0,68820,2,0,0,0,0.0015983725661145017,0.9984016274338855,0.0
60,13,6869,0,68820,2,0,0,0,0.001888985759953502,0.9981110142400464,0.0
59,14,6868,0,68820,1,0,0,0,0.002034292356873002,0.997965707643127,0.0
57,15,6867,0,68820,1,0,0,0,0.002179598953792502,0.9978204010462075,0.0
56,18,6864,0,68820,3,0,0,0,0.0026155187445510027,0.997384481255449,0.0
52,20,6862,0,68820,2,0,0,0,0.002906131938390003,0.99709386806161,0.0
51,23,6859,0,68820,3,0,0,0,0.0033420517291485033,0.9966579482708515,0.0
50,25,6857,0,68820,2,0,0,0,0.0036326649229875036,0.9963673350770125,0.0
49,27,6855,0,68820,2,0,0,0,0.003923278116826504,0.9960767218831735,0.0
48,29,6853,0,68820,2,0,0,0,0.004213891310665505,0.9957861086893345,0.0
47,30,6852,0,68820,1,0,0,0,0.004359197907585004,0.995640802092415,0.0
46,33,6849,1,68819,3,1,0,0,0.004795117698343505,0.9952048823016565,1.4530659691950014e-05
45,35,6847,1,68819,2,0,0,0,0.005085730892182505,0.9949142691078174,1.4530659691950014e-05
44,36,6846,1,68819,1,0,0,0,0.0052310374891020054,0.994768962510898,1.4530659691950014e-05
43,37,6845,2,68818,1,1,0,0,0.005376344086021506,0.9946236559139785,2.906131938390003e-05
42,38,6844,2,68818,1,0,0,0,0.005521650682941005,0.994478349317059,2.906131938390003e-05
41,42,6840,2,68818,4,0,0,0,0.006102877070619006,0.993897122929381,2.906131938390003e-05
39,47,6835,2,68818,5,0,0,0,0.006829410055216507,0.9931705899447835,2.906131938390003e-05
38,57,6825,3,68817,10,1,0,0,0.008282476024411508,0.9917175239755885,4.359197907585005e-05
37,62,6820,4,68816,5,1,0,0,0.009009009009009009,0.990990990990991,5.812263876780006e-05
36,72,6810,4,68816,10,0,0,0,0.010462074978204011,0.9895379250217959,5.812263876780006e-05
35,74,6808,4,68816,2,0,0,0,0.010752688172043012,0.989247311827957,5.812263876780006e-05
