accuracy_pair_id,split,plain_subject_id,roll_subject_id,canonical_finger_position,selection_sha256,selection_rank
shared_imp_development_01_00001003_00001409,development,00001003,00001409,1,01019897936f55c896107657e37cf468378039c75109fda5212d38c5e7b01dd1,1
shared_imp_development_01_00001003_00001608,development,00001003,00001608,1,010cd4246e83d4dc267fad5fc6d9cea19341571e7d51dbd2cb3f1ed6441d81a9,2
shared_imp_development_01_00001003_00001078,development,00001003,00001078,1,04536a670fe1b836087aa095519174f8097cc9351385e14f64233888a448e053,3
shared_imp_development_01_00001003_00001479,development,00001003,00001479,1,07cd7bc8932fe38e0789a29381edb062426b7ee2f5c7c3c847a09bacb7c7ac15,4
shared_imp_development_01_00001003_00001683,development,00001003,00001683,1,081498ada70683be42bd6617c4f2c5039e4d0ceab21b17660ed09d7c49082878,5
shared_imp_development_01_00001003_00001550,development,00001003,00001550,1,09f0061d510303e060d861cd7256ff715c04f2fbdc9821a5eec4ddf2169230ff,6
shared_imp_development_01_00001003_00001362,development,00001003,00001362,1,0a845c99de232806b2b3a3487af8b92de74c54ad6003f4f70b103117a01375ef,7
shared_imp_development_01_00001003_00001645,development,00001003,00001645,1,0b826a23ff45a8fb1d5366cc8bb716566dda5cd818df9155aea2f9fbfcf519a2,8
shared_imp_development_01_00001003_00001022,development,00001003,00001022,1,0c8c888c8407358ae7f2b1efefb23bcde110dd40f62db5eddd48acf1ac4270b4,9
shared_imp_development_01_00001003_00001251,development,00001003,00001251,1,0d2f224dee83ed8b1c3876b1ad53a21520321933258918f3ab919dab5718d938,10
shared_imp_development_02_00001003_00001347,development,00001003,00001347,2,0034e862ac1ef147dcce135c99a96a3d0c046c89b61b546c282f38f6f78de503,1
shared_imp_development_02_00001003_00001022,development,00001003,00001022,2,00a9c778580de7b217402e3ff6df599c550e52c19178e712c82a69b24d09682d,2
shared_imp_development_02_00001003_00001233,development,00001003,00001233,2,00b06ab2d193fd7678b69f7fbd3d920c58b93ab4a15592e4fd825b0a91868e07,3
shared_imp_development_02_00001003_00001195,development,00001003,00001195,2,0125a6807a720ce5ab1d7865ba7c0c9d76c060934af1079b680ceafb7f1eec3a,4
shared_imp_development_02_00001003_00001070,development,00001003,00001070,2,016fcbd73741954cb6295e92fbcf63abc2bbe66202d6e34f4bf9431f5ccef1cb,5
shared_imp_development_02_00001003_00001777,development,00001003,00001777,2,020fdacc0bfa69ce0eb0e8a77989a88ae680656590887ff7c16bbfa274780eed,6
shared_imp_development_02_00001003_00001276,development,00001003,00001276,2,02bba13ff7b6355d5fb5dbda9e2ddbd9e3eded2c3034b883e7b27aa3d36423d2,7
shared_imp_development_02_00001003_00001322,development,00001003,00001322,2,03030f10d0025d343a12b738a5f15926e1715d546e63b5cd253937cf7f0ff755,8
shared_imp_development_02_00001003_00001191,development,00001003,00001191,2,03ce35470f5c4ed684088ee037cbf90ee105f5d18807a59d5ba1af920b2e7444,9
shared_imp_development_02_00001003_00001201,development,00001003,00001201,2,05f521e37802978f030f6138a5da3a3e1f8db7cd830650736cf8bb1ba5d797fd,10
shared_imp_development_03_00001003_00001688,development,00001003,00001688,3,00d057d9d80d01577040c5aaa05ddeaea9321fb6019341fc57160f8468fb64ec,1
shared_imp_development_03_00001003_00001723,development,00001003,00001723,3,018f727b73aa54889b898b8c2b5fc384e165a23c9ddc7c4a438de233d8074f1d,2
shared_imp_development_03_00001003_00001568,development,00001003,00001568,3,02ea8c275b5a5a3acd88fe82768d7c9ccc96e8bafaa75ec66ce17e7d20b6b2c9,3
shared_imp_development_03_00001003_00001058,development,00001003,00001058,3,05719975a643d95c7bf6624a686fbbb9348bf239f00b02cd9e10578b16feddf4,4
shared_imp_development_03_00001003_00001139,development,00001003,00001139,3,064a195a31d45475427180654469a2362a4ecd2e9bc32c2431a242bfc1836863,5
shared_imp_development_03_00001003_00001604,development,00001003,00001604,3,06836b3e05be60d4c272fdebf34f1ff460cac12c62da0058b46dedb560489fff,6
shared_imp_development_03_00001003_00001767,development,00001003,00001767,3,071172b76b1fb482f85beebb9758164a989a7a6273701e72c4697a076266de6f,7
shared_imp_development_03_00001003_00001632,development,00001003,00001632,3,09ed51ae619a00697aaa3f470ca8222bfd21c8d61a0294e0ab108dbd66cf1a8b,8
shared_imp_development_03_00001003_00001093,development,00001003,00001093,3,0be48727a5b929ea68c6b6371432ec5c727b0a7b14cfc935fe8e44d1dddf01fe,9
shared_imp_development_03_00001003_00001363,development,00001003,00001363,3,0d644adabba853f5a59bc8c0362569f545d4f4bdb997667cbaeda7cd8f6026bf,10
shared_imp_development_04_00001003_00001204,development,00001003,00001204,4,026e8e960b2f67b2de32a8b32f6da05dce33b070cfafd0455ab255ece239c1d5,1
shared_imp_development_04_00001003_00001789,development,00001003,00001789,4,03a782effa41750bed945b3edb3bf09aa2122910ba17bb564a8c4321d1826a99,2
shared_imp_development_04_00001003_00001477,development,00001003,00001477,4,05143c9a8f9f59e134b9bccdb5b08fabaa31fcbbd95ed6cf834a1ed23d4e6fc9,3
shared_imp_development_04_00001003_00001530,development,00001003,00001530,4,060f9440cc109cb096a1fc8ffdb7a102f1072de9773502331714dcae68ee652c,4
shared_imp_development_04_00001003_00001322,development,00001003,00001322,4,07220ecbcd235b607f84142c21a14a923d3bb529e077a2f1bc0f8cb6477e2dcc,5
shared_imp_development_04_00001003_00001264,development,00001003,00001264,4,076d4691b7186d53bb0541158660bc59dc976beba0b41d2389d8b84c395475c9,6
shared_imp_development_04_00001003_00001181,development,00001003,00001181,4,084f532741cf559079b45873e584d330d6cc1237c8c7a7936b85695e44ef2188,7
shared_imp_development_04_00001003_00001011,development,00001003,00001011,4,0a0937ec83b965e35d97068789b46bcd3b75448a056df5ce1c21965f96c40b16,8
shared_imp_development_04_00001003_00001559,development,00001003,00001559,4,0bfd44d33e4e922d335d3d3305aa5fc94e5acb7d513979fc15d1df7c0a046963,9
shared_imp_development_04_00001003_00001467,development,00001003,00001467,4,0dda468c8c9ec81f3873cc6c7d6eee63b9a878b866d254b56b86e7e5eb9325af,10
shared_imp_development_05_00001003_00001077,development,00001003,00001077,5,004d4ccd90f57d9577a06da69358fcdb6becfddfab79918d8d9c15afefbc5faf,1
shared_imp_development_05_00001003_00001190,development,00001003,00001190,5,0084a66db43c2535e47b017cb998869ff4e018b256fbea4c7e315667f7234e47,2
shared_imp_development_05_00001003_00001602,development,00001003,00001602,5,03f5f633910d5eb31d5d50ccdeed574e53d88e705217ba1e1f2c712ca265059d,3
