accuracy_pair_id,pair_label,dataset,split,canonical_finger_position,subject_id_a,subject_id_b,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b,source_pair_id_a,source_pair_id_b
shared_gen_00001000_01,genuine,sd300b,evaluation,1,00001000,00001000,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_01.png,sd300b_plain_roll_00001000_01,sd300b_plain_roll_00001000_01
shared_gen_00001000_02,genuine,sd300b,evaluation,2,00001000,00001000,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_02.png,sd300b_plain_roll_00001000_02,sd300b_plain_roll_00001000_02
shared_gen_00001000_03,genuine,sd300b,evaluation,3,00001000,00001000,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_03.png,sd300b_plain_roll_00001000_03,sd300b_plain_roll_00001000_03
shared_gen_00001000_04,genuine,sd300b,evaluation,4,00001000,00001000,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_04.png,sd300b_plain_roll_00001000_04,sd300b_plain_roll_00001000_04
shared_gen_00001000_05,genuine,sd300b,evaluation,5,00001000,00001000,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_05.png,sd300b_plain_roll_00001000_05,sd300b_plain_roll_00001000_05
shared_gen_00001000_06,genuine,sd300b,evaluation,6,00001000,00001000,1000,12,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_06.png,sd300b_plain_roll_00001000_06,sd300b_plain_roll_00001000_06
shared_gen_00001000_07,genuine,sd300b,evaluation,7,00001000,00001000,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_07.png,sd300b_plain_roll_00001000_07,sd300b_plain_roll_00001000_07
shared_gen_00001000_08,genuine,sd300b,evaluation,8,00001000,00001000,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_08.png,sd300b_plain_roll_00001000_08,sd300b_plain_roll_00001000_08
shared_gen_00001000_09,genuine,sd300b,evaluation,9,00001000,00001000,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_09.png,sd300b_plain_roll_00001000_09,sd300b_plain_roll_00001000_09
shared_gen_00001000_10,genuine,sd300b,evaluation,10,00001000,00001000,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001000_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001000_roll_1000_10.png,sd300b_plain_roll_00001000_10,sd300b_plain_roll_00001000_10
shared_gen_00001001_02,genuine,sd300b,evaluation,2,00001001,00001001,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_02.png,sd300b_plain_roll_00001001_02,sd300b_plain_roll_00001001_02
shared_gen_00001001_03,genuine,sd300b,evaluation,3,00001001,00001001,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_03.png,sd300b_plain_roll_00001001_03,sd300b_plain_roll_00001001_03
shared_gen_00001001_04,genuine,sd300b,evaluation,4,00001001,00001001,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_04.png,sd300b_plain_roll_00001001_04,sd300b_plain_roll_00001001_04
shared_gen_00001001_05,genuine,sd300b,evaluation,5,00001001,00001001,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_05.png,sd300b_plain_roll_00001001_05,sd300b_plain_roll_00001001_05
shared_gen_00001001_07,genuine,sd300b,evaluation,7,00001001,00001001,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_07.png,sd300b_plain_roll_00001001_07,sd300b_plain_roll_00001001_07
shared_gen_00001001_08,genuine,sd300b,evaluation,8,00001001,00001001,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_08.png,sd300b_plain_roll_00001001_08,sd300b_plain_roll_00001001_08
shared_gen_00001001_09,genuine,sd300b,evaluation,9,00001001,00001001,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_09.png,sd300b_plain_roll_00001001_09,sd300b_plain_roll_00001001_09
shared_gen_00001001_10,genuine,sd300b,evaluation,10,00001001,00001001,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001001_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001001_roll_1000_10.png,sd300b_plain_roll_00001001_10,sd300b_plain_roll_00001001_10
shared_gen_00001002_01,genuine,sd300b,evaluation,1,00001002,00001002,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_01.png,sd300b_plain_roll_00001002_01,sd300b_plain_roll_00001002_01
shared_gen_00001002_02,genuine,sd300b,evaluation,2,00001002,00001002,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_02.png,sd300b_plain_roll_00001002_02,sd300b_plain_roll_00001002_02
shared_gen_00001002_03,genuine,sd300b,evaluation,3,00001002,00001002,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_03.png,sd300b_plain_roll_00001002_03,sd300b_plain_roll_00001002_03
shared_gen_00001002_04,genuine,sd300b,evaluation,4,00001002,00001002,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_04.png,sd300b_plain_roll_00001002_04,sd300b_plain_roll_00001002_04
shared_gen_00001002_05,genuine,sd300b,evaluation,5,00001002,00001002,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_05.png,sd300b_plain_roll_00001002_05,sd300b_plain_roll_00001002_05
shared_gen_00001002_06,genuine,sd300b,evaluation,6,00001002,00001002,1000,12,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_06.png,sd300b_plain_roll_00001002_06,sd300b_plain_roll_00001002_06
shared_gen_00001002_07,genuine,sd300b,evaluation,7,00001002,00001002,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_07.png,sd300b_plain_roll_00001002_07,sd300b_plain_roll_00001002_07
shared_gen_00001002_08,genuine,sd300b,evaluation,8,00001002,00001002,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_08.png,sd300b_plain_roll_00001002_08,sd300b_plain_roll_00001002_08
shared_gen_00001002_09,genuine,sd300b,evaluation,9,00001002,00001002,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_09.png,sd300b_plain_roll_00001002_09,sd300b_plain_roll_00001002_09
shared_gen_00001002_10,genuine,sd300b,evaluation,10,00001002,00001002,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001002_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001002_roll_1000_10.png,sd300b_plain_roll_00001002_10,sd300b_plain_roll_00001002_10
shared_gen_00001004_01,genuine,sd300b,evaluation,1,00001004,00001004,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_01.png,sd300b_plain_roll_00001004_01,sd300b_plain_roll_00001004_01
shared_gen_00001004_02,genuine,sd300b,evaluation,2,00001004,00001004,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_02.png,sd300b_plain_roll_00001004_02,sd300b_plain_roll_00001004_02
shared_gen_00001004_03,genuine,sd300b,evaluation,3,00001004,00001004,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_03.png,sd300b_plain_roll_00001004_03,sd300b_plain_roll_00001004_03
shared_gen_00001004_04,genuine,sd300b,evaluation,4,00001004,00001004,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_04.png,sd300b_plain_roll_00001004_04,sd300b_plain_roll_00001004_04
shared_gen_00001004_05,genuine,sd300b,evaluation,5,00001004,00001004,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_05.png,sd300b_plain_roll_00001004_05,sd300b_plain_roll_00001004_05
shared_gen_00001004_06,genuine,sd300b,evaluation,6,00001004,00001004,1000,12,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001004_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001004_roll_1000_06.png,sd300b_plain_roll_00001004_06,sd300b_plain_roll_00001004_06
