accuracy_pair_id,pair_label,dataset,split,canonical_finger_position,subject_id_a,subject_id_b,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b,source_pair_id_a,source_pair_id_b
shared_gen_00001003_01,genuine,sd300c,development,1,00001003,00001003,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_01.png,sd300c_plain_roll_00001003_01,sd300c_plain_roll_00001003_01
shared_gen_00001003_02,genuine,sd300c,development,2,00001003,00001003,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_02.png,sd300c_plain_roll_00001003_02,sd300c_plain_roll_00001003_02
shared_gen_00001003_03,genuine,sd300c,development,3,00001003,00001003,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_03.png,sd300c_plain_roll_00001003_03,sd300c_plain_roll_00001003_03
shared_gen_00001003_04,genuine,sd300c,development,4,00001003,00001003,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_04.png,sd300c_plain_roll_00001003_04,sd300c_plain_roll_00001003_04
shared_gen_00001003_05,genuine,sd300c,development,5,00001003,00001003,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_05.png,sd300c_plain_roll_00001003_05,sd300c_plain_roll_00001003_05
shared_gen_00001003_06,genuine,sd300c,development,6,00001003,00001003,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_06.png,sd300c_plain_roll_00001003_06,sd300c_plain_roll_00001003_06
shared_gen_00001003_07,genuine,sd300c,development,7,00001003,00001003,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_07.png,sd300c_plain_roll_00001003_07,sd300c_plain_roll_00001003_07
shared_gen_00001003_08,genuine,sd300c,development,8,00001003,00001003,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_08.png,sd300c_plain_roll_00001003_08,sd300c_plain_roll_00001003_08
shared_gen_00001003_09,genuine,sd300c,development,9,00001003,00001003,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_09.png,sd300c_plain_roll_00001003_09,sd300c_plain_roll_00001003_09
shared_gen_00001003_10,genuine,sd300c,development,10,00001003,00001003,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_10.png,sd300c_plain_roll_00001003_10,sd300c_plain_roll_00001003_10
shared_gen_00001005_01,genuine,sd300c,development,1,00001005,00001005,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_01.png,sd300c_plain_roll_00001005_01,sd300c_plain_roll_00001005_01
shared_gen_00001005_04,genuine,sd300c,development,4,00001005,00001005,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_04.png,sd300c_plain_roll_00001005_04,sd300c_plain_roll_00001005_04
shared_gen_00001005_05,genuine,sd300c,development,5,00001005,00001005,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_05.png,sd300c_plain_roll_00001005_05,sd300c_plain_roll_00001005_05
shared_gen_00001005_06,genuine,sd300c,development,6,00001005,00001005,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_06.png,sd300c_plain_roll_00001005_06,sd300c_plain_roll_00001005_06
shared_gen_00001005_07,genuine,sd300c,development,7,00001005,00001005,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_07.png,sd300c_plain_roll_00001005_07,sd300c_plain_roll_00001005_07
shared_gen_00001005_08,genuine,sd300c,development,8,00001005,00001005,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001005_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001005_roll_2000_08.png,sd300c_plain_roll_00001005_08,sd300c_plain_roll_00001005_08
