method,operating_point,dataset,target_far,threshold,tar,fnmr,far,genuine_failures,impostor_failures
sourceafis,legacy,sd300b,,40.0,0.6541702993315897,0.34582970066841034,2.906131938390003e-05,0,0
sourceafis,legacy,sd300c,,40.0,0.6463237430979366,0.35367625690206334,1.4530659691950014e-05,0,0
sourceafis,far_1_percent,sd300b,0.01,14.608641525076788,0.7702702702702703,0.22972972972972974,0.00948852077884336,0,0
sourceafis,far_1_percent,sd300c,0.01,14.608641525076788,0.7673641383318802,0.23263586166811973,0.00880557977332171,0,0
sourceafis,far_0_1_percent,sd300b,0.001,24.93003517749199,0.7240627724498693,0.2759372275501308,0.0008718395815170009,0,0
sourceafis,far_0_1_percent,sd300c,0.001,24.93003517749199,0.7255158384190642,0.27448416158093575,0.0007120023249055507,0,0
sift_geometric,legacy,sd300b,,4.0,0.4585089376544107,0.5414910623455893,0.018136898706583346,1,10
sift_geometric,legacy,sd300c,,4.0,0.4436210403952339,0.556378959604766,0.01881720430107527,0,0
sift_geometric,far_1_percent,sd300b,0.01,5,0.38264787094899,0.61735212905101,0.011887807004795815,1,10
sift_geometric,far_1_percent,sd300c,0.01,5,0.3687881429816914,0.6312118570183086,0.011769834350479512,0,0
sift_geometric,far_0_1_percent,sd300b,0.001,14,0.1041999709344572,0.8958000290655428,0.0014387443685510827,1,10
sift_geometric,far_0_1_percent,sd300c,0.001,14,0.0945945945945946,0.9054054054054054,0.0013077593722755014,0,0
