accuracy_pair_id,pair_label,dataset,split,canonical_finger_position,subject_id_a,subject_id_b,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b,source_pair_id_a,source_pair_id_b,score_schema_version,method,method_version,frozen_config_hash,implementation_hash,score_producing_implementation_hash,accuracy_runner_sha256,score_direction,raw_score,status,error_code,error_message,prepare_a_diagnostics_json,prepare_b_diagnostics_json,compare_diagnostics_json,representation_cache_scope_id,prepared_image_key_a,prepared_image_key_b,representation_format_a,representation_format_b,representation_version_a,representation_version_b,score_origin,source_primary_pair_id,source_primary_bundle,source_primary_config_hash,source_primary_implementation_hash,source_primary_sidecar_jar_sha256
shared_gen_00001003_01,genuine,sd300b,development,1,00001003,00001003,1000,11,1,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_01.png,sd300b_plain_roll_00001003_01,sd300b_plain_roll_00001003_01,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,143.45638038740793,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,9e5dcd6be40f11084c2fa07b2dac01e33bbdd2d11ddb5aa6abaaaa0c03929420,35529f992070c303ac1d5494b9fa88c36ead9d5047232c392c40dba471a8f0b8,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_02,genuine,sd300b,development,2,00001003,00001003,1000,2,2,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_02.png,sd300b_plain_roll_00001003_02,sd300b_plain_roll_00001003_02,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,11.69303480128347,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,40529584a26c3a9669b5b9df4d5b611364402c050fad2665e520f3f34ed07b21,e43c6ba41679caafc9b8e69bfe76d882ba2efcb55fa624ada3a8b9a3361d0d1d,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_03,genuine,sd300b,development,3,00001003,00001003,1000,3,3,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_03.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_03.png,sd300b_plain_roll_00001003_03,sd300b_plain_roll_00001003_03,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,85.04960976640385,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,725a865b380dce033c59e15401d57a6e61d3b6245c5a9d7edce61736b963a2eb,5f8edf29fcdcc889323b3c2758017778687a5463fc138d7046105a16e645ccf8,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_04,genuine,sd300b,development,4,00001003,00001003,1000,4,4,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_04.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_04.png,sd300b_plain_roll_00001003_04,sd300b_plain_roll_00001003_04,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,37.45046771614406,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,13175dd4fdb7e4a97b7d7e7dbb43f7634b848d3072643ae537e6099afd1e905c,f77442293e09384a302f537315cb6e25ee1d8695095db566eb85761264518a74,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_05,genuine,sd300b,development,5,00001003,00001003,1000,5,5,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_05.png,sd300b_plain_roll_00001003_05,sd300b_plain_roll_00001003_05,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,117.48363012742192,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,1cb022e0ff9409c7303bd1922bceddeeb5e16ab960d3198465f4ba944bfc9e30,17b7b8f6dd2afdddca7d61f466eabfaf8ea513692906d4b691f3900cce8cf334,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_06,genuine,sd300b,development,6,00001003,00001003,1000,12,6,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_06.png,sd300b_plain_roll_00001003_06,sd300b_plain_roll_00001003_06,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,122.33423472785269,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,509a631bb37fb7e6fa08c3ae590ca81bd1115a4727407151cc35681e9b64a088,79a72974a101085f6daa318a539d388b7139614557df5dc385c9e5cbdd4651b6,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_07,genuine,sd300b,development,7,00001003,00001003,1000,7,7,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_07.png,sd300b_plain_roll_00001003_07,sd300b_plain_roll_00001003_07,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,44.693646067912454,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,f404c6cb1da30c8ca3d78ce42553279ee064bf105ebc7322645ce3c8856c7569,8fcf7425a82086442724cfbf29698c9dfd120cb044c6aeaa4871c1550bb04585,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_08,genuine,sd300b,development,8,00001003,00001003,1000,8,8,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_08.png,sd300b_plain_roll_00001003_08,sd300b_plain_roll_00001003_08,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,36.29778067458034,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,945cfc7f46e58e3a85b94c435a0875003e9d0d705a233dc5e62fb08b3b5d9915,c6506378c43aa03d3b248e816b8b2eea29e1e7d5224ef0b884a51935f527131f,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_09,genuine,sd300b,development,9,00001003,00001003,1000,9,9,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_09.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_09.png,sd300b_plain_roll_00001003_09,sd300b_plain_roll_00001003_09,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,35.74280272021393,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,9aaaba5486f8a26eee5fb2a3e36469bf529c8a8baa840eb0260ed3f7bc9918e1,15b3e62fbed19cc357f9d1da4ae73937dadd5eefb175666a4dabe0cc6a31ea0b,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
shared_gen_00001003_10,genuine,sd300b,development,10,00001003,00001003,1000,10,10,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001003_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001003_roll_1000_10.png,sd300b_plain_roll_00001003_10,sd300b_plain_roll_00001003_10,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,7.2077986566405325,ok,,,{},{},{},95a1d8da638532b638835a1627691c0b458ee7a0bf31d2af1e7afcbfec91498f,40a76ad7b972e700a2c4b58446e8a7dabaaa8517ec13e8b9e434977d38fbd4a4,78c6cef2373049aeb5bb7370575b5d0893c06d3e1c810c4a311f273a2fd029ef,sourceafis,sourceafis,3.18.1,3.18.1,prepared_representation_accuracy_mode,,,,,
