accuracy_pair_id,pair_label,dataset,split,canonical_finger_position,subject_id_a,subject_id_b,ppi,raw_frgp_a,raw_frgp_b,path_a,path_b,source_pair_id_a,source_pair_id_b,score_schema_version,method,method_version,frozen_config_hash,implementation_hash,score_producing_implementation_hash,accuracy_runner_sha256,score_direction,raw_score,status,error_code,error_message,prepare_a_diagnostics_json,prepare_b_diagnostics_json,compare_diagnostics_json,representation_cache_scope_id,prepared_image_key_a,prepared_image_key_b,representation_format_a,representation_format_b,representation_version_a,representation_version_b,score_origin,source_primary_pair_id,source_primary_bundle,source_primary_config_hash,source_primary_implementation_hash,source_primary_sidecar_jar_sha256
shared_gen_00001003_01,genuine,sd300c,development,1,00001003,00001003,2000,11,1,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_11.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_01.png,sd300c_plain_roll_00001003_01,sd300c_plain_roll_00001003_01,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,151.83815748126636,ok,,,{},{},{},not_applicable_reused_validated_primary,10a36169131af250e8fc9a3cdd910b6bc7bf34023ca54a8eff82df8a09d536ea,5dd17e8d62a4f955042ba916a4d23ab2e4ecec951c586d5715596440a6c7cb03,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_01,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_02,genuine,sd300c,development,2,00001003,00001003,2000,2,2,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_02.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_02.png,sd300c_plain_roll_00001003_02,sd300c_plain_roll_00001003_02,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,2.060315081472105,ok,,,{},{},{},not_applicable_reused_validated_primary,8bb24adb6b6d3aee679c8a18dfbf52ef01e7b3a60eab1af94642357d50681dea,6496c20a27fc8cb44fa71249e994e5d8f2ec784e072d7adf9fbc17f56ae2ef3f,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_02,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_03,genuine,sd300c,development,3,00001003,00001003,2000,3,3,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_03.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_03.png,sd300c_plain_roll_00001003_03,sd300c_plain_roll_00001003_03,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,46.649142209848655,ok,,,{},{},{},not_applicable_reused_validated_primary,08c66b768f172ac9e15fadf732ef25c36450d238eb57527cf4cd73526eccf95f,39bce1b8cee6927272f5222b7c81e9721af592e62a4a15fc1435bf69350e235e,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_03,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_04,genuine,sd300c,development,4,00001003,00001003,2000,4,4,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_04.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_04.png,sd300c_plain_roll_00001003_04,sd300c_plain_roll_00001003_04,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,26.921061920505764,ok,,,{},{},{},not_applicable_reused_validated_primary,c647af50de9c06f71afcf0f90ed975f6e75b2db59074c431dca1934919d61109,d95a32cd182c3f536a9d36f247a9814d064abfd880fef91615f6a87008419dd4,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_04,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_05,genuine,sd300c,development,5,00001003,00001003,2000,5,5,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_05.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_05.png,sd300c_plain_roll_00001003_05,sd300c_plain_roll_00001003_05,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,100.19673083415404,ok,,,{},{},{},not_applicable_reused_validated_primary,96ddad94941ef70ff840031150f7908516038a63e6019637847fadabea91fdfd,bc3a7bb3f298f50235ead2fc36644ddf5834b0a3999d6f0ab45463724f596524,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_05,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_06,genuine,sd300c,development,6,00001003,00001003,2000,12,6,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_12.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_06.png,sd300c_plain_roll_00001003_06,sd300c_plain_roll_00001003_06,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,103.32567454240484,ok,,,{},{},{},not_applicable_reused_validated_primary,bced3d0ea2060ec0e9ddddcbe469dbd1108f111b4abfee285d84674d9b444eb3,a19f22bc16157128d98fe297475801df62ef1dc3e3e602e1215c8f3b85204798,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_06,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_07,genuine,sd300c,development,7,00001003,00001003,2000,7,7,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_07.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_07.png,sd300c_plain_roll_00001003_07,sd300c_plain_roll_00001003_07,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,56.17359014443854,ok,,,{},{},{},not_applicable_reused_validated_primary,7670cf1ab3a783c3b843d52bb2ff23fcd3d1cec00ba89857c1a3886ca0bfae23,a613989a9c9247543c06cde7fbfe1c7b2a2d6bb56974c1c3f5af0f2f385db916,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_07,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_08,genuine,sd300c,development,8,00001003,00001003,2000,8,8,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_08.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_08.png,sd300c_plain_roll_00001003_08,sd300c_plain_roll_00001003_08,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,2.854657200212247,ok,,,{},{},{},not_applicable_reused_validated_primary,6d5ae918a3d95868418e49990b37f43c113673eddd46e8dc784df81fae6e4e5f,da133328e60ba922c290114f5379cf33a0eebaea0e3305c97c06c7d526c2784e,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_08,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_09,genuine,sd300c,development,9,00001003,00001003,2000,9,9,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_09.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_09.png,sd300c_plain_roll_00001003_09,sd300c_plain_roll_00001003_09,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,15.566366622801826,ok,,,{},{},{},not_applicable_reused_validated_primary,ca212989fed25f0f87d893bec983402252f24a62ea6240109dcbf1c4863d8adc,84e7ac0eb100308ebc7365db7e6460eb1c8aa9ae3acea98fe7ab3e3e14a3d3fd,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_09,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
shared_gen_00001003_10,genuine,sd300c,development,10,00001003,00001003,2000,10,10,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\plain\00001003_plain_2000_10.png,C:\fingerprint-datasets\NIST\sd300c\images\2000\png\roll\00001003_roll_2000_10.png,sd300c_plain_roll_00001003_10,sd300c_plain_roll_00001003_10,shared-accuracy-score-v1,sourceafis,3.18.1,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,1e59cf5605d353997e5896ba95dfcc6fada3865f355e05a18c49d9223a833c07,higher_is_more_similar,28.96447633464131,ok,,,{},{},{},not_applicable_reused_validated_primary,5b0dd7466b6e59636702c1e8db5db912d34365792e52a7ee06b45e3c719c5b14,b900fb45c385fb60ba14c744a8d9a9ba95b79c3135a13072065290ace8b12dc8,,,,,reused_validated_primary_plain_roll_after_100_pair_preflight,sd300c_plain_roll_00001003_10,C:\fingerprint-recognition-research\results\sd300c\plain_roll\sourceafis\pairwise-benchmark-v2\cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,b81b2953598f56b178bacf1ba3007602c6750fe9bf2f8b521fdd4fa9f0456c28,84df3b736a6e7de1c4493e126433a7ac6aa92c174c24446ecb220ddf71a2712e
