identity_key,subject_id,canonical_finger_position
00001000|01,00001000,1
00001000|02,00001000,2
00001000|03,00001000,3
00001000|04,00001000,4
00001000|05,00001000,5
00001000|06,00001000,6
00001000|07,00001000,7
00001000|08,00001000,8
00001000|09,00001000,9
00001000|10,00001000,10
00001001|02,00001001,2
00001001|03,00001001,3
00001001|04,00001001,4
00001001|05,00001001,5
00001001|07,00001001,7
00001001|08,00001001,8
00001001|09,00001001,9
00001001|10,00001001,10
00001002|01,00001002,1
00001002|02,00001002,2
00001002|03,00001002,3
00001002|04,00001002,4
00001002|05,00001002,5
00001002|06,00001002,6
00001002|07,00001002,7
00001002|08,00001002,8
00001002|09,00001002,9
00001002|10,00001002,10
00001003|01,00001003,1
00001003|02,00001003,2
00001003|03,00001003,3
00001003|04,00001003,4
00001003|05,00001003,5
00001003|06,00001003,6
00001003|07,00001003,7
00001003|08,00001003,8
00001003|09,00001003,9
00001003|10,00001003,10
00001004|01,00001004,1
00001004|02,00001004,2
00001004|03,00001004,3
00001004|04,00001004,4
00001004|05,00001004,5
00001004|06,00001004,6
00001004|07,00001004,7
00001004|08,00001004,8
00001004|09,00001004,9
00001004|10,00001004,10
00001005|01,00001005,1
00001005|04,00001005,4
00001005|05,00001005,5
00001005|06,00001005,6
00001005|07,00001005,7
00001005|08,00001005,8
00001005|09,00001005,9
00001005|10,00001005,10
00001006|01,00001006,1
00001006|02,00001006,2
00001006|03,00001006,3
00001006|04,00001006,4
00001006|05,00001006,5
00001006|06,00001006,6
00001006|07,00001006,7
00001006|08,00001006,8
00001006|09,00001006,9
00001006|10,00001006,10
00001007|01,00001007,1
00001007|02,00001007,2
00001007|03,00001007,3
00001007|04,00001007,4
00001007|05,00001007,5
00001007|06,00001007,6
00001007|07,00001007,7
00001007|08,00001007,8
00001007|09,00001007,9
00001007|10,00001007,10
00001008|01,00001008,1
00001008|02,00001008,2
00001008|03,00001008,3
00001008|04,00001008,4
00001008|05,00001008,5
00001008|06,00001008,6
00001008|07,00001008,7
00001008|08,00001008,8
00001008|09,00001008,9
00001008|10,00001008,10
00001009|01,00001009,1
00001009|02,00001009,2
00001009|03,00001009,3
00001009|04,00001009,4
00001009|05,00001009,5
00001009|06,00001009,6
00001009|07,00001009,7
00001009|08,00001009,8
00001009|09,00001009,9
00001009|10,00001009,10
00001010|01,00001010,1
00001010|02,00001010,2
00001010|03,00001010,3
00001010|04,00001010,4
00001010|05,00001010,5
00001010|06,00001010,6
00001010|07,00001010,7
00001010|08,00001010,8
00001010|09,00001010,9
00001010|10,00001010,10
00001011|01,00001011,1
00001011|02,00001011,2
00001011|03,00001011,3
00001011|04,00001011,4
00001011|05,00001011,5
00001011|06,00001011,6
00001011|07,00001011,7
00001011|08,00001011,8
00001011|09,00001011,9
00001011|10,00001011,10
00001012|01,00001012,1
00001012|02,00001012,2
00001012|03,00001012,3
00001012|04,00001012,4
00001012|05,00001012,5
00001012|06,00001012,6
00001012|07,00001012,7
00001012|08,00001012,8
00001012|09,00001012,9
00001012|10,00001012,10
00001013|01,00001013,1
00001013|02,00001013,2
00001013|03,00001013,3
00001013|04,00001013,4
00001013|05,00001013,5
00001013|06,00001013,6
00001013|07,00001013,7
00001013|08,00001013,8
00001013|09,00001013,9
00001013|10,00001013,10
00001014|01,00001014,1
00001014|02,00001014,2
00001014|03,00001014,3
00001014|04,00001014,4
00001014|05,00001014,5
00001014|06,00001014,6
00001014|07,00001014,7
00001014|08,00001014,8
00001014|09,00001014,9
00001014|10,00001014,10
00001015|01,00001015,1
00001015|02,00001015,2
00001015|03,00001015,3
00001015|04,00001015,4
00001015|05,00001015,5
00001015|06,00001015,6
00001015|07,00001015,7
00001015|08,00001015,8
00001015|09,00001015,9
00001015|10,00001015,10
00001016|01,00001016,1
00001016|02,00001016,2
00001016|03,00001016,3
00001016|04,00001016,4
00001016|05,00001016,5
00001016|06,00001016,6
00001016|07,00001016,7
00001016|08,00001016,8
00001016|09,00001016,9
00001016|10,00001016,10
00001017|01,00001017,1
00001017|02,00001017,2
00001017|03,00001017,3
00001017|04,00001017,4
00001017|05,00001017,5
00001017|06,00001017,6
00001017|07,00001017,7
00001017|08,00001017,8
00001017|09,00001017,9
00001017|10,00001017,10
00001018|01,00001018,1
00001018|02,00001018,2
00001018|03,00001018,3
00001018|04,00001018,4
00001018|05,00001018,5
00001018|06,00001018,6
00001018|07,00001018,7
00001018|08,00001018,8
00001018|09,00001018,9
00001018|10,00001018,10
00001019|01,00001019,1
00001019|02,00001019,2
00001019|03,00001019,3
00001019|04,00001019,4
00001019|06,00001019,6
00001019|07,00001019,7
00001019|08,00001019,8
00001019|09,00001019,9
00001019|10,00001019,10
00001020|01,00001020,1
00001020|02,00001020,2
00001020|03,00001020,3
00001020|04,00001020,4
00001020|05,00001020,5
00001020|06,00001020,6
00001020|07,00001020,7
00001020|08,00001020,8
00001020|09,00001020,9
00001020|10,00001020,10
00001021|01,00001021,1
00001021|02,00001021,2
00001021|03,00001021,3
00001021|04,00001021,4
00001021|05,00001021,5
00001021|06,00001021,6
00001021|07,00001021,7
00001021|08,00001021,8
00001021|09,00001021,9
00001021|10,00001021,10
00001022|01,00001022,1
00001022|02,00001022,2
00001022|03,00001022,3
00001022|04,00001022,4
00001022|05,00001022,5
00001022|06,00001022,6
00001022|07,00001022,7
00001022|08,00001022,8
00001022|09,00001022,9
00001022|10,00001022,10
00001023|01,00001023,1
00001023|02,00001023,2
00001023|03,00001023,3
00001023|04,00001023,4
00001023|05,00001023,5
00001023|06,00001023,6
00001023|07,00001023,7
00001023|08,00001023,8
00001023|09,00001023,9
00001023|10,00001023,10
00001024|01,00001024,1
00001024|02,00001024,2
00001024|03,00001024,3
00001024|04,00001024,4
00001024|05,00001024,5
00001024|06,00001024,6
00001024|07,00001024,7
00001024|08,00001024,8
00001024|09,00001024,9
00001024|10,00001024,10
00001025|01,00001025,1
00001025|02,00001025,2
00001025|03,00001025,3
00001025|04,00001025,4
00001025|05,00001025,5
00001025|06,00001025,6
00001025|07,00001025,7
00001025|08,00001025,8
00001025|09,00001025,9
00001025|10,00001025,10
00001026|01,00001026,1
00001026|02,00001026,2
00001026|03,00001026,3
00001026|04,00001026,4
00001026|05,00001026,5
00001026|06,00001026,6
00001026|07,00001026,7
00001026|08,00001026,8
00001026|09,00001026,9
00001026|10,00001026,10
00001027|01,00001027,1
00001027|02,00001027,2
00001027|03,00001027,3
00001027|04,00001027,4
00001027|05,00001027,5
00001027|06,00001027,6
00001027|07,00001027,7
00001027|08,00001027,8
00001027|09,00001027,9
00001027|10,00001027,10
00001028|01,00001028,1
00001028|02,00001028,2
00001028|03,00001028,3
00001028|04,00001028,4
00001028|05,00001028,5
00001028|06,00001028,6
00001028|07,00001028,7
00001028|08,00001028,8
00001028|09,00001028,9
00001028|10,00001028,10
00001029|01,00001029,1
00001029|02,00001029,2
00001029|03,00001029,3
00001029|04,00001029,4
00001029|05,00001029,5
00001029|06,00001029,6
00001029|07,00001029,7
00001029|08,00001029,8
00001029|09,00001029,9
00001029|10,00001029,10
00001030|01,00001030,1
00001030|02,00001030,2
00001030|03,00001030,3
00001030|04,00001030,4
00001030|05,00001030,5
00001030|06,00001030,6
00001030|07,00001030,7
00001030|08,00001030,8
00001030|09,00001030,9
00001030|10,00001030,10
00001031|01,00001031,1
00001031|02,00001031,2
00001031|03,00001031,3
00001031|04,00001031,4
00001031|05,00001031,5
00001031|06,00001031,6
00001031|07,00001031,7
00001031|08,00001031,8
00001031|09,00001031,9
00001031|10,00001031,10
00001032|01,00001032,1
00001032|02,00001032,2
00001032|03,00001032,3
00001032|04,00001032,4
00001032|05,00001032,5
00001032|06,00001032,6
00001032|07,00001032,7
00001032|08,00001032,8
00001032|09,00001032,9
00001032|10,00001032,10
00001033|01,00001033,1
00001033|02,00001033,2
00001033|03,00001033,3
00001033|04,00001033,4
00001033|05,00001033,5
00001033|06,00001033,6
00001033|07,00001033,7
00001033|08,00001033,8
00001033|09,00001033,9
00001033|10,00001033,10
00001034|01,00001034,1
00001034|02,00001034,2
00001034|03,00001034,3
00001034|04,00001034,4
00001034|05,00001034,5
00001034|06,00001034,6
00001034|07,00001034,7
00001034|08,00001034,8
00001034|09,00001034,9
00001034|10,00001034,10
00001035|01,00001035,1
00001035|02,00001035,2
00001035|03,00001035,3
00001035|04,00001035,4
00001035|05,00001035,5
00001035|06,00001035,6
00001035|07,00001035,7
00001035|08,00001035,8
00001035|09,00001035,9
00001035|10,00001035,10
00001036|01,00001036,1
00001036|02,00001036,2
00001036|03,00001036,3
00001036|04,00001036,4
00001036|05,00001036,5
00001036|06,00001036,6
00001036|07,00001036,7
00001036|08,00001036,8
00001036|09,00001036,9
00001036|10,00001036,10
00001037|01,00001037,1
00001037|02,00001037,2
00001037|03,00001037,3
00001037|04,00001037,4
00001037|05,00001037,5
00001037|06,00001037,6
00001037|07,00001037,7
00001037|08,00001037,8
00001037|09,00001037,9
