pair_id,dataset,protocol,label,subject_id_a,subject_id_b,canonical_finger_position_a,canonical_finger_position_b,ppi,path_a,path_b,image_sha256_a,image_sha256_b,split_assignment,pair_generation_reason,candidate_id,parent_candidate_id,changed_field,config_hash,status,error_code,raw_score,score_components_json,geometry_success,geometry_failure_reason,keypoint_count_a,keypoint_count_b,matches,inliers,prepare_a_ms,prepare_b_ms,compare_ms,total_ms
pilot_genuine_sd300b_plain_roll_00001747_01,sd300b,plain_roll,1,00001747,00001747,1,1,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001747_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001747_roll_1000_01.png,42be7fd07fc336950563b1a1c9276f069009e46690f15e68524437575e35bb68,75decde628a3d7f0d6c7501ba0fb3473b27f235db5f7cb107f1c66b2b08eef6c,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,1.2070784343255752,"{""geometric_inlier_count"":3.0,""geometric_inlier_ratio"":0.125,""inliers_over_min_keypoints"":0.001,""inliers_times_inlier_ratio_times_log1p_matches"":1.2070784343255752}",True,,3001,3000,24,3,182.826,266.201,20.2833,469.7376
pilot_genuine_sd300b_plain_roll_00001227_08,sd300b,plain_roll,1,00001227,00001227,8,8,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001227_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001227_roll_1000_08.png,535ce9931114f9981fd034e561c10e088350cdc590c069265fb126697a7c58e9,db9ef180c26509b9a89cee0364e712a0b7dcc00928b2ac5611a7f80a52f5c4c7,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,8.107958954397139,"{""geometric_inlier_count"":10.0,""geometric_inlier_ratio"":0.20833333333333334,""inliers_over_min_keypoints"":0.0033333333333333335,""inliers_times_inlier_ratio_times_log1p_matches"":8.107958954397139}",True,,3001,3000,48,10,88.3288,237.1985,20.4502,346.554
pilot_genuine_sd300b_plain_roll_00001530_01,sd300b,plain_roll,1,00001530,00001530,1,1,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001530_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001530_roll_1000_01.png,f8757f5c4d581e461277cafeb03349aed81a565e3eb9f5153a9c63eb72126b28,016a0c4e8ff700a3b2c036d9e24af0d8f48840ad205675e30da35910b20502ff,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,67.73746494165749,"{""geometric_inlier_count"":30.0,""geometric_inlier_ratio"":0.5660377358490566,""inliers_over_min_keypoints"":0.01,""inliers_times_inlier_ratio_times_log1p_matches"":67.73746494165749}",True,,3000,3001,53,30,156.7247,289.0854,20.3081,466.7491
pilot_genuine_sd300b_plain_roll_00001530_05,sd300b,plain_roll,1,00001530,00001530,5,5,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001530_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001530_roll_1000_05.png,febe3739da93ec42148b167d1d1d4478809bcaa468b4a32ff2bd0bed7260b607,f05a96dddd5006af45e09ce08eca1cbf86d22b3ad3fe364442173254bdf7f20b,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,1.8483924814931874,"{""geometric_inlier_count"":2.0,""geometric_inlier_ratio"":0.6666666666666666,""inliers_over_min_keypoints"":0.0016877637130801688,""inliers_times_inlier_ratio_times_log1p_matches"":1.8483924814931874}",True,,1185,3000,3,2,71.3903,261.0975,8.4502,341.4916
pilot_genuine_sd300b_plain_roll_00001394_02,sd300b,plain_roll,1,00001394,00001394,2,2,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001394_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001394_roll_1000_02.png,823e1d11fcf9ed52c658610d793d28cae194d9ca4f339df23853c30b95407ebd,f8c83a9cfdbb1182c4b2cd9cd210eaba2496d527674e0b979327974e122d3fae,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,4.239237772698765,"{""geometric_inlier_count"":7.0,""geometric_inlier_ratio"":0.1590909090909091,""inliers_over_min_keypoints"":0.0023333333333333335,""inliers_times_inlier_ratio_times_log1p_matches"":4.239237772698765}",True,,3000,3000,44,7,64.163,253.9672,19.7955,338.3542
pilot_genuine_sd300b_plain_roll_00001585_10,sd300b,plain_roll,1,00001585,00001585,10,10,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001585_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001585_roll_1000_10.png,f54b50431759272688153731cf4ea0cb42f7241da1812713c454830d04fa5601,89673f1b73cc2846fa534dc1fc22a6ba3861a65b7e72b31fc963bfa62b666fdc,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,4.329380352839752,"{""geometric_inlier_count"":6.0,""geometric_inlier_ratio"":0.21428571428571427,""inliers_over_min_keypoints"":0.002031144211238998,""inliers_times_inlier_ratio_times_log1p_matches"":4.329380352839752}",True,,2954,3000,28,6,92.0056,285.054,19.8348,397.7689
pilot_genuine_sd300b_plain_roll_00001454_06,sd300b,plain_roll,1,00001454,00001454,6,6,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001454_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001454_roll_1000_06.png,1ed6fde6661cff323a10b6d97d889ed6cd6849a7ad614b200486535c29b54f13,be1b7c2a05a2d9ddd3db5ba2f1c4e7b8530a0fd8819b412da846019e7fd5593c,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,8.293286686141283,"{""geometric_inlier_count"":9.0,""geometric_inlier_ratio"":0.2571428571428571,""inliers_over_min_keypoints"":0.003,""inliers_times_inlier_ratio_times_log1p_matches"":8.293286686141283}",True,,3000,3000,35,9,164.693,270.9251,20.5965,456.8445
pilot_genuine_sd300b_plain_roll_00001776_07,sd300b,plain_roll,1,00001776,00001776,7,7,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001776_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001776_roll_1000_07.png,bce90baf90c3e4333176922855dc10ba601c267fbad1f83e7e189c7a0b8d3e39,94f7d2523001ece88847a5579b9b28fdf90061bbc6b63b55d33355c7bd22271e,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,2.5075818837807113,"{""geometric_inlier_count"":5.0,""geometric_inlier_ratio"":0.1388888888888889,""inliers_over_min_keypoints"":0.0016666666666666668,""inliers_times_inlier_ratio_times_log1p_matches"":2.5075818837807113}",True,,3000,3000,36,5,96.6553,245.3496,20.1256,362.9394
pilot_genuine_sd300b_plain_roll_00001454_07,sd300b,plain_roll,1,00001454,00001454,7,7,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001454_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001454_roll_1000_07.png,6e0bd4591a24981108ae1d510330532acbbf15981f0fbfcbc0a78a559adfe122,fc8fe57f8aefba10ec924bf97d84b83a7320634a45c4c36c1dd7a44373410cf9,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,1.530196813003852,"{""geometric_inlier_count"":3.0,""geometric_inlier_ratio"":0.17647058823529413,""inliers_over_min_keypoints"":0.001,""inliers_times_inlier_ratio_times_log1p_matches"":1.530196813003852}",True,,3000,3001,17,3,111.028,238.2795,20.4209,370.2702
pilot_genuine_sd300b_plain_roll_00001701_05,sd300b,plain_roll,1,00001701,00001701,5,5,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001701_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001701_roll_1000_05.png,10dbe8aa872238cf7dfcecc0ef8d4c7a487f483d7925af9d16db214b794b8587,fe7670f94e8260be4911fffe96e5141d07bab9be6e3d62e5685c22582e0288b8,development,deterministic genuine sample from plain_roll,partial_affine,native_base,geometry_model,8a7ce6755576457ffbb924e1cfe4b7341712a1745f0d5c18f813dddb1a574496,ok,,4.089498582175612,"{""geometric_inlier_count"":5.0,""geometric_inlier_ratio"":0.2777777777777778,""inliers_over_min_keypoints"":0.0018429782528566164,""inliers_times_inlier_ratio_times_log1p_matches"":4.089498582175612}",True,,2713,3000,18,5,75.2764,257.2221,18.3708,351.4395
