pair_id,dataset,protocol,label,subject_id_a,subject_id_b,canonical_finger_position_a,canonical_finger_position_b,ppi,path_a,path_b,image_sha256_a,image_sha256_b,split_assignment,pair_generation_reason,candidate_id,parent_candidate_id,changed_field,config_hash,status,error_code,raw_score,score_components_json,geometry_success,geometry_failure_reason,keypoint_count_a,keypoint_count_b,matches,inliers,prepare_a_ms,prepare_b_ms,compare_ms,total_ms
pilot_genuine_sd300b_plain_roll_00001747_01,sd300b,plain_roll,1,00001747,00001747,1,1,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001747_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001747_roll_1000_01.png,42be7fd07fc336950563b1a1c9276f069009e46690f15e68524437575e35bb68,75decde628a3d7f0d6c7501ba0fb3473b27f235db5f7cb107f1c66b2b08eef6c,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,0.708303336014054,"{""geometric_inlier_count"":2.0,""geometric_inlier_ratio"":0.125,""inliers_over_min_keypoints"":0.0006666666666666666,""inliers_times_inlier_ratio_times_log1p_matches"":0.708303336014054}",True,,3001,3000,16,2,188.2946,269.6025,19.632,478.2044
pilot_genuine_sd300b_plain_roll_00001227_08,sd300b,plain_roll,1,00001227,00001227,8,8,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001227_plain_1000_08.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001227_roll_1000_08.png,535ce9931114f9981fd034e561c10e088350cdc590c069265fb126697a7c58e9,db9ef180c26509b9a89cee0364e712a0b7dcc00928b2ac5611a7f80a52f5c4c7,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,8.651505658568908,"{""geometric_inlier_count"":10.0,""geometric_inlier_ratio"":0.22727272727272727,""inliers_over_min_keypoints"":0.0033333333333333335,""inliers_times_inlier_ratio_times_log1p_matches"":8.651505658568908}",True,,3001,3000,44,10,89.9583,236.2876,20.2537,347.1832
pilot_genuine_sd300b_plain_roll_00001530_01,sd300b,plain_roll,1,00001530,00001530,1,1,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001530_plain_1000_11.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001530_roll_1000_01.png,f8757f5c4d581e461277cafeb03349aed81a565e3eb9f5153a9c63eb72126b28,016a0c4e8ff700a3b2c036d9e24af0d8f48840ad205675e30da35910b20502ff,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,1.9237120180961527,"{""geometric_inlier_count"":3.0,""geometric_inlier_ratio"":0.25,""inliers_over_min_keypoints"":0.001,""inliers_times_inlier_ratio_times_log1p_matches"":1.9237120180961527}",True,,3000,3001,12,3,162.2181,283.2539,20.1043,466.3114
pilot_genuine_sd300b_plain_roll_00001530_05,sd300b,plain_roll,1,00001530,00001530,5,5,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001530_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001530_roll_1000_05.png,febe3739da93ec42148b167d1d1d4478809bcaa468b4a32ff2bd0bed7260b607,f05a96dddd5006af45e09ce08eca1cbf86d22b3ad3fe364442173254bdf7f20b,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,0.0,"{""geometric_inlier_count"":0.0,""geometric_inlier_ratio"":0.0,""inliers_over_min_keypoints"":0.0,""inliers_times_inlier_ratio_times_log1p_matches"":0.0}",False,insufficient_geometry_matches,1185,3000,0,0,72.8957,262.9595,8.021,344.4476
pilot_genuine_sd300b_plain_roll_00001394_02,sd300b,plain_roll,1,00001394,00001394,2,2,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001394_plain_1000_02.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001394_roll_1000_02.png,823e1d11fcf9ed52c658610d793d28cae194d9ca4f339df23853c30b95407ebd,f8c83a9cfdbb1182c4b2cd9cd210eaba2496d527674e0b979327974e122d3fae,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,3.93357100664979,"{""geometric_inlier_count"":6.0,""geometric_inlier_ratio"":0.1875,""inliers_over_min_keypoints"":0.002,""inliers_times_inlier_ratio_times_log1p_matches"":3.93357100664979}",True,,3000,3000,32,6,68.5514,253.1885,21.4026,343.8444
pilot_genuine_sd300b_plain_roll_00001585_10,sd300b,plain_roll,1,00001585,00001585,10,10,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001585_plain_1000_10.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001585_roll_1000_10.png,f54b50431759272688153731cf4ea0cb42f7241da1812713c454830d04fa5601,89673f1b73cc2846fa534dc1fc22a6ba3861a65b7e72b31fc963bfa62b666fdc,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,3.563061609010397,"{""geometric_inlier_count"":5.0,""geometric_inlier_ratio"":0.22727272727272727,""inliers_over_min_keypoints"":0.0016926201760324984,""inliers_times_inlier_ratio_times_log1p_matches"":3.563061609010397}",True,,2954,3000,22,5,98.3957,284.8322,20.0027,403.9309
pilot_genuine_sd300b_plain_roll_00001454_06,sd300b,plain_roll,1,00001454,00001454,6,6,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001454_plain_1000_12.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001454_roll_1000_06.png,1ed6fde6661cff323a10b6d97d889ed6cd6849a7ad614b200486535c29b54f13,be1b7c2a05a2d9ddd3db5ba2f1c4e7b8530a0fd8819b412da846019e7fd5593c,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,18.89385056687593,"{""geometric_inlier_count"":13.0,""geometric_inlier_ratio"":0.41935483870967744,""inliers_over_min_keypoints"":0.004333333333333333,""inliers_times_inlier_ratio_times_log1p_matches"":18.89385056687593}",True,,3000,3000,31,13,165.8087,272.4517,20.3357,459.3462
pilot_genuine_sd300b_plain_roll_00001776_07,sd300b,plain_roll,1,00001776,00001776,7,7,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001776_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001776_roll_1000_07.png,bce90baf90c3e4333176922855dc10ba601c267fbad1f83e7e189c7a0b8d3e39,94f7d2523001ece88847a5579b9b28fdf90061bbc6b63b55d33355c7bd22271e,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,3.941752991518409,"{""geometric_inlier_count"":5.0,""geometric_inlier_ratio"":0.2631578947368421,""inliers_over_min_keypoints"":0.0016666666666666668,""inliers_times_inlier_ratio_times_log1p_matches"":3.941752991518409}",True,,3000,3000,19,5,94.6745,256.6614,20.0378,372.1187
pilot_genuine_sd300b_plain_roll_00001454_07,sd300b,plain_roll,1,00001454,00001454,7,7,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001454_plain_1000_07.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001454_roll_1000_07.png,6e0bd4591a24981108ae1d510330532acbbf15981f0fbfcbc0a78a559adfe122,fc8fe57f8aefba10ec924bf97d84b83a7320634a45c4c36c1dd7a44373410cf9,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,5.075110249260113,"{""geometric_inlier_count"":5.0,""geometric_inlier_ratio"":0.38461538461538464,""inliers_over_min_keypoints"":0.0016666666666666668,""inliers_times_inlier_ratio_times_log1p_matches"":5.075110249260113}",True,,3000,3001,13,5,111.9163,236.5168,20.7925,370.1489
pilot_genuine_sd300b_plain_roll_00001701_05,sd300b,plain_roll,1,00001701,00001701,5,5,1000,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\plain\00001701_plain_1000_05.png,C:\fingerprint-datasets\NIST\sd300b\images\1000\png\roll\00001701_roll_1000_05.png,10dbe8aa872238cf7dfcecc0ef8d4c7a487f483d7925af9d16db214b794b8587,fe7670f94e8260be4911fffe96e5141d07bab9be6e3d62e5685c22582e0288b8,development,deterministic genuine sample from plain_roll,rootsift,partial_affine,descriptor_mode,f706d820814ee63349a2231d75ad57328a48bb14d68f6d57be32d1f82ca648e4,ok,,8.331071537465416,"{""geometric_inlier_count"":7.0,""geometric_inlier_ratio"":0.4117647058823529,""inliers_over_min_keypoints"":0.002580169553999263,""inliers_times_inlier_ratio_times_log1p_matches"":8.331071537465416}",True,,2713,3000,17,7,76.9543,259.6067,17.8259,355.0669
