pair_id,dataset,protocol,subject_id,canonical_finger_position,status,error_code,raw_score,threshold,accepted,zero_score,geometry_success,geometry_failure_reason,keypoint_count_a,keypoint_count_b,ratio_match_count,mutual_match_count,matches_submitted,inlier_count,outlier_count,total_ms
sd300b_plain_roll_00001000_02,sd300b,plain_roll,00001000,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2780,3000,28,2,2,0,2,488.7737
sd300b_plain_roll_00001000_05,sd300b,plain_roll,00001000,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,4,2,2,0,2,524.5348
sd300b_plain_roll_00001000_06,sd300b,plain_roll,00001000,6,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,5,1,1,0,1,620.2889
sd300b_plain_roll_00001000_09,sd300b,plain_roll,00001000,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2855,3000,17,2,2,0,2,479.9928
sd300b_plain_roll_00001000_10,sd300b,plain_roll,00001000,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,8,2,2,0,2,542.0747
sd300b_plain_roll_00001002_02,sd300b,plain_roll,00001002,2,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,8,0,0,0,0,551.7671
sd300b_plain_roll_00001003_09,sd300b,plain_roll,00001003,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,5,2,2,0,2,527.2017
sd300b_plain_roll_00001003_10,sd300b,plain_roll,00001003,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,5,1,1,0,1,508.4265
sd300b_plain_roll_00001004_05,sd300b,plain_roll,00001004,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1800,3001,4,2,2,0,2,447.0444
sd300b_plain_roll_00001004_07,sd300b,plain_roll,00001004,7,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1713,3000,3,1,1,0,1,448.8454
sd300b_plain_roll_00001004_10,sd300b,plain_roll,00001004,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1354,3000,4,1,1,0,1,428.6297
sd300b_plain_roll_00001005_08,sd300b,plain_roll,00001005,8,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,14,1,1,0,1,525.0876
sd300b_plain_roll_00001005_10,sd300b,plain_roll,00001005,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3001,13,0,0,0,0,529.5844
sd300b_plain_roll_00001006_10,sd300b,plain_roll,00001006,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1808,3001,6,1,1,0,1,437.9459
sd300b_plain_roll_00001007_05,sd300b,plain_roll,00001007,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2079,3001,2,0,0,0,0,517.0904
sd300b_plain_roll_00001007_09,sd300b,plain_roll,00001007,9,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1849,3000,3,1,1,0,1,481.9461
sd300b_plain_roll_00001007_10,sd300b,plain_roll,00001007,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,1515,3001,4,0,0,0,0,435.5203
sd300b_plain_roll_00001008_10,sd300b,plain_roll,00001008,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2193,3000,14,1,1,0,1,447.2598
sd300b_plain_roll_00001009_05,sd300b,plain_roll,00001009,5,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,2231,3000,9,1,1,0,1,459.9831
sd300b_plain_roll_00001009_10,sd300b,plain_roll,00001009,10,ok,,0.0,4.0,False,True,False,insufficient_geometry_matches,3000,3000,16,1,1,0,1,492.109
