section_number,section,dataset,metric,value
1,Single-finger record counts,sd300b,plain_single_finger_records,8788
1,Single-finger record counts,sd300b,roll_single_finger_records,8871
1,Single-finger record counts,sd300c,plain_single_finger_records,8788
1,Single-finger record counts,sd300c,roll_single_finger_records,8871
2,PLAIN self-comparisons,sd300b,total,8788
2,PLAIN self-comparisons,sd300b,matches,8613
2,PLAIN self-comparisons,sd300b,non_matches_removed_from_derived_protocol,175
2,PLAIN self-comparisons,sd300b,match_percentage,98.00864815657715
2,PLAIN self-comparisons,sd300b,mean_comparison_time_ms,6.3948420232134735
2,PLAIN self-comparisons,sd300c,total,8788
2,PLAIN self-comparisons,sd300c,matches,8632
2,PLAIN self-comparisons,sd300c,non_matches_removed_from_derived_protocol,156
2,PLAIN self-comparisons,sd300c,match_percentage,98.22485207100591
2,PLAIN self-comparisons,sd300c,mean_comparison_time_ms,6.0521499886208465
3,ROLL self-comparisons,sd300b,total,8871
3,ROLL self-comparisons,sd300b,matches,8843
3,ROLL self-comparisons,sd300b,non_matches_removed_from_derived_protocol,28
3,ROLL self-comparisons,sd300b,match_percentage,99.68436478412806
3,ROLL self-comparisons,sd300b,mean_comparison_time_ms,16.34180717427573
3,ROLL self-comparisons,sd300c,total,8871
3,ROLL self-comparisons,sd300c,matches,8847
3,ROLL self-comparisons,sd300c,non_matches_removed_from_derived_protocol,24
3,ROLL self-comparisons,sd300c,match_percentage,99.72945552925262
3,ROLL self-comparisons,sd300c,mean_comparison_time_ms,14.728983709615601
4,Cleaned genuine PLAIN-ROLL pairs,sd300b,pair_count,8593
4,Cleaned genuine PLAIN-ROLL pairs,sd300b,ground_truth_same_subject_same_finger_count,8593
4,Cleaned genuine PLAIN-ROLL pairs,sd300b,ground_truth_wrong_count,0
4,Cleaned genuine PLAIN-ROLL pairs,sd300c,pair_count,8614
4,Cleaned genuine PLAIN-ROLL pairs,sd300c,ground_truth_same_subject_same_finger_count,8614
4,Cleaned genuine PLAIN-ROLL pairs,sd300c,ground_truth_wrong_count,0
5,SourceAFIS results on genuine pairs,sd300b,matched_by_sourceafis,5784
5,SourceAFIS results on genuine pairs,sd300b,not_matched_by_sourceafis,2809
5,SourceAFIS results on genuine pairs,sd300b,match_percentage,67.31060165250786
5,SourceAFIS results on genuine pairs,sd300b,mean_comparison_time_ms,4.1330633422553245
5,SourceAFIS results on genuine pairs,sd300c,matched_by_sourceafis,5705
5,SourceAFIS results on genuine pairs,sd300c,not_matched_by_sourceafis,2909
5,SourceAFIS results on genuine pairs,sd300c,match_percentage,66.22939400975157
5,SourceAFIS results on genuine pairs,sd300c,mean_comparison_time_ms,3.971587090782447
6,SourceAFIS results on wrong pairs,sd300b,pair_count,8593
6,SourceAFIS results on wrong pairs,sd300b,incorrectly_matched_by_sourceafis,9
6,SourceAFIS results on wrong pairs,sd300b,correctly_rejected_by_sourceafis,8584
6,SourceAFIS results on wrong pairs,sd300b,false_match_percentage,0.10473641335971139
6,SourceAFIS results on wrong pairs,sd300b,mean_comparison_time_ms,3.146589735831491
6,SourceAFIS results on wrong pairs,sd300c,pair_count,8614
6,SourceAFIS results on wrong pairs,sd300c,incorrectly_matched_by_sourceafis,10
6,SourceAFIS results on wrong pairs,sd300c,correctly_rejected_by_sourceafis,8604
6,SourceAFIS results on wrong pairs,sd300c,false_match_percentage,0.11609008590666357
6,SourceAFIS results on wrong pairs,sd300c,mean_comparison_time_ms,3.116608532621314
